Rank,Sample ID,Sample Name,Average_ZAUC,CUACC1_ZAUC,CUACC2_ZAUC,H295R_ZAUC,CUACC1_AUC,CUACC2_AUC,H295R_AUC,CUACC1_IC50,CUACC2_IC50,H295R_IC50,IC50_n,Primary MOA,Gene Symbol
1,NCGC00346666-01,Ginkgolide A,-4.791993028395783,-4.557592016316057,-4.498010648008068,-5.320376420863226,88.971,66.652,21.905,5.970076,12.66838,,2,GABA(A) Receptor Antagonist,GABRA1
2,NCGC00263107-03,GB-83,-4.647932610796284,-4.597457561193331,-3.983082539287145,-5.363257731908374,85.769,118.324,18.193,12.719657,,42.963188,2,PAR2 Antagonist,PAR2
3,NCGC00510073-01,AQX-MN-100,-4.267697489297076,-4.997880938564633,-3.2699142837403716,-4.535297245586222,53.607,189.889,89.865,,,,0,SHIP-1 Activator,INPP5D
4,NCGC00507887-01,ML-390,-4.212597914923829,-3.8062348121315956,-4.1936099279084145,-4.637949004731476,149.32,97.198,80.979,,12.305072,,1,DHODH Inhibitor,DHODH
5,NCGC00250406-03,Tipifarnib,-4.194320136680617,-3.818162105071142,-4.216978607559881,-4.547819697410829,148.362,94.853,88.781,5.352743,,,1,Farnesyltransferase Inhibitor,COX10
6,NCGC00163128-17,Pioglitazone hydrochloride,-4.026486888248875,-4.266991865478935,-3.5053250809286824,-4.307143718339006,112.312,166.266,109.615,,0.064681,,1,PPARgamma Agonist,PPARG
7,NCGC00162413-14,Geldanamycin,-3.8808165994224266,-4.126628294914789,-3.0267903274688055,-4.489031175883685,123.586,214.286,93.87,12.544321,,43.275541,2,Heat Shock Protein 90 (hsp90) Inhibitor,HSP90AB1
8,NCGC00263231-01,PDHK RIKEN,-3.867680308916131,-3.921760230906184,-2.933425227402884,-4.747855468439325,140.041,223.655,71.465,,,,0,Pyruvate Dehydrogenase Kinase 2 Inhibitor,PDK2
9,NCGC00346709-02,20-hydroxyecdysone,-3.7524528733770977,-3.2706271479778315,-2.842940105340916,-5.143791366812545,192.34,232.735,37.191,,,,0,reduces expression of cPEPCK,
10,NCGC00164385-06,Clomifene citrate,-3.5989626447366576,-3.5963866675636806,-3.1376146713510904,-4.062886595295201,166.175,203.165,130.759,11.74141,,,1,Selective Estrogen Receptor Modulators (SERM),ESR1
11,NCGC00346952-01,Cdk4/6 Inhibitor IV,-3.570750561610758,-3.8114638967188705,-3.132213466928448,-3.7685743211849565,148.9,203.707,156.236,,0.048879,,1,CDK4/6 Inhibitor,CDK4
12,NCGC00346656-03,Dinaciclib (SCH727965),-3.567578929813153,-3.4602935160791435,-3.494223712429009,-3.748219560931306,177.106,167.38,157.998,,,,0,CDK1/2/5/9 Inhibitor,CDK1
13,NCGC00174007-13,PYRANTEL PAMOATE,-3.5351585383152995,-3.461389133802192,-3.059805438635248,-4.084281042508459,177.018,210.973,128.907,,,,0,,
14,NCGC00510477-01,Lurbinectedin,-3.4855777239950667,-3.4540559651786076,-3.294508697974836,-3.708168508831757,177.607,187.421,161.465,,,,0,RNA Polymerase Inhibitor,POLR2A
15,NCGC00378999-05,SB-1317,-3.4251064575267316,-3.071660479432008,-3.522834151354109,-3.6808247417940776,208.321,164.509,163.832,,,,0,CDK Inhibitor,CDK1
16,NCGC00507851-01,OTS-514,-3.3889692225026087,-3.1350569049520214,-2.9411583171297653,-4.090692445426039,203.229,222.879,128.352,,,,0,PBK Inhibitor,PBK
17,NCGC00247878-08,NVP-AUY922,-3.38661624390095,-2.8465234875470125,-4.023780913571405,-3.2895443305844334,226.404,114.24,197.703,,,,0,Heat Shock Protein 90 (hsp90) Inhibitor,HSP90AB1
18,NCGC00345804-10,ARRY-162,-3.3689138545426798,-2.6502958633088096,-3.7170981347765757,-3.7393475655426545,242.165,145.015,158.766,,,,0,Mek 1/2 Inhibitor,MAP2K1
19,NCGC00253587-02,Sitaxentan,-3.3625782577150556,-3.23181987021941,-2.754906452444945,-4.101008450480812,195.457,241.569,127.459,0.056242,,,1,Endothelin ETA Receptor Antagonist,EDNRA
20,NCGC00090752-04,Fenretinide,-3.2487767421229696,-2.774723176083164,-3.4676561644755726,-3.5039508858101724,232.171,170.046,179.143,,,,0,RARbeta/gamma Agonist,RARB
21,NCGC00263236-02,SM-164,-3.188564735310154,-2.425918333709108,-2.1472011976450656,-4.9925746745762885,260.187,302.551,50.281,,,,0,IAP Inhibitor,XIAP
22,NCGC00510347-01,CC-885,-3.0395403795238236,-3.9590859346982104,-2.284363887079088,-2.8751713167941726,137.043,288.787,233.573,,,,0,,
23,NCGC00016978-13,Repaglinide,-3.0282803564688168,-2.916506069606713,-2.7724653494794365,-3.3958696503203014,220.783,239.807,188.499,,,,0,Insulin Secretagogues,
24,NCGC00379032-06,Tasquinimod,-3.0274453428732535,-2.185915801354573,-3.3008267120042727,-3.5955935152609153,279.464,186.787,171.21,,,,0,S100A9 Inhibitor,S100A9
25,NCGC00017369-07,Biochanin A,-3.014084884718673,-2.343398398841346,-3.528275217064003,-3.1705810382506696,266.815,163.963,208.001,,,,0,flavanoid,
26,NCGC00346686-10,Tivantinib,-3.002778994233534,-2.7537943875326647,-3.3415151209667195,-2.9130274742012174,233.852,182.704,230.296,0.192644,,0.014991,2,HGFR Inhibitor,MET
27,NCGC00507966-01,AMG-511,-2.9835531886868663,-2.8567202024921987,-2.5865921670235092,-3.5073471965448904,225.585,258.459,178.849,,,,0,PI3K alpha Inhibitor,PIK3CA
28,NCGC00263109-15,GDC-0980,-2.9831908373404383,-2.983513053532225,-2.8187443039789715,-3.1473151545101183,215.401,235.163,210.015,,0.002557,,1,mTOR Inhibitor,MTOR
29,NCGC00244253-18,Ruxolitinib,-2.9740595561408454,-3.385754160307674,-2.838415849237818,-2.6980086588770433,183.093,233.189,248.909,46.1,0.290615,0.006739,3,Jak1/2 Inhibitor,JAK1
30,NCGC00510266-01,M2698,-2.9714974428736762,-2.354354576071827,-3.563034259547719,-2.997103493001483,265.935,160.475,223.018,,,,0,AKT Inhibitor,AKT1
31,NCGC00274171-10,RUC-4,-2.9582989498572596,-2.3216229965957633,-2.6278685299729223,-3.925405323003093,268.564,254.317,142.66,,,,0,Integrin alphaIIbbeta3 (Fibrinogen gpIIb/IIIa) Antagonist,
32,NCGC00485261-01,Methylstat,-2.922160173211637,-3.0701789054656135,-2.723445931481329,-2.972855682687968,208.44,244.726,225.117,,,,0,Lysine-specific demethylase 4E Inhibitor,KDM4E
33,NCGC00167982-03,Pirarubicin,-2.8495082275047636,-2.797868100482556,-3.4876067387451823,-2.2630498432865527,230.312,168.044,286.561,,,0.131316,1,DNA Topoisomerase II Inhibitor,TOP2A
34,NCGC00346835-01,2-Iminobiotin,-2.84822369236593,-2.968062353596967,-2.6064331227531765,-2.9701756007476465,216.642,256.468,225.349,,,0.077518,1,NOS-2 Inhibitor,NOS2
35,NCGC00025059-08,Actinomycin D,-2.8228589215779265,-2.799885033109076,-3.644261597645417,-2.0244301339792865,230.15,152.324,307.217,,,,0,DNA-Directed RNA Polymerase Inhibitor,PRKDC
36,NCGC00185000-18,Afatinib,-2.8220242783698777,-2.788804353864612,-2.7873336096244206,-2.8899348716206004,231.04,238.315,232.295,,,,0,EGFR Inhibitor,EGFR
37,NCGC00163548-03,Echinomycin,-2.8219475822860782,-3.772731320168839,-2.818246037888322,-1.8748653888010733,152.011,235.213,320.164,,,,0,Antineoplastic Antibiotics,
38,NCGC00142423-05,Phlorizin,-2.762971350630422,-3.1396510292679842,-2.371729863413589,-2.777533159209693,202.86,280.02,242.025,0.016135,,,1,SGLT-1/2 Inhibitor,SCL5A2
39,NCGC00345809-03,RGB-286147,-2.746979618329606,-2.6689836156076194,-3.334031164285162,-2.237924075096036,240.664,183.455,288.736,,,,0,CDK1/2/3/7/9 Inhibitor,CDK1
40,NCGC00025155-01,Omacetaxine mepesuccinate,-2.7064531838704817,-3.810891187454551,-1.648616216697449,-2.6598521474594454,148.946,352.583,252.212,,,,0,Alkaloid,RPL3
41,NCGC00242051-10,GW-2580,-2.7047621864991176,-2.2296284584639148,-1.6480282627104827,-4.236629838322955,275.953,352.642,115.719,0.007965,0.001478,1.511648,3,CSF1R (c-FMS) Inhibitor,CSF1R
42,NCGC00345799-06,Oprozomib,-2.644824138729196,-2.932081271555954,-2.6165080631061115,-2.385883081525522,219.532,255.457,275.928,,,,0,Proteasome Inhibitor,PSMD1
43,NCGC00346685-03,KW-2478,-2.6178726267012804,-2.9795289890847774,-2.3393226368777387,-2.5347662541413256,215.721,283.272,263.04,,0.002585,0.001534,2,Heat Shock Protein 90 (hsp90) Inhibitor,HSP90AB1
44,NCGC00263220-07,Romidepsin,-2.6178036364052426,-2.737297870679951,-2.9325183831179014,-2.183594655417876,235.177,223.746,293.439,,,,0,HDAC Inhibitor,HDAC1
45,NCGC00343773-03,YW3-56,-2.599885348156077,-2.6690832172188057,-2.4068376921607593,-2.723735135088666,240.656,276.497,246.682,0.051995,,,1,Peptidylarginine Deiminase (PAD) Inhibitor,PADI1
46,NCGC00163411-06,Triptolide,-2.568696230681565,-2.5423775175885672,-2.750611398743545,-2.4130997757125825,250.833,242.0,273.572,,,,0,Inhibition of RNA polymerase II mediated transcription,POLR2A
47,NCGC00346692-03,CUDC-907,-2.5588190396684216,-3.041543442249582,-2.3593529337218526,-2.27556074303383,210.74,281.262,285.478,,,,0,PI3K Inhibitor,PIK3CA
48,NCGC00346477-02,Emricasan,-2.542349656865088,-1.5812966708501737,-2.820298894181798,-3.2254534055632913,328.027,235.007,203.251,,,,0,Caspase Inhibitor,CASP3
49,NCGC00346827-02,7-Hydroxystaurosporine,-2.4878610947661848,-1.914775315302953,-3.0813903256821886,-2.4674176433134134,301.242,208.807,268.87,,,,0,CDK1/2/4/6,CDK1
50,NCGC00386421-05,Verdinexor,-2.4787540430787725,-2.268634939444708,-2.72108415021165,-2.446543039579959,272.82,244.963,270.677,,,,0,Exportin-1 Antagonist,XPO1
51,NCGC00016447-01,Proscillaridin,-2.471781741431658,-2.9413193209934736,-2.1056557710067016,-2.3683701322947988,218.79,306.72,277.444,,,,0,Cardiac glycoside,
52,NCGC00015769-14,Strophantine octahydrate,-2.4451269502645827,-2.985318332734975,-1.826178320761341,-2.523884197297433,215.256,334.765,263.982,,,,0,Sodium/potassium-transporting ATPase subunit alpha-3 Inhibitor,ATP1A3
53,NCGC00091455-13,Celecoxib,-2.4449213353232353,-2.32244470988805,-2.5652564130218933,-2.447062883059763,268.498,260.6,270.632,,,,0,Cyclooxygenase-2 Inhibitor,PTGS2
54,NCGC00263208-09,TW-37,-2.4341501623654014,-2.013505412391269,-2.081998097022659,-3.2069469776822768,293.312,309.094,204.853,,,,0,Bcl-xL Inhibitor/Mcl-1 Inhibitor,BCL2L1
55,NCGC00346886-09,YK-4-279,-2.4123263517513496,-1.8803131578325298,-1.2678910968320891,-4.08877480058943,304.01,390.788,128.518,0.010903,0.001592,1.253569,3,EWS-FLI1 Inhibitor,EWSR1
56,NCGC00379254-06,KRCA-0008,-2.389320440232158,-2.326939232592827,-2.4045755641092104,-2.436446523994437,268.137,276.724,271.551,,,,0,ALK Inhibitor,ALK
57,NCGC00168108-05,AG-14361,-2.3758092018930843,-2.0043545143635373,-3.005105787203735,-2.1179673041119806,294.047,216.462,299.12,,,0.125757,1,PARP Inhibitor,PARP1
58,NCGC00015937-04,Spermidine,-2.361153126403794,-1.7802882397987934,-0.9611285954627559,-4.342042543949833,312.044,421.571,106.594,,,,0,NOS Inhibitor,GRIN2A
59,NCGC00381562-02,Tazemetostat,-2.351841342336365,-2.398303787007736,-1.9625039231630719,-2.694716316838286,262.405,321.085,249.194,,,,0,EZH2 Inhibitor,EZH2
60,NCGC00178377-07,Amygdalin,-2.3268081732428314,-2.127586607803657,-1.9068177048720722,-2.946020207052764,284.149,326.673,227.44,0.022448,0.015764,0.116508,3,"Nitric oxide synthase, inducible Inhibitor",
61,NCGC00346617-03,AZD-5438,-2.3149236266923148,-2.110666784103403,-2.81041329494331,-2.023690801030232,285.508,235.999,307.281,,,,0,CDK1/2 Inhibitor,CDK1
62,NCGC00347280-04,IKK-2 Inhibitor VIII,-2.3068126810963627,-2.0440706568240326,-2.4792556857757724,-2.3971117006892837,290.857,269.23,274.956,,,,0,IKK beta Inhibitor,IKBKB
63,NCGC00094087-07,Mizoribine,-2.3002167249700904,-1.8613639513043563,-2.954173027417533,-2.0851131961883818,305.532,221.573,301.964,0.324661,1.344108,,2,Inosine 5'-Monophosphate Dehydrogenase (IMPDH) Inhibitor,IMPDH1
64,NCGC00378595-03,RO-4987655,-2.2890351265651288,-2.3434980004525316,-2.034991674030776,-2.4886157052120788,266.807,313.811,267.035,,,,0,MEK Inhibitor,MAP2K1
65,NCGC00378635-03,Triptonide,-2.286271070713968,-2.6134557173713158,-2.46852303418318,-1.7768344605874087,245.124,270.307,328.65,,,,0,Immunosuppressants,
66,NCGC00161290-05,"16,16-dimethyl PGE2",-2.285491413494267,-1.6213987695540155,-2.103124579266202,-3.1319508916625844,324.806,306.974,211.345,0.005016,,,1,prostaglandin,
67,NCGC00378324-03,Bruceantin,-2.278600834699905,-2.5370986321956988,-2.3705140941524037,-1.9281897777516126,251.257,280.142,315.548,,,,0,MYC Expression Inhibitor;Apoptosis Inducers,MYC
68,NCGC00345791-06,ASP-3026,-2.2580933089843063,-2.458288857344622,-2.160664347414418,-2.155326722193879,257.587,301.2,295.886,,0.011108,0.001521,2,ALK Inhibitor,ALK
69,NCGC00015199-24,Chlorambucil,-2.230428020903821,-1.9347080877415903,-1.0917739644310813,-3.664802010538792,299.641,408.461,165.219,,0.001243,1.329823,2,DNA Alkylating Agent,
70,NCGC00090797-28,Digoxin,-2.2162681459424354,-2.49206625373814,-1.6868830524593386,-2.469855131629827,254.874,348.743,268.659,,,,0,Steroid,
71,NCGC00242514-13,Sepantronium bromide,-2.2110788461076436,-2.601852129668124,-2.396224624429923,-1.635159784224884,246.056,277.562,340.914,,,,0,Survivin Inhibitor,BIRC5
