drug,NSC,MOA,clinical_status,CUACC1,CUACC2,H295R,SW13
Vincristine sulfate,67574,tubulin,FDA approved,10.2350770153501,NA,12.9281179926939,9.31966448658544
OTS-167,801013,MELK,Clinical trial,9.86966623150499,7.15490195998574,6.32975414692588,6.1444808443322
Docetaxel,628503,microtubules,FDA approved,8.92081875395237,8.95860731484177,7.87289520163519,9.69897000433602
SJG136,694501,DNA minor groove interstrand cross-linking,Clinical trial,8.40230481407449,8.22914798835786,7.08830984124614,9.09474395125155
Ipatasertib,767898,AKT,Clinical trial,7.64975198166584,8.91721462968355,NA,6.20134935455473
TAK-243,785004,Ubiquitin-activating enzyme (UAE),Clinical trial,7.30539480106643,7.69250396208679,7.02641037657274,8.06550154875643
Bortezomib,681239,26S proteasome,FDA approved,7.22914798835786,8.58502665202918,8.11918640771921,8.55284196865778
Dinaciclib,747135,CDK1/2/5/9,Clinical trial,7.19722627470802,6.53313237964589,NA,NA
Topotecan,641007,TOP1,FDA approved,6.99567862621736,6.65560772631489,5.22650610772903,7.57348873863543
Doxorubicin,123127,TOP2,FDA approved,6.84466396253494,6.70553377383841,5.88173527391052,6.77989191195995
Vistusertib,767189,mTOR,Clinical trial,6.74472749489669,5.0301183562535,NA,5.47495519296315
Brigatinib,784728,"ALK, EGFR",FDA approved,6.45222529461218,6.21112488422458,NA,6.30627305107635
BAY-1895344,800525,ATR,Clinical trial,6.16877030613294,7.90657831483777,9.69250396208679,10.8181564120552
Entinostat,706995,Histone deacetylase,Clinical trial,6.1438755557577,5.57675412606319,5.57348873863543,5.26520017041115
Aldoxorubicin,784722,TOP2,Clinical trial,5.83863199776502,5.85387196432176,5.27327279097343,5.87289520163519
Navitoclax,759659,Bcl-2,Clinical trial,5.40782324260413,5.15676722190199,5.22694530663574,5.44249279809434
BMS-754807,758243,"IGF1R, InsR",Clinical trial,5.40318306408441,6.80938820218639,5.78754603895972,5.63695240547891
Capivasertib,764039,AKT,Clinical trial,5.37509939779551,5.57348873863543,5.37644060999456,5.62800908853508
Cisplatin,119875,DNA crosslinking,FDA approved,5.36151074304536,5.06854212931099,4.61618463401957,5.01863449092146
Berzosertib,777718,ATR,Clinical trial,5.18045606445813,5.32605800136591,5.06905096883248,5.65364702554936
MK-2206,756656,AKT,Clinical trial,5.17522353752445,5.39469495385889,5.32513885926219,5.44490555142168
LGK-974,777639,PORCN,Clinical trial,5.14874165128092,5.65757731917779,NA,3.98296666070122
XL-228,778366,"IGF1R, Aurora A, Bcr-Abl, Src, Lyn",Clinical trial,5.12569216687196,5.40055362427472,6.81644546638114,3.65364702554936
Cobimetinib,768068,MEK,FDA approved,5.07058107428571,5.69250396208679,NA,5.24795155218056
ICG-001,756641,β-catenin,Clinical trial,5.00568284733036,NA,NA,4.73048705578208
Tipifarnib,702818,farnesyltransferase,Clinical trial,4.98716277529483,4.90657831483777,NA,5.42712839779952
Temozolomide,759883,AlkAg,FDA approved,4.97551433230083,4.32248429520124,4.37788963963878,4.49444306133618
IPI-549,795067,PI3K,Clinical trial,4.97061622231479,5.0329202658555,4.67571754470231,4.3767507096021
Mitotane,755849,Cytochrome P450 3A4 inducer,FDA approved,4.96980521464325,4.18137827362411,5.08985603893549,4.79669508386152
Ulixertinib,797771,ERK1/2,Clinical trial,4.96257350205938,5.54821356447571,5.3840499483436,4.99139982823808
Entrectinib,774769,"TRK, ROS1, ALK",FDA approved,4.94309514866353,5.33913452199613,NA,5.5185573714977
Infigratinib,764487,FGFR,FDA approved,4.91829272990265,5.53461714855158,5.39491053811842,4.94807608395389
H-89,755766,PKA,Experimental,4.85387196432176,4.98296666070122,4.38195190328791,4.63264407897398
Cabozantinib,761068,"MET, RET, VEGFR, KIT, FLT-3, TIE-2, TRKB, AXL",FDA approved,4.84163750790475,4.58169870868025,4.8153085691824,5.20690839982342
Palbociclib,758247,CDK4/6,FDA approved,4.71669877129645,4.74957999769111,4.56066730616974,4.63827216398241
Dovitinib,759661,"FLT3, c-Kit, FGFR",Clinical trial,4.71444269099223,5.11690664142431,NA,5.65955588515988
LY2090314,772198,GSK3,Clinical trial,4.6458915608526,5.97881070093006,4.40011692792631,4.61798295742513
Dacomitinib,765888,EGFR,FDA approved,4.57024771999759,4.91364016932525,NA,5.67778070526608
Sunitinib,750690,"VEGFR, PDGFR, c-KIT",FDA approved,4.50723961097316,5.23957751657679,NA,5.22548303427145
Pevonedistat,793435,NEDD8-activating enzyme,Clinical trial,4.46344155742847,6.64975198166584,5.19586056766465,6.37882371822496
5-Azacitidine,758186,DNA methyltransferase,FDA approved,4.33348201944512,4.68193666503724,NA,5.10679324694015
Ribociclib,778909,CDK4/6,FDA approved,4.30715308072277,3.90657831483776,4.31247103878537,4.2020403562628
Everolimus,733504,mTOR,FDA approved,4.19111413264019,4.23732143627256,3.46852108295775,4.33441900898205
Etoposide,141540,TOP2,FDA approved,3.48188105285685,4.04383156952464,3.51970553999699,4.67778070526608
Cabazitaxel,761432,tubulin,FDA approved,2.65757731917779,4.08144546944973,NA,4.76700388960785
Linsitinib,756652,IGF-1R and Insulin receptor,Clinical trial,NA,NA,6.24641694110709,4.64781748188864
Mifepristone,759862,PgR,FDA approved,NA,2.97061622231479,NA,4.74232142513082
