rank,drug,n_assoc,ADRS_primary,C_ACC_pct,ACCrelative_resid_pct,S_external,ext_only_note,Primary_MOA,rank_exploratory_withBnb
1,Irinotecan,11,0.790,0.772,0.953,0.50,,DNA Topoisomerase I Inhibitor,6
2,Daunorubicin,12,0.764,0.838,0.822,0.50,,DNA Topoisomerase II Inhibitor,7
3,Mitomycin,12,0.762,0.824,0.832,0.50,,DNA Alkylating Agent,5
4,Cytarabine,9,0.762,0.869,0.785,0.50,,DNA Polymerase Inhibitor,13
5,Mitotane,1,0.758,0.526,0.869,1.00,,Antineoplastic Agent,3
6,Actinomycin D,12,0.742,0.692,0.888,0.55,,DNA-Directed RNA Polymerase Inhibitor,1
7,Brigatinib,8,0.736,0.711,0.879,0.50,,IGF-1R Inhibitor,17
8,Ixazomib,5,0.736,0.851,0.738,0.50,,Proteasome Inhibitor,21
9,Crizotinib,17,0.732,0.635,0.944,0.50,,HGFR Inhibitor,2
10,Docetaxel,12,0.730,0.782,0.794,0.50,,Tubulin depolymerization Inhibitor,14
11,Belinostat,5,0.728,0.805,0.766,0.50,,HDAC Inhibitor,20
12,Abemaciclib,5,0.711,0.811,0.692,0.55,,CDK4/6 Inhibitor,25
13,Celecoxib,2,0.707,0.526,0.991,0.50,,Cyclooxygenase-2 Inhibitor,23
14,Olaparib,1,0.693,0.558,0.925,0.50,,PARP Inhibitor,22
15,Fluorouracil,12,0.692,0.845,0.636,0.50,,Pyrimidine Antagonist,31
16,Pipobroman,3,0.690,0.785,,0.50,,,38
17,Arsenic trioxide,22,0.681,0.772,,0.50,,,9
18,Ibrutinib,13,0.678,0.595,0.850,0.50,,BTK Inhibitor,10
19,Homoharringtonine,1,0.676,0.523,0.916,0.50,,Alkaloid,8
20,Axitinib,1,0.674,0.501,0.935,0.50,,VEGFR-1/2/3 Inhibitor,18
21,Mercaptopurine,27,0.663,0.829,0.579,0.50,,Purine Antagonist,40
22,tepotinib,6,0.657,0.735,,0.50,,,26
23,Paclitaxel,10,0.654,0.788,0.598,0.50,,Tubulin depolymerization Inhibitor,33
24,Palbociclib,26,0.653,0.700,0.607,0.65,,CDK4/6 Inhibitor,16
25,Romidepsin,1,0.652,0.520,0.860,0.50,,HDAC Inhibitor,11
26,Trilaciclib,21,0.651,0.726,,0.50,,,4
27,Ceritinib,12,0.646,0.720,0.645,0.50,,ALK Inhibitor,24
28,Nilotinib,14,0.634,0.681,0.654,0.50,,Bcr-Abl Inhibitor,37
29,Idarubicin,11,0.632,0.703,0.626,0.50,,DNA Topoisomerase II Inhibitor,29
30,Chlorambucil,6,0.626,0.314,1.000,0.50,,DNA Alkylating Agent,35
31,Cobimetinib,29,0.612,0.382,0.897,0.50,,Mek Inhibitor,15
32,Bosutinib,1,0.608,0.512,0.757,0.50,,Bcr-Abl Inhibitor,27
33,Melphalan,6,0.606,0.284,0.981,0.50,,DNA Alkylating Agent,36
34,Zanubrutinib,11,0.603,0.655,,0.50,,,12
35,Tivozanib,1,0.590,0.496,0.729,0.50,,,34
36,Lapatinib,1,0.590,0.515,0.710,0.50,,EGFR Inhibitor,32
37,Panobinostat,1,0.583,0.534,0.673,0.50,,HDAC Inhibitor,49
38,Fulvestrant,2,0.580,0.498,0.701,0.50,,Estrogen Receptor Antagonist,58
39,Etoposide,7,0.577,0.737,0.355,0.70,,DNA Topoisomerase II Inhibitor,44
40,Ribociclib,8,0.576,0.328,0.813,0.60,,CDK4/6 Inhibitor,19
41,Tucatinib,2,0.576,0.470,0.720,0.50,,HER2 Inhibitor,28
42,Hydroxyurea,7,0.573,0.800,0.383,0.50,,Ribonucleoside-Diphosphate Reductase Inhibitor,59
43,Osimertinib,2,0.573,0.453,0.804,0.35,,EGFR (Thr790Met Mutant) Inhibitor,30
44,Epirubicin,4,0.567,0.774,0.393,0.50,,DNA Topoisomerase II Inhibitor,52
