rank,drug,n_assoc,ADRS_final,ADRS_v2,C_ACC_pct,ACCrelative_resid_pct,S_Bneighbor_pct,S_external,ext_dir,Primary_MOA,rank_induced_v3
1,Actinomycin D,12,0.761,0.798,0.692,0.888,0.802,0.55,positive,DNA-Directed RNA Polymerase Inhibitor,1
2,Crizotinib,17,0.729,0.770,0.635,0.944,0.669,0.50,,HGFR Inhibitor,4
3,Mitotane,1,0.723,0.675,0.526,0.869,0.557,1.00,positive,Antineoplastic Agent,3
4,Trilaciclib,21,0.706,0.768,0.726,,0.829,0.50,,,5
5,Mitomycin,12,0.705,0.741,0.824,0.832,0.458,0.50,,DNA Alkylating Agent,2
6,Irinotecan,11,0.697,0.732,0.772,0.953,0.285,0.50,,DNA Topoisomerase I Inhibitor,10
7,Daunorubicin,12,0.688,0.721,0.838,0.822,0.367,0.50,,DNA Topoisomerase II Inhibitor,8
8,Homoharringtonine,1,0.686,0.719,0.523,0.916,0.667,0.50,,Alkaloid,9
9,Arsenic trioxide,22,0.683,0.738,0.772,,0.688,0.50,,,12
10,Ibrutinib,13,0.674,0.705,0.595,0.850,0.614,0.50,,BTK Inhibitor,16
11,Romidepsin,1,0.665,0.694,0.520,0.860,0.664,0.50,,HDAC Inhibitor,14
12,Zanubrutinib,11,0.655,0.701,0.655,,0.770,0.50,,,15
13,Cytarabine,9,0.654,0.681,0.869,0.785,0.218,0.50,,DNA Polymerase Inhibitor,13
14,Docetaxel,12,0.651,0.678,0.782,0.794,0.317,0.50,,Tubulin depolymerization Inhibitor,18
15,Cobimetinib,29,0.650,0.676,0.382,0.897,0.730,0.50,,Mek Inhibitor,17
16,Palbociclib,26,0.648,0.647,0.700,0.607,0.637,0.65,positive,CDK4/6 Inhibitor,24
17,Brigatinib,8,0.643,0.669,0.711,0.879,0.238,0.50,,IGF-1R Inhibitor,19
18,Axitinib,1,0.643,0.668,0.501,0.935,0.454,0.50,,VEGFR-1/2/3 Inhibitor,25
19,Ribociclib,8,0.636,0.642,0.328,0.813,0.815,0.60,positive,CDK4/6 Inhibitor,6
20,Belinostat,5,0.634,0.658,0.805,0.766,0.248,0.50,,HDAC Inhibitor,22
21,Ixazomib,5,0.634,0.657,0.851,0.738,0.225,0.50,,Proteasome Inhibitor,23
22,Olaparib,1,0.634,0.657,0.558,0.925,0.336,0.50,,PARP Inhibitor,11
23,Celecoxib,2,0.633,0.656,0.526,0.991,0.266,0.50,,Cyclooxygenase-2 Inhibitor,20
24,Ceritinib,12,0.631,0.654,0.720,0.645,0.570,0.50,,ALK Inhibitor,21
25,Abemaciclib,5,0.624,0.638,0.811,0.692,0.283,0.55,positive,CDK4/6 Inhibitor,28
26,tepotinib,6,0.623,0.661,0.735,,0.549,0.50,,,30
27,Bosutinib,1,0.615,0.636,0.512,0.757,0.609,0.50,,Bcr-Abl Inhibitor,31
28,Tucatinib,2,0.613,0.633,0.470,0.720,0.725,0.50,,HER2 Inhibitor,26
29,Idarubicin,11,0.612,0.632,0.703,0.626,0.535,0.50,,DNA Topoisomerase II Inhibitor,35
30,Osimertinib,2,0.611,0.657,0.453,0.804,0.705,0.35,negative,EGFR (Thr790Met Mutant) Inhibitor,34
31,Fluorouracil,12,0.606,0.625,0.845,0.636,0.275,0.50,,Pyrimidine Antagonist,27
32,Lapatinib,1,0.603,0.621,0.515,0.710,0.626,0.50,,EGFR Inhibitor,37
33,Paclitaxel,10,0.599,0.616,0.788,0.598,0.391,0.50,,Tubulin depolymerization Inhibitor,32
34,Tivozanib,1,0.599,0.621,0.496,0.729,,0.50,,,44
35,Chlorambucil,6,0.597,0.614,0.314,1.000,0.389,0.50,,DNA Alkylating Agent,40
36,Nilotinib,14,0.593,0.609,0.681,0.654,0.421,0.50,,Bcr-Abl Inhibitor,48
37,Melphalan,6,0.592,0.609,0.284,0.981,0.445,0.50,,DNA Alkylating Agent,43
38,Pipobroman,3,0.588,0.614,0.785,,0.357,0.50,,,39
39,Carmustine,29,0.582,0.596,0.397,0.748,0.630,0.50,,DNA Alkylating Agent,33
40,Mercaptopurine,27,0.581,0.595,0.829,0.579,0.271,0.50,,Purine Antagonist,47
41,Carfilzomib,9,0.579,0.593,0.204,0.776,0.855,0.50,,Proteasome Inhibitor,38
42,Binimetinib,23,0.578,0.591,0.047,0.972,0.741,0.50,,Mek 1/2 Inhibitor,29
43,Doxorubicin,1,0.577,0.556,0.656,0.411,0.658,0.70,positive,DNA Topoisomerase II Inhibitor,42
44,Etoposide,7,0.576,0.554,0.737,0.355,0.628,0.70,positive,DNA Topoisomerase II Inhibitor,36
45,Tamoxifen,18,0.572,0.584,0.606,0.495,0.707,0.50,,Selective Estrogen Receptor Modulators (SERM),50
46,Afatinib,9,0.568,0.624,0.257,0.963,0.580,0.25,negative,EGFR Inhibitor,7
47,Acalabrutinib,1,0.566,0.578,0.542,0.561,0.661,0.50,,BTK Inhibitor,46
48,Ixabepilone,11,0.560,0.571,0.813,0.308,0.666,0.50,,Microtubule-Stabilizing Agents,45
49,Panobinostat,1,0.552,0.561,0.534,0.673,0.407,0.50,,HDAC Inhibitor,52
50,Trametinib,22,0.549,0.558,0.057,0.841,0.816,0.50,,Mek 1/2 Inhibitor,41
51,Vandetanib,6,0.549,0.558,0.223,0.907,0.451,0.50,,EGFR Inhibitor,56
52,Epirubicin,4,0.549,0.557,0.774,0.393,0.522,0.50,,DNA Topoisomerase II Inhibitor,54
53,Erlotinib,11,0.547,0.608,0.662,0.486,0.743,0.20,negative,EGFR Inhibitor,51
