rank,drug,n_targets,ADRS,ADRS_equalw,C_ACC,P_C,S_activity,P_A,S_Bneighbor,P_B,activity_known,Primary_MOA
1,Actinomycin D,12,0.8684,0.8666,0.1315,0.699,0.9859,0.991,0.6639,0.910,1,DNA-Directed RNA Polymerase Inhibitor
2,Doxorubicin,1,0.8257,0.8520,0.3369,0.984,0.6653,0.589,0.8148,0.984,1,DNA Topoisomerase II Inhibitor
3,Homoharringtonine,1,0.8038,0.8145,0.0997,0.472,0.9839,0.972,0.9859,1.000,1,
4,Mitomycin,12,0.8032,0.7787,0.2007,0.902,0.8995,0.860,0.5611,0.574,1,
5,Romidepsin,1,0.7753,0.7870,0.0961,0.407,0.9822,0.963,0.8928,0.992,1,HDAC Inhibitor
6,Afatinib,9,0.7720,0.7377,0.1327,0.715,0.9855,0.981,0.5541,0.516,1,EGFR Inhibitor
7,Abemaciclib,5,0.7686,0.7601,0.1880,0.878,0.7642,0.738,0.5831,0.664,1,CDK4/6 Inhibitor
8,Daunorubicin,12,0.7661,0.7229,0.1951,0.894,0.9374,0.897,0.5128,0.377,1,DNA Topoisomerase II Inhibitor
9,Docetaxel,12,0.7519,0.7082,0.1641,0.805,0.9641,0.935,0.5128,0.385,1,Tubulin depolymerization Inhibitor
10,Trilaciclib,21,0.7287,0.7265,0.1390,0.740,,,0.5975,0.713,0,
11,Ixazomib,5,0.7256,0.6613,0.3617,0.992,0.9039,0.869,0.4243,0.123,1,Proteasome Inhibitor
12,Ixabepilone,11,0.7254,0.7285,0.2204,0.935,0.6306,0.570,0.5871,0.680,1,Microtubule-Stabilizing Agents
13,Paclitaxel,10,0.7165,0.6856,0.1711,0.846,0.8050,0.785,0.5318,0.426,1,Tubulin depolymerization Inhibitor
14,Crizotinib,17,0.7101,0.6985,0.1124,0.545,0.9043,0.879,0.5861,0.672,1,HGFR Inhibitor
15,Ceritinib,12,0.7060,0.6960,0.1600,0.789,0.7360,0.701,0.5641,0.598,1,ALK Inhibitor
16,Belinostat,5,0.6969,0.6385,0.2058,0.919,0.8635,0.841,0.4434,0.156,1,HDAC Inhibitor
17,Idarubicin,11,0.6953,0.6830,0.1273,0.667,0.7949,0.776,0.5642,0.607,1,
18,Epirubicin,4,0.6882,0.6872,0.1922,0.886,0.6173,0.561,0.5683,0.615,1,
19,Zanubrutinib,11,0.6881,0.6940,0.1242,0.659,,,0.5997,0.730,0,
