rank,drug,n_targets,ADRS_v2,C_ACC_pct,S_ACCselective_pct,S_Bneighbor_pct,ACC_potency_pct,NCI60_potency_pct,selectivity_resid,activity_known,Primary_MOA
1,Actinomycin D,12,0.792,0.671,0.888,0.809,0.991,0.981,0.888,1,DNA-Directed RNA Polymerase Inhibitor
2,Afatinib,9,0.765,0.676,0.963,0.574,0.981,0.692,0.963,1,EGFR Inhibitor
3,Trilaciclib,21,0.762,0.719,,0.822,,,,0,
4,Mitomycin,12,0.748,0.845,0.832,0.479,0.860,0.720,0.832,1,DNA Alkylating Agent
5,Crizotinib,17,0.736,0.540,0.944,0.676,0.879,0.617,0.944,1,HGFR Inhibitor
6,Daunorubicin,12,0.716,0.838,0.822,0.374,0.897,0.813,0.822,1,DNA Topoisomerase II Inhibitor
7,Ribociclib,8,0.713,0.529,0.813,0.808,0.692,0.336,0.813,1,CDK4/6 Inhibitor
8,Homoharringtonine,1,0.705,0.491,0.916,0.667,0.972,0.897,0.916,1,Alkaloid
9,Zanubrutinib,11,0.697,0.634,,0.784,,,,0,
10,Arsenic trioxide,22,0.696,0.712,,0.673,,,,0,
11,Romidepsin,1,0.674,0.469,0.860,0.664,0.963,0.953,0.860,1,HDAC Inhibitor
12,Ibrutinib,13,0.674,0.489,0.850,0.649,0.757,0.467,0.850,1,BTK Inhibitor
13,Olaparib,1,0.670,0.618,0.925,0.336,0.654,0.131,0.925,1,PARP Inhibitor
14,Irinotecan,11,0.670,0.627,0.953,0.278,0.804,0.280,0.953,1,DNA Topoisomerase I Inhibitor
15,Cobimetinib,29,0.670,0.367,0.897,0.730,0.907,0.766,0.897,1,Mek Inhibitor
16,Cytarabine,9,0.669,0.863,0.785,0.212,0.664,0.299,0.785,1,DNA Polymerase Inhibitor
17,Docetaxel,12,0.664,0.761,0.794,0.317,0.935,0.916,0.794,1,Tubulin depolymerization Inhibitor
18,Ceritinib,12,0.662,0.747,0.645,0.570,0.701,0.645,0.645,1,ALK Inhibitor
19,Brigatinib,8,0.660,0.711,0.879,0.238,0.832,0.607,0.879,1,IGF-1R Inhibitor
