rank,drug,n_targets,ADRS_v3,C_ACC_pct,S_ACCselective_pct,S_Bneighbor_pct,S_external,ext_tier,ext_direction,activity_known,Primary_MOA,ADRS_v2_computational
1,Actinomycin D,12,0.756,0.671,0.888,0.809,0.55,pediatric_context,positive,1,DNA-Directed RNA Polymerase Inhibitor,1
2,Mitomycin,12,0.716,0.845,0.832,0.479,0.50,,,1,DNA Alkylating Agent,4
3,Mitotane,1,0.709,0.480,0.869,0.552,1.00,clinical_standard,positive,1,Antineoplastic Agent,21
4,Crizotinib,17,0.703,0.540,0.944,0.676,0.50,,,1,HGFR Inhibitor,5
5,Trilaciclib,21,0.700,0.719,,0.822,0.50,,,0,,3
6,Ribociclib,8,0.695,0.529,0.813,0.808,0.60,preclinical_positive,positive,1,CDK4/6 Inhibitor,7
7,Afatinib,9,0.692,0.676,0.963,0.574,0.25,class_clinical_failure,negative,1,EGFR Inhibitor,2
8,Daunorubicin,12,0.689,0.838,0.822,0.374,0.50,,,1,DNA Topoisomerase II Inhibitor,6
9,Homoharringtonine,1,0.676,0.491,0.916,0.667,0.50,,,1,Alkaloid,8
10,Irinotecan,11,0.652,0.627,0.953,0.278,0.50,,,1,DNA Topoisomerase I Inhibitor,14
11,Olaparib,1,0.651,0.618,0.925,0.336,0.50,,,1,PARP Inhibitor,13
12,Arsenic trioxide,22,0.651,0.712,,0.673,0.50,,,0,,10
13,Cytarabine,9,0.651,0.863,0.785,0.212,0.50,,,1,DNA Polymerase Inhibitor,16
14,Romidepsin,1,0.650,0.469,0.860,0.664,0.50,,,1,HDAC Inhibitor,11
15,Zanubrutinib,11,0.649,0.634,,0.784,0.50,,,0,,9
16,Ibrutinib,13,0.649,0.489,0.850,0.649,0.50,,,1,BTK Inhibitor,12
17,Cobimetinib,29,0.645,0.367,0.897,0.730,0.50,,,1,Mek Inhibitor,15
18,Docetaxel,12,0.645,0.761,0.794,0.317,0.50,,,1,Tubulin depolymerization Inhibitor,17
19,Brigatinib,8,0.644,0.711,0.879,0.238,0.50,,,1,IGF-1R Inhibitor,19
20,Celecoxib,2,0.642,0.555,0.991,0.266,0.50,,,1,Cyclooxygenase-2 Inhibitor,20
21,Ceritinib,12,0.639,0.747,0.645,0.570,0.50,,,1,ALK Inhibitor,18
22,Belinostat,5,0.634,0.799,0.766,0.254,0.50,,,1,HDAC Inhibitor,22
23,Ixazomib,5,0.634,0.851,0.738,0.225,0.50,,,1,Proteasome Inhibitor,23
24,Palbociclib,26,0.631,0.662,0.607,0.614,0.65,preclinical_positive,positive,1,CDK4/6 Inhibitor,28
