drugA,drugB,B_ACC
Axitinib,Cabozantinib,1.000000
Bosutinib,Lapatinib,1.000000
Binimetinib,Trametinib,0.886495
Cobimetinib,Trametinib,0.875017
Cobimetinib,Selumetinib,0.854797
Binimetinib,Cobimetinib,0.849043
Binimetinib,Selumetinib,0.795854
Pipobroman,Trifluridine,0.762204
Acalabrutinib,Tucatinib,0.754744
Sirolimus,Temsirolimus,0.752392
Bosutinib,Fedratinib,0.750576
Fedratinib,Lapatinib,0.750576
Teniposide,Valrubicin,0.750234
Gilteritinib,Lorlatinib,0.746966
Selumetinib,Trametinib,0.730874
Chlorambucil,Uracil mustard,0.727835
Pralsetinib,Selpercatinib,0.724446
Carmustine,Lomustine,0.706576
Topotecan,Uracil mustard,0.698363
Afatinib,Neratinib,0.697099
Pemetrexed,Trifluridine,0.684904
Cytarabine,Pipobroman,0.672772
Thiotepa,Triethylenemelamine,0.669213
Melphalan,Topotecan,0.663928
Chlorambucil,Topotecan,0.663810
Mercaptopurine,Tioguanine,0.658419
Dasatinib,Pralsetinib,0.657531
Bosutinib,Sunitinib,0.654620
Lapatinib,Sunitinib,0.654620
Cytarabine,Triethylenemelamine,0.653725
Docetaxel,Paclitaxel,0.649442
Brigatinib,Lorlatinib,0.619129
Dacomitinib,Tucatinib,0.612318
Afatinib,Osimertinib,0.607407
Ribociclib,Trilaciclib,0.606389
Dasatinib,Selpercatinib,0.606202
Irinotecan,Pemetrexed,0.605770
Doxorubicin,Etoposide,0.598738
Ibrutinib,Zanubrutinib,0.596278
Abemaciclib,Temsirolimus,0.594575
Daunorubicin,Pemetrexed,0.593272
Everolimus,Lorlatinib,0.589182
Decitabine,Melphalan,0.585598
Pralatrexate,Tioguanine,0.580248
Ibrutinib,Tucatinib,0.574867
Olaparib,Teniposide,0.568185
Cytarabine,Trifluridine,0.567900
Cytarabine,Gemcitabine,0.566804
Doxorubicin,Idarubicin,0.564472
Gemcitabine,Thiotepa,0.563632
Decitabine,Teniposide,0.563540
Ribociclib,Romidepsin,0.560069
Methotrexate,Pipobroman,0.559569
Actinomycin D,Doxorubicin,0.559119
Brigatinib,Gilteritinib,0.558841
Acalabrutinib,Dacomitinib,0.557225
Daunorubicin,Doxorubicin,0.557214
Dacomitinib,Ibrutinib,0.557161
Doxorubicin,Mitomycin,0.557022
Idelalisib,Temsirolimus,0.555965
Acalabrutinib,Afatinib,0.554921
Carfilzomib,Romidepsin,0.554451
Encorafenib,Vemurafenib,0.552046
Mitoxantrone,Uracil mustard,0.550588
Pemigatinib,Temsirolimus,0.550538
Duvelisib,Idelalisib,0.550480
Mercaptopurine,Pralatrexate,0.549078
Methotrexate,Pralatrexate,0.548843
Afatinib,Dacomitinib,0.548570
Pemetrexed,Pralatrexate,0.548033
Decitabine,Valrubicin,0.546854
Everolimus,Temsirolimus,0.545911
Acalabrutinib,Zanubrutinib,0.545049
Everolimus,Gilteritinib,0.544050
Oxaliplatin,Pralatrexate,0.542591
Imatinib,Nilotinib,0.542341
Ixabepilone,Panobinostat,0.542266
Methotrexate,Pemetrexed,0.542007
Imatinib,Raloxifene,0.541947
Crizotinib,Doxorubicin,0.541858
Daunorubicin,Decitabine,0.539893
Decitabine,Mitomycin,0.539759
Actinomycin D,Romidepsin,0.539666
Actinomycin D,Homoharringtonine,0.539619
Fluorouracil,Panobinostat,0.539152
Acalabrutinib,Ibrutinib,0.538144
Avapritinib,Carmustine,0.537195
Fedratinib,Palbociclib,0.536698
Clofarabine,Methotrexate,0.535741
Decitabine,Nitrogen mustard,0.532116
Bleomycin,Gilteritinib,0.530219
Axitinib,Ifosfamide,0.528973
Cabozantinib,Ifosfamide,0.528973
Triethylenemelamine,Uracil mustard,0.528883
Axitinib,Tioguanine,0.528239
Cabozantinib,Tioguanine,0.528239
Panobinostat,Vorinostat,0.527942
Axitinib,Crizotinib,0.527920
Cabozantinib,Crizotinib,0.527920
Panobinostat,Tamoxifen,0.527635
Daunorubicin,Irinotecan,0.526888
Lorlatinib,Selpercatinib,0.526566
Erdafitinib,Pralsetinib,0.525987
Idarubicin,Nitrogen mustard,0.522522
Dasatinib,Mitotane,0.519414
Azacitidine,Methotrexate,0.518735
Bosutinib,Palbociclib,0.518391
Lapatinib,Palbociclib,0.518391
Axitinib,Lomustine,0.518003
Cabozantinib,Lomustine,0.518003
Decitabine,Methotrexate,0.517967
Methotrexate,Panobinostat,0.517884
Dabrafenib,Selumetinib,0.517468
Raloxifene,Tamoxifen,0.517218
Lorlatinib,Pralsetinib,0.516827
Axitinib,Carmustine,0.516652
Cabozantinib,Carmustine,0.516652
Crizotinib,Imatinib,0.516505
Fruquintinib,Pralsetinib,0.514012
Erdafitinib,Selpercatinib,0.513334
Gilteritinib,Selpercatinib,0.513122
Abiraterone,Gilteritinib,0.512617
Mitoxantrone,Valrubicin,0.512434
Encorafenib,Selumetinib,0.512172
Dabrafenib,Vinorelbine,0.511898
Etoposide,Teniposide,0.511096
Gilteritinib,Pralsetinib,0.508311
Lenvatinib,Pralsetinib,0.505421
Dabrafenib,Encorafenib,0.502605
Pemetrexed,Pipobroman,0.502405
Dasatinib,Erdafitinib,0.499349
Cobimetinib,Encorafenib,0.498967
Cobimetinib,Dabrafenib,0.496707
Arsenic trioxide,Lomustine,0.495466
Chlorambucil,Melphalan,0.493778
Mitoxantrone,Triethylenemelamine,0.493585
Melphalan,Thiotepa,0.492852
Chlorambucil,Thiotepa,0.492734
Thiotepa,Trifluridine,0.490986
Triethylenemelamine,Trifluridine,0.490035
Binimetinib,Encorafenib,0.489960
Palbociclib,Trilaciclib,0.486204
Celecoxib,Talazoparib,0.485029
Dabrafenib,Trametinib,0.482876
Epirubicin,Valrubicin,0.477262
Ifosfamide,Lomustine,0.474383
Actinomycin D,Lomustine,0.466089
Avapritinib,Sunitinib,0.463003
Gemcitabine,Trifluridine,0.462117
Abiraterone,Fruquintinib,0.461631
Pipobroman,Pralatrexate,0.461173
Carboplatin,Cisplatin,0.459993
Irinotecan,Pipobroman,0.457946
Gemcitabine,Pemetrexed,0.451965
Fludarabine,umbralisib,0.451928
Cytarabine,Uracil mustard,0.450395
Daunorubicin,Idarubicin,0.449936
Carfilzomib,Vinblastine,0.446811
Etoposide,Valrubicin,0.446678
Encorafenib,Trametinib,0.446260
Crizotinib,Raloxifene,0.446228
Daunorubicin,Pipobroman,0.445460
Actinomycin D,Crizotinib,0.444160
