drugA,drugB,B_ACC
Axitinib,Cabozantinib,1.000000
Bosutinib,Lapatinib,1.000000
Binimetinib,Trametinib,0.889328
Cobimetinib,Trametinib,0.879310
Cobimetinib,Selumetinib,0.858238
Binimetinib,Cobimetinib,0.857571
Binimetinib,Selumetinib,0.805153
Teniposide,Valrubicin,0.755682
Acalabrutinib,Tucatinib,0.750000
Bosutinib,Fedratinib,0.750000
Fedratinib,Lapatinib,0.750000
Gilteritinib,Lorlatinib,0.750000
Pipobroman,Trifluridine,0.750000
Sirolimus,Temsirolimus,0.750000
Selumetinib,Trametinib,0.742424
Chlorambucil,Uracil mustard,0.733333
Pralsetinib,Selpercatinib,0.725607
Carmustine,Lomustine,0.715198
Topotecan,Uracil mustard,0.700000
Afatinib,Neratinib,0.694444
Bosutinib,Sunitinib,0.666667
Chlorambucil,Topotecan,0.666667
Cytarabine,Pipobroman,0.666667
Cytarabine,Triethylenemelamine,0.666667
Lapatinib,Sunitinib,0.666667
Melphalan,Topotecan,0.666667
Pemetrexed,Trifluridine,0.666667
Thiotepa,Triethylenemelamine,0.666667
Dasatinib,Pralsetinib,0.654915
Mercaptopurine,Tioguanine,0.646991
Docetaxel,Paclitaxel,0.641667
Brigatinib,Lorlatinib,0.625000
Afatinib,Osimertinib,0.611111
Dacomitinib,Tucatinib,0.611111
Ribociclib,Trilaciclib,0.604167
Dasatinib,Selpercatinib,0.603243
Abemaciclib,Temsirolimus,0.600000
Everolimus,Lorlatinib,0.590909
Irinotecan,Pemetrexed,0.590909
Ibrutinib,Zanubrutinib,0.587413
Daunorubicin,Pemetrexed,0.583333
Decitabine,Melphalan,0.583333
Gemcitabine,Thiotepa,0.583333
Ibrutinib,Tucatinib,0.576923
Doxorubicin,Etoposide,0.571429
Dacomitinib,Ibrutinib,0.564103
Brigatinib,Gilteritinib,0.562500
Decitabine,Teniposide,0.562500
Olaparib,Teniposide,0.562500
Pralatrexate,Tioguanine,0.562500
Ribociclib,Romidepsin,0.562500
Encorafenib,Vemurafenib,0.560606
Acalabrutinib,Afatinib,0.555556
Acalabrutinib,Dacomitinib,0.555556
Afatinib,Dacomitinib,0.555556
Carfilzomib,Romidepsin,0.555556
Cytarabine,Trifluridine,0.555556
Duvelisib,Idelalisib,0.555556
Idelalisib,Temsirolimus,0.555556
Methotrexate,Pipobroman,0.555556
Mitoxantrone,Uracil mustard,0.550000
Pemigatinib,Temsirolimus,0.550000
Acalabrutinib,Zanubrutinib,0.545455
Decitabine,Valrubicin,0.545455
Doxorubicin,Idarubicin,0.545455
Everolimus,Gilteritinib,0.545455
Everolimus,Temsirolimus,0.545455
Ixabepilone,Panobinostat,0.545455
Imatinib,Nilotinib,0.542857
Imatinib,Raloxifene,0.542857
Actinomycin D,Doxorubicin,0.541667
Actinomycin D,Homoharringtonine,0.541667
Actinomycin D,Romidepsin,0.541667
Cytarabine,Gemcitabine,0.541667
Daunorubicin,Decitabine,0.541667
Daunorubicin,Doxorubicin,0.541667
Decitabine,Mitomycin,0.541667
Doxorubicin,Mitomycin,0.541667
Fluorouracil,Panobinostat,0.541667
Acalabrutinib,Ibrutinib,0.538462
Fedratinib,Palbociclib,0.538462
Clofarabine,Methotrexate,0.537037
Mercaptopurine,Pralatrexate,0.537037
Methotrexate,Pemetrexed,0.537037
Methotrexate,Pralatrexate,0.537037
Idarubicin,Nitrogen mustard,0.536932
Etoposide,Teniposide,0.535714
Avapritinib,Carmustine,0.534483
Triethylenemelamine,Uracil mustard,0.533333
Oxaliplatin,Pralatrexate,0.532258
Axitinib,Tioguanine,0.531250
Bleomycin,Gilteritinib,0.531250
Cabozantinib,Tioguanine,0.531250
Decitabine,Nitrogen mustard,0.531250
Axitinib,Crizotinib,0.529412
Axitinib,Ifosfamide,0.529412
Cabozantinib,Crizotinib,0.529412
Cabozantinib,Ifosfamide,0.529412
Crizotinib,Doxorubicin,0.529412
Panobinostat,Tamoxifen,0.527778
Panobinostat,Vorinostat,0.527778
Dabrafenib,Selumetinib,0.527315
Lorlatinib,Selpercatinib,0.527027
Erdafitinib,Pralsetinib,0.526271
Daunorubicin,Irinotecan,0.522727
Dasatinib,Mitotane,0.520000
Bosutinib,Palbociclib,0.519231
Lapatinib,Palbociclib,0.519231
Axitinib,Lomustine,0.518519
Azacitidine,Methotrexate,0.518519
Cabozantinib,Lomustine,0.518519
Decitabine,Methotrexate,0.518519
Encorafenib,Selumetinib,0.518519
Methotrexate,Panobinostat,0.518519
Crizotinib,Imatinib,0.517647
Axitinib,Carmustine,0.517241
Cabozantinib,Carmustine,0.517241
Lorlatinib,Pralsetinib,0.516949
Fruquintinib,Pralsetinib,0.516676
Mitoxantrone,Valrubicin,0.515152
Gilteritinib,Selpercatinib,0.513514
Abiraterone,Gilteritinib,0.512821
Dabrafenib,Vinorelbine,0.512500
Epirubicin,Valrubicin,0.511364
Gilteritinib,Pralsetinib,0.508475
Erdafitinib,Selpercatinib,0.508108
Raloxifene,Tamoxifen,0.507937
Lenvatinib,Pralsetinib,0.507533
Cobimetinib,Encorafenib,0.505747
Cobimetinib,Dabrafenib,0.505603
Dabrafenib,Encorafenib,0.504167
Celecoxib,Talazoparib,0.500000
Chlorambucil,Melphalan,0.500000
Chlorambucil,Thiotepa,0.500000
Melphalan,Thiotepa,0.500000
Mitoxantrone,Triethylenemelamine,0.500000
Pemetrexed,Pralatrexate,0.500000
Thiotepa,Trifluridine,0.500000
Triethylenemelamine,Trifluridine,0.500000
Binimetinib,Encorafenib,0.495652
Arsenic trioxide,Lomustine,0.494949
Dabrafenib,Trametinib,0.493182
Dasatinib,Erdafitinib,0.490000
Actinomycin D,Lomustine,0.481481
Ifosfamide,Lomustine,0.479303
Palbociclib,Trilaciclib,0.473443
Etoposide,Valrubicin,0.467532
Cytarabine,Uracil mustard,0.466667
Carboplatin,Cisplatin,0.464286
Abiraterone,Fruquintinib,0.463193
Crizotinib,Raloxifene,0.455882
Fludarabine,umbralisib,0.450000
Encorafenib,Trametinib,0.448485
Bleomycin,Selpercatinib,0.447635
Binimetinib,Dabrafenib,0.445109
Carfilzomib,Vinblastine,0.444444
Cytarabine,Thiotepa,0.444444
Arsenic trioxide,Carmustine,0.439655
Dexrazoxane,Idarubicin,0.439394
Uracil mustard,Valrubicin,0.436364
Daunorubicin,Idarubicin,0.435606
Nilotinib,Raloxifene,0.428571
Actinomycin D,Crizotinib,0.426471
