drug,n_assoc,C_ACC_full,C_ACC_induced
Pralatrexate,2,0.420978,0.454999
Ixazomib,5,0.320546,0.348664
Pemetrexed,2,0.228421,0.270609
Pipobroman,3,0.193382,0.238200
Doxorubicin,1,0.192350,0.286533
Gemcitabine,4,0.170514,0.237691
Cytarabine,9,0.165980,0.216279
Tioguanine,16,0.162322,0.226275
Abemaciclib,5,0.149330,0.185210
Belinostat,5,0.147076,0.202927
Trifluridine,6,0.135168,0.197314
Epirubicin,4,0.134907,0.176559
Fluorouracil,12,0.124909,0.194076
Daunorubicin,12,0.122067,0.180568
Hydroxyurea,7,0.118208,0.162820
Mitomycin,12,0.111454,0.179803
Ixabepilone,11,0.107643,0.201012
Methotrexate,27,0.107127,0.168691
Mercaptopurine,27,0.105412,0.156234
Paclitaxel,10,0.097948,0.165325
Oxaliplatin,31,0.095925,0.157998
Docetaxel,12,0.087139,0.158544
Irinotecan,11,0.085219,0.121324
tepotinib,6,0.085200,0.131609
Etoposide,7,0.081380,0.146480
Arsenic trioxide,22,0.079386,0.136111
Allopurinol,13,0.078347,0.127246
Dabrafenib,40,0.073946,0.124091
Cyclophosphamide,16,0.067681,0.125354
Brigatinib,8,0.061784,0.131611
Ceritinib,12,0.061632,0.141537
Trilaciclib,21,0.060293,0.132998
Idarubicin,11,0.059886,0.111572
Erdafitinib,10,0.058659,0.145770
Actinomycin D,12,0.057378,0.114905
Palbociclib,26,0.052534,0.120649
Nilotinib,14,0.051293,0.105834
Raloxifene,14,0.051060,0.106534
Erlotinib,11,0.050978,0.116847
Zanubrutinib,11,0.050347,0.112838
Olaparib,1,0.049785,0.158939
Avapritinib,2,0.047413,0.165656
Azacitidine,1,0.047164,0.126439
Crizotinib,17,0.046112,0.099727
Encorafenib,15,0.045111,0.089488
Decitabine,1,0.044594,0.111625
Acalabrutinib,1,0.044529,0.111438
Tamoxifen,18,0.044036,0.104298
Ibrutinib,13,0.043503,0.090664
Panobinostat,1,0.043244,0.100031
Vinorelbine,1,0.041759,0.095139
Temsirolimus,1,0.041716,0.097924
Mitotane,1,0.041092,0.089189
Homoharringtonine,1,0.041069,0.090194
Romidepsin,1,0.040875,0.088845
Celecoxib,2,0.040677,0.108631
Bosutinib,1,0.040280,0.089509
Lapatinib,1,0.040280,0.089509
Sunitinib,3,0.040228,0.145812
Gilteritinib,1,0.040065,0.087006
Axitinib,1,0.039897,0.083889
Cabozantinib,1,0.039897,0.083889
Fulvestrant,2,0.039470,0.111227
Tivozanib,1,0.039419,0.080761
Clofarabine,2,0.039142,0.110976
Talazoparib,2,0.037612,0.105482
Selpercatinib,37,0.037451,0.085380
Lomustine,27,0.036845,0.081985
Sirolimus,2,0.036775,0.099104
Tucatinib,2,0.035955,0.092775
Asciminib,3,0.035087,0.109049
Cladribine,3,0.034659,0.108382
Lorlatinib,2,0.034260,0.084433
Osimertinib,2,0.033761,0.082425
Selumetinib,27,0.033600,0.083823
Carmustine,29,0.033209,0.091096
Fedratinib,2,0.032478,0.073861
Cobimetinib,29,0.032300,0.084898
Topotecan,2,0.032245,0.068933
Dasatinib,25,0.031950,0.101079
Thiotepa,3,0.031351,0.087383
Triethylenemelamine,3,0.031005,0.086098
Fruquintinib,31,0.028405,0.064492
Venetoclax,5,0.028318,0.096518
Imatinib,5,0.027965,0.087222
Sonidegib,4,0.027771,0.076479
Selinexor,3,0.027528,0.060631
Vemurafenib,22,0.027084,0.069685
Ribociclib,8,0.026686,0.100720
Sotorasib,4,0.026241,0.068822
Fludarabine,4,0.025308,0.064880
umbralisib,5,0.024279,0.075460
Chlorambucil,6,0.023885,0.071016
Neratinib,6,0.023784,0.078283
Mitoxantrone,6,0.023500,0.071690
Carboplatin,7,0.023481,0.079153
Uracil mustard,5,0.023145,0.060476
Melphalan,6,0.023037,0.068239
Afatinib,9,0.023031,0.089646
Estramustine,7,0.022823,0.080492
Teniposide,8,0.022798,0.090690
Duvelisib,6,0.021918,0.065563
Cisplatin,6,0.021311,0.057767
Darolutamide,8,0.021132,0.073117
Everolimus,11,0.020827,0.085351
Pemigatinib,10,0.020207,0.074726
Carfilzomib,9,0.019947,0.070402
Vandetanib,6,0.019703,0.051728
Bleomycin,16,0.019543,0.089103
Vinblastine,9,0.019471,0.069196
Vorinostat,18,0.019161,0.084931
Dacarbazine,15,0.018757,0.081399
Dexrazoxane,18,0.018564,0.080421
Idelalisib,9,0.017706,0.055686
Dacomitinib,9,0.017702,0.057853
Pralsetinib,59,0.017128,0.062955
Valrubicin,11,0.016314,0.057294
Nitrogen mustard,16,0.015102,0.057739
Zoledronate,20,0.015039,0.065768
Lenvatinib,18,0.014714,0.061243
Ifosfamide,17,0.014128,0.062832
Trametinib,22,0.013884,0.066404
Binimetinib,23,0.013653,0.065807
Abiraterone,39,0.010942,0.054861
