drug,n_targets,C_ACC_700_k3,C_ACC_400_k3
Pralatrexate,2,0.394442,0.449437
Ixazomib,5,0.324417,0.361733
Doxorubicin,1,0.321441,0.336861
Pemetrexed,2,0.235283,0.273275
Gemcitabine,4,0.206343,0.242031
Pipobroman,3,0.203495,0.241166
Tioguanine,16,0.195582,0.237086
Cytarabine,9,0.196350,0.225265
Ixabepilone,11,0.208329,0.220420
Fluorouracil,12,0.191717,0.206593
Belinostat,5,0.159610,0.205839
Trifluridine,6,0.167843,0.202711
Mitomycin,12,0.172764,0.200741
Daunorubicin,12,0.166860,0.195084
Epirubicin,4,0.171427,0.192220
Abemaciclib,5,0.166676,0.188021
Avapritinib,2,0.151093,0.181556
Methotrexate,27,0.149925,0.179170
Olaparib,1,0.132619,0.172474
Paclitaxel,10,0.161055,0.171060
Etoposide,7,0.147747,0.169896
Hydroxyurea,7,0.140875,0.165641
Erdafitinib,10,0.154662,0.164592
Oxaliplatin,31,0.148297,0.164488
Docetaxel,12,0.140658,0.164061
Mercaptopurine,27,0.140601,0.163446
Ceritinib,12,0.145729,0.159973
Sunitinib,3,0.132581,0.159456
Allopurinol,13,0.129656,0.154502
Brigatinib,8,0.120247,0.145587
tepotinib,6,0.111758,0.143401
Azacitidine,1,0.116730,0.143170
Trilaciclib,21,0.106915,0.138979
Arsenic trioxide,22,0.107246,0.138779
Dabrafenib,40,0.113641,0.136130
Afatinib,9,0.106929,0.132697
Neratinib,6,0.111993,0.132313
Actinomycin D,12,0.110565,0.131532
Erlotinib,11,0.106724,0.130267
Cyclophosphamide,16,0.098220,0.129702
Palbociclib,26,0.103970,0.129683
Idarubicin,11,0.110837,0.127303
Zanubrutinib,11,0.103286,0.124175
Irinotecan,11,0.100367,0.123598
Clofarabine,2,0.089367,0.122240
Acalabrutinib,1,0.093118,0.119899
Decitabine,1,0.094386,0.119440
Fulvestrant,2,0.121749,0.118402
Celecoxib,2,0.100963,0.118304
Cladribine,3,0.087217,0.116489
Raloxifene,14,0.100651,0.115471
Nilotinib,14,0.095879,0.113935
Talazoparib,2,0.082287,0.113774
Tamoxifen,18,0.093219,0.113764
Asciminib,3,0.087086,0.113684
Dasatinib,25,0.086877,0.112601
Crizotinib,17,0.106066,0.112354
Ribociclib,8,0.094569,0.109754
Panobinostat,1,0.091969,0.109714
Venetoclax,5,0.077145,0.105658
Sirolimus,2,0.085093,0.105547
Temsirolimus,1,0.093854,0.105009
Vinorelbine,1,0.074750,0.102273
Ibrutinib,13,0.102419,0.100188
Tucatinib,2,0.076290,0.099910
Homoharringtonine,1,0.074067,0.099736
Teniposide,8,0.067838,0.098549
Encorafenib,15,0.074081,0.098217
Carmustine,29,0.074069,0.097233
Mitotane,1,0.077639,0.096563
Bosutinib,1,0.074707,0.096559
Lapatinib,1,0.074707,0.096559
Bleomycin,16,0.076843,0.096153
Romidepsin,1,0.074655,0.096056
Gilteritinib,1,0.072680,0.094164
Selpercatinib,37,0.067063,0.093710
Vorinostat,18,0.073490,0.093453
Thiotepa,3,0.073148,0.093449
Imatinib,5,0.094542,0.092993
Cobimetinib,29,0.077479,0.092458
Triethylenemelamine,3,0.076066,0.092326
Selumetinib,27,0.071192,0.092049
Lorlatinib,2,0.068988,0.091359
Everolimus,11,0.074543,0.090971
Axitinib,1,0.071697,0.090439
Cabozantinib,1,0.071697,0.090439
Osimertinib,2,0.073331,0.088974
Tivozanib,1,0.071441,0.087292
Dexrazoxane,18,0.072920,0.086520
Dacarbazine,15,0.063231,0.086481
Estramustine,7,0.051045,0.086049
Pemigatinib,10,0.073843,0.085212
Lomustine,27,0.061997,0.084713
Carboplatin,7,0.069894,0.084404
Sonidegib,4,0.057243,0.083999
umbralisib,5,0.068265,0.080303
Fedratinib,2,0.060529,0.079755
Mitoxantrone,6,0.059928,0.078456
Darolutamide,8,0.056473,0.078010
Vemurafenib,22,0.056076,0.076731
Chlorambucil,6,0.057022,0.076513
Carfilzomib,9,0.064086,0.076293
Vinblastine,9,0.057490,0.074756
Topotecan,2,0.058342,0.074543
Sotorasib,4,0.058101,0.073424
Zoledronate,20,0.048436,0.072989
Melphalan,6,0.056046,0.072626
Trametinib,22,0.057318,0.071460
Binimetinib,23,0.060698,0.070862
Duvelisib,6,0.052586,0.070188
Fruquintinib,31,0.047747,0.069907
Pralsetinib,59,0.046801,0.069649
Fludarabine,4,0.057068,0.069634
Lenvatinib,18,0.048331,0.069236
Ifosfamide,17,0.040902,0.068154
Uracil mustard,5,0.047913,0.066099
Selinexor,3,0.053954,0.065560
Dacomitinib,9,0.043191,0.062205
Valrubicin,11,0.043438,0.061888
Cisplatin,6,0.044534,0.061830
Nitrogen mustard,16,0.044814,0.061497
Abiraterone,39,0.041427,0.059359
Idelalisib,9,0.079582,0.058857
Vandetanib,6,0.046141,0.055421
