drug,n_targets,C_ACC,C_ACC_percentile_mean
Doxorubicin,1,1.000000,1.000000
Pralatrexate,2,0.843223,0.987437
Ixazomib,5,0.461915,0.759799
Pemetrexed,2,0.445327,0.635678
Pipobroman,3,0.311737,0.611390
Gemcitabine,4,0.289659,0.791457
Olaparib,1,0.244714,0.912060
Ixabepilone,11,0.239167,0.709228
Avapritinib,2,0.234852,0.688442
Cytarabine,9,0.230048,0.593523
Epirubicin,4,0.228556,0.613065
Fluorouracil,12,0.215832,0.604899
Tioguanine,16,0.214393,0.592494
Abemaciclib,5,0.209529,0.626131
Trifluridine,6,0.204137,0.632328
Belinostat,5,0.198224,0.606533
Mitomycin,12,0.192142,0.632328
Daunorubicin,12,0.184761,0.569724
Azacitidine,1,0.181159,0.881910
Paclitaxel,10,0.180795,0.672864
Erdafitinib,10,0.172484,0.644724
Etoposide,7,0.170244,0.497846
Sunitinib,3,0.169908,0.640704
Fulvestrant,2,0.161491,0.595477
Hydroxyurea,7,0.160427,0.547739
Ceritinib,12,0.158348,0.663945
Methotrexate,27,0.155999,0.579564
Oxaliplatin,31,0.153430,0.589155
Docetaxel,12,0.152010,0.678811
Mercaptopurine,27,0.145639,0.559092
Allopurinol,13,0.137595,0.546386
Brigatinib,8,0.129619,0.525754
Neratinib,6,0.120363,0.557370
tepotinib,6,0.120009,0.484925
Idarubicin,11,0.115087,0.492919
Dabrafenib,40,0.115020,0.466520
Actinomycin D,12,0.114393,0.517169
Afatinib,9,0.110820,0.533780
Erlotinib,11,0.109853,0.521014
Celecoxib,2,0.109526,0.690955
Arsenic trioxide,22,0.108882,0.567839
Trilaciclib,21,0.108581,0.565446
Crizotinib,17,0.107975,0.521874
Zanubrutinib,11,0.105477,0.535404
Palbociclib,26,0.104976,0.523000
Ibrutinib,13,0.104072,0.464051
Raloxifene,14,0.101807,0.499282
Irinotecan,11,0.101762,0.433074
Cyclophosphamide,16,0.098776,0.511778
Nilotinib,14,0.096013,0.552225
Ribociclib,8,0.094313,0.505967
Imatinib,5,0.094115,0.589447
Tamoxifen,18,0.092879,0.554718
Decitabine,1,0.091780,0.763819
Temsirolimus,1,0.089655,0.751256
Acalabrutinib,1,0.086709,0.743719
Dasatinib,25,0.085871,0.516884
Panobinostat,1,0.082115,0.733668
Clofarabine,2,0.080537,0.687186
Cladribine,3,0.079179,0.722781
Asciminib,3,0.078918,0.608878
Cobimetinib,29,0.075640,0.451655
Idelalisib,9,0.074358,0.537130
Bleomycin,16,0.073391,0.556847
Carmustine,29,0.071877,0.539681
Vorinostat,18,0.069863,0.496650
Sirolimus,2,0.069851,0.698492
Encorafenib,15,0.069847,0.457286
Dexrazoxane,18,0.069197,0.538945
Everolimus,11,0.068894,0.569210
Selumetinib,27,0.068519,0.420342
Pemigatinib,10,0.067420,0.500251
Venetoclax,5,0.066279,0.477889
Selpercatinib,37,0.064777,0.430871
Talazoparib,2,0.062835,0.639447
Carboplatin,7,0.059025,0.509332
Lomustine,27,0.058302,0.490043
Teniposide,8,0.057558,0.492148
Triethylenemelamine,3,0.056878,0.547739
Dacarbazine,15,0.056827,0.519598
Binimetinib,23,0.056191,0.379506
Carfilzomib,9,0.053696,0.570073
Trametinib,22,0.052145,0.394244
umbralisib,5,0.052072,0.472864
Thiotepa,3,0.051042,0.515075
Vemurafenib,22,0.050734,0.417200
Tucatinib,2,0.047845,0.516332
Vinblastine,9,0.044902,0.517030
Pralsetinib,59,0.044337,0.398944
Fruquintinib,31,0.043149,0.395526
Mitoxantrone,6,0.042264,0.474037
Darolutamide,8,0.041930,0.565955
Zoledronate,20,0.041413,0.462814
Lenvatinib,18,0.040510,0.391401
Osimertinib,2,0.040446,0.439698
Chlorambucil,6,0.037906,0.387353
Abiraterone,39,0.037287,0.415153
Melphalan,6,0.036443,0.476131
Nitrogen mustard,16,0.035356,0.428078
Estramustine,7,0.032098,0.429648
Ifosfamide,17,0.031311,0.367573
Duvelisib,6,0.031252,0.434255
Sotorasib,4,0.030237,0.335427
Lorlatinib,2,0.029588,0.435930
Valrubicin,11,0.029307,0.454317
Sonidegib,4,0.028735,0.457915
Fludarabine,4,0.028429,0.347990
Dacomitinib,9,0.025837,0.373534
Mitotane,1,0.024792,0.505025
Vandetanib,6,0.021584,0.329564
Uracil mustard,5,0.019508,0.314070
Cisplatin,6,0.019175,0.351340
Vinorelbine,1,0.013240,0.369347
Bosutinib,1,0.013065,0.361809
Lapatinib,1,0.013065,0.361809
Romidepsin,1,0.012858,0.359296
Selinexor,3,0.012654,0.225293
Homoharringtonine,1,0.010504,0.321608
Fedratinib,2,0.008441,0.275126
Gilteritinib,1,0.004960,0.208543
Topotecan,2,0.002974,0.162060
Axitinib,1,0.001028,0.105528
Cabozantinib,1,0.001028,0.105528
Tivozanib,1,0.000000,0.047739
