drug,n_targets,C_ACC_raw,C_ACC_shrunk_k3,delta,rank_raw,rank_shrunk
Pralatrexate,2,0.843223,0.394442,-0.4488,2,1
Ixazomib,5,0.461915,0.324417,-0.1375,3,2
Doxorubicin,1,1.000000,0.321441,-0.6786,1,3
Pemetrexed,2,0.445327,0.235283,-0.2100,4,4
Ixabepilone,11,0.239167,0.208329,-0.0308,8,5
Gemcitabine,4,0.289659,0.206343,-0.0833,6,6
Pipobroman,3,0.311737,0.203495,-0.1082,5,7
Cytarabine,9,0.230048,0.196350,-0.0337,10,8
Tioguanine,16,0.214393,0.195582,-0.0188,13,9
Fluorouracil,12,0.215832,0.191717,-0.0241,12,10
Mitomycin,12,0.192142,0.172764,-0.0194,17,11
Epirubicin,4,0.228556,0.171427,-0.0571,11,12
Trifluridine,6,0.204137,0.167843,-0.0363,15,13
Daunorubicin,12,0.184761,0.166860,-0.0179,18,14
Abemaciclib,5,0.209529,0.166676,-0.0429,14,15
Paclitaxel,10,0.180795,0.161055,-0.0197,20,16
Belinostat,5,0.198224,0.159610,-0.0386,16,17
Erdafitinib,10,0.172484,0.154662,-0.0178,21,18
Avapritinib,2,0.234852,0.151093,-0.0838,9,19
Methotrexate,27,0.155999,0.149925,-0.0061,27,20
Oxaliplatin,31,0.153430,0.148297,-0.0051,28,21
Etoposide,7,0.170244,0.147747,-0.0225,22,22
Ceritinib,12,0.158348,0.145729,-0.0126,26,23
Hydroxyurea,7,0.160427,0.140875,-0.0196,25,24
Docetaxel,12,0.152010,0.140658,-0.0114,29,25
Mercaptopurine,27,0.145639,0.140601,-0.0050,30,26
Olaparib,1,0.244714,0.132619,-0.1121,7,27
Sunitinib,3,0.169908,0.132581,-0.0373,23,28
Allopurinol,13,0.137595,0.129656,-0.0079,31,29
Fulvestrant,2,0.161491,0.121749,-0.0397,24,30
Brigatinib,8,0.129619,0.120247,-0.0094,32,31
Azacitidine,1,0.181159,0.116730,-0.0644,19,32
Dabrafenib,40,0.115020,0.113641,-0.0014,36,33
Neratinib,6,0.120363,0.111993,-0.0084,33,34
tepotinib,6,0.120009,0.111758,-0.0083,34,35
Idarubicin,11,0.115087,0.110837,-0.0042,35,36
Actinomycin D,12,0.114393,0.110565,-0.0038,37,37
Arsenic trioxide,22,0.108882,0.107246,-0.0016,41,38
Afatinib,9,0.110820,0.106929,-0.0039,38,39
Trilaciclib,21,0.108581,0.106915,-0.0017,42,40
Erlotinib,11,0.109853,0.106724,-0.0031,39,41
Crizotinib,17,0.107975,0.106066,-0.0019,43,42
Palbociclib,26,0.104976,0.103970,-0.0010,45,43
Zanubrutinib,11,0.105477,0.103286,-0.0022,44,44
Ibrutinib,13,0.104072,0.102419,-0.0017,46,45
Celecoxib,2,0.109526,0.100963,-0.0086,40,46
Raloxifene,14,0.101807,0.100651,-0.0012,47,47
Irinotecan,11,0.101762,0.100367,-0.0014,48,48
Cyclophosphamide,16,0.098776,0.098220,-0.0006,49,49
Nilotinib,14,0.096013,0.095879,-0.0001,50,50
Ribociclib,8,0.094313,0.094569,+0.0003,51,51
Imatinib,5,0.094115,0.094542,+0.0004,52,52
Decitabine,1,0.091780,0.094386,+0.0026,54,53
Temsirolimus,1,0.089655,0.093854,+0.0042,55,54
Tamoxifen,18,0.092879,0.093219,+0.0003,53,55
Acalabrutinib,1,0.086709,0.093118,+0.0064,56,56
Panobinostat,1,0.082115,0.091969,+0.0099,58,57
Clofarabine,2,0.080537,0.089367,+0.0088,59,58
Cladribine,3,0.079179,0.087217,+0.0080,60,59
Asciminib,3,0.078918,0.087086,+0.0082,61,60
Dasatinib,25,0.085871,0.086877,+0.0010,57,61
Sirolimus,2,0.069851,0.085093,+0.0152,67,62
Talazoparib,2,0.062835,0.082287,+0.0195,75,63
Idelalisib,9,0.074358,0.079582,+0.0052,63,64
Mitotane,1,0.024792,0.077639,+0.0528,109,65
Cobimetinib,29,0.075640,0.077479,+0.0018,62,66
Venetoclax,5,0.066279,0.077145,+0.0109,73,67
Bleomycin,16,0.073391,0.076843,+0.0035,64,68
Tucatinib,2,0.047845,0.076290,+0.0284,87,69
Triethylenemelamine,3,0.056878,0.076066,+0.0192,79,70
Vinorelbine,1,0.013240,0.074750,+0.0615,113,71
Bosutinib,1,0.013065,0.074707,+0.0616,114,72
Lapatinib,1,0.013065,0.074707,+0.0616,115,73
Romidepsin,1,0.012858,0.074655,+0.0618,116,74
Everolimus,11,0.068894,0.074543,+0.0056,70,75
Encorafenib,15,0.069847,0.074081,+0.0042,68,76
Carmustine,29,0.071877,0.074069,+0.0022,65,77
Homoharringtonine,1,0.010504,0.074067,+0.0636,118,78
Pemigatinib,10,0.067420,0.073843,+0.0064,72,79
Vorinostat,18,0.069863,0.073490,+0.0036,66,80
Osimertinib,2,0.040446,0.073331,+0.0329,95,81
Thiotepa,3,0.051042,0.073148,+0.0221,85,82
Dexrazoxane,18,0.069197,0.072920,+0.0037,69,83
Gilteritinib,1,0.004960,0.072680,+0.0677,120,84
Axitinib,1,0.001028,0.071697,+0.0707,122,85
Cabozantinib,1,0.001028,0.071697,+0.0707,123,86
Tivozanib,1,0.000000,0.071441,+0.0714,124,87
Selumetinib,27,0.068519,0.071192,+0.0027,71,88
Carboplatin,7,0.059025,0.069894,+0.0109,76,89
Lorlatinib,2,0.029588,0.068988,+0.0394,104,90
umbralisib,5,0.052072,0.068265,+0.0162,84,91
Teniposide,8,0.057558,0.067838,+0.0103,78,92
Selpercatinib,37,0.064777,0.067063,+0.0023,74,93
Carfilzomib,9,0.053696,0.064086,+0.0104,82,94
Dacarbazine,15,0.056827,0.063231,+0.0064,80,95
Lomustine,27,0.058302,0.061997,+0.0037,77,96
Binimetinib,23,0.056191,0.060698,+0.0045,81,97
Fedratinib,2,0.008441,0.060529,+0.0521,119,98
Mitoxantrone,6,0.042264,0.059928,+0.0177,91,99
Topotecan,2,0.002974,0.058342,+0.0554,121,100
Sotorasib,4,0.030237,0.058101,+0.0279,103,101
Vinblastine,9,0.044902,0.057490,+0.0126,88,102
Trametinib,22,0.052145,0.057318,+0.0052,83,103
Sonidegib,4,0.028735,0.057243,+0.0285,106,104
Fludarabine,4,0.028429,0.057068,+0.0286,107,105
Chlorambucil,6,0.037906,0.057022,+0.0191,96,106
Darolutamide,8,0.041930,0.056473,+0.0145,92,107
Vemurafenib,22,0.050734,0.056076,+0.0053,86,108
Melphalan,6,0.036443,0.056046,+0.0196,98,109
Selinexor,3,0.012654,0.053954,+0.0413,117,110
Duvelisib,6,0.031252,0.052586,+0.0213,102,111
Estramustine,7,0.032098,0.051045,+0.0189,100,112
Zoledronate,20,0.041413,0.048436,+0.0070,93,113
Lenvatinib,18,0.040510,0.048331,+0.0078,94,114
Uracil mustard,5,0.019508,0.047913,+0.0284,111,115
Fruquintinib,31,0.043149,0.047747,+0.0046,90,116
Pralsetinib,59,0.044337,0.046801,+0.0025,89,117
Vandetanib,6,0.021584,0.046141,+0.0246,110,118
Nitrogen mustard,16,0.035356,0.044814,+0.0095,99,119
Cisplatin,6,0.019175,0.044534,+0.0254,112,120
Valrubicin,11,0.029307,0.043438,+0.0141,105,121
Dacomitinib,9,0.025837,0.043191,+0.0174,108,122
Abiraterone,39,0.037287,0.041427,+0.0041,97,123
Ifosfamide,17,0.031311,0.040902,+0.0096,101,124
