drug,NSC,n_experiments,n_values,NCI60_mean_neglogGI50,NCI60_max
Ixabepilone,747973,4,236,9.2251,11.0000
Vinblastine,49842,138,8280,9.0747,10.7300
Actinomycin D,3053,141,8460,8.9023,10.6000
Paclitaxel,125973,65,3900,7.9747,10.1200
Sirolimus,226080,26,1560,7.9047,10.6800
Romidepsin,754143,3,177,7.9032,8.0000
Panobinostat,761190,3,177,7.8493,8.0000
Vinorelbine,608210,3,171,7.7472,8.0000
Carfilzomib,758252,3,177,7.7334,8.0000
Docetaxel,628503,9,531,7.7178,10.0000
Idarubicin,256439,8,480,7.5803,8.3900
Homoharringtonine,758253,3,177,7.5100,8.0000
Pralatrexate,754230,3,171,7.5042,8.0000
Mitoxantrone,279836,3,180,7.3533,8.0000
Ixazomib,758254,3,177,7.2244,7.9400
Topotecan,609699,21,1260,7.2225,8.6000
Everolimus,733504,3,177,7.1744,8.0000
Doxorubicin,123127,2628,157680,7.0700,8.6000
Selinexor,780203,3,177,7.0407,7.6600
Temsirolimus,683864,6,360,7.0043,10.5000
Daunorubicin,82151,135,8100,7.0027,8.3000
Gemcitabine,613327,11,660,6.7422,8.1200
Epirubicin,256942,4,228,6.7291,8.0000
Trametinib,758246,3,177,6.6976,8.0000
Methotrexate,740,144,8640,6.5397,8.4100
Cobimetinib,768068,3,174,6.4886,8.0000
Dasatinib,732517,7,413,6.3897,8.0000
Fedratinib,767600,3,177,6.3627,8.0000
Belinostat,758774,6,354,6.3071,6.9500
Valrubicin,246131,4,232,6.3033,7.9500
Neratinib,757439,3,174,6.2629,8.0000
Mitomycin,26980,139,8340,6.2540,8.6000
Teniposide,122819,14,840,6.2420,8.2900
Clofarabine,606869,4,236,6.2024,8.0000
Afatinib,750691,3,174,6.1052,8.0000
Dacomitinib,765888,3,174,6.1012,8.0000
Azacitidine,102816,20,1200,6.0323,6.6000
Abemaciclib,768073,3,174,5.9781,8.1700
Vorinostat,701852,10,600,5.9630,7.3100
Ceritinib,776422,3,174,5.9367,7.6900
Tioguanine,752,139,8340,5.9245,7.6000
Trilaciclib,816987,2,114,5.9009,7.2000
Osimertinib,779217,3,177,5.8720,7.3000
Crizotinib,756645,4,236,5.8124,7.3700
Brigatinib,787457,3,177,5.8000,8.0000
Bleomycin,125066,140,8400,5.7882,8.6000
Pralsetinib,811429,2,116,5.7669,7.1700
Gilteritinib,787846,3,177,5.7593,8.0000
Bosutinib,765694,3,174,5.7497,7.5600
Cisplatin,119875,150,9000,5.6992,8.0100
Vemurafenib,761431,4,236,5.6905,7.7300
Vandetanib,760766,3,177,5.6658,6.5800
Pemigatinib,816556,2,112,5.6641,8.0000
Venetoclax,766270,3,174,5.6226,7.2200
Sunitinib,750690,7,413,5.6171,7.0700
Cabozantinib,761068,3,177,5.6103,8.0000
Nitrogen mustard,762,61,3660,5.5903,7.3000
Binimetinib,764042,3,177,5.5851,8.0000
Tivozanib,758007,5,295,5.5754,7.4200
Nilotinib,747599,3,177,5.5510,8.0000
Oxaliplatin,266046,4,236,5.5386,7.6900
tepotinib,758244,4,236,5.5285,7.0400
Lapatinib,745750,6,354,5.5078,7.3500
Ibrutinib,761910,4,236,5.4408,7.6900
Palbociclib,758247,3,177,5.4281,7.3600
Selumetinib,741078,4,236,5.4117,8.0000
Erdafitinib,781556,2,114,5.3991,8.0000
Avapritinib,801082,2,88,5.3882,5.8600
Cladribine,105014,7,413,5.3792,7.6100
Tamoxifen,180973,30,1800,5.3227,6.2000
Triethylenemelamine,9706,137,8220,5.2657,8.0000
Encorafenib,778304,3,168,5.2452,8.0000
Mercaptopurine,755,136,8160,5.2388,6.8800
Dabrafenib,764134,3,153,5.1951,8.0000
Erlotinib,718781,11,660,5.1835,8.0000
Pemetrexed,755384,3,177,5.1576,7.7900
Trifluridine,75520,3,177,5.1505,7.5400
Arsenic trioxide,92859,6,360,5.1305,6.1700
Etoposide,141540,54,3240,5.1170,7.4200
Raloxifene,747974,3,177,5.1032,8.0000
Ribociclib,778909,2,110,5.0960,6.2300
Sonidegib,761385,3,177,5.0903,5.4700
Axitinib,757441,3,174,5.0862,6.4400
Duvelisib,772469,3,174,5.0772,7.2600
Cytarabine,63878,139,8340,5.0507,9.0000
Asciminib,789925,2,116,5.0248,8.0000
Irinotecan,616348,10,600,4.9792,7.8100
Tucatinib,764581,3,174,4.9714,7.3000
Zanubrutinib,823807,3,177,4.9685,6.4700
Selpercatinib,818434,2,116,4.8800,6.2900
Idelalisib,759224,3,174,4.7934,6.3600
Imatinib,743414,4,236,4.7851,7.2500
Mitotane,38721,55,3300,4.7072,5.2700
Celecoxib,719627,3,180,4.7030,5.4200
Uracil mustard,34462,55,3300,4.6903,7.3000
Lenvatinib,755980,3,177,4.6885,6.3400
Talazoparib,767125,4,232,4.6705,7.7400
Fluorouracil,19893,1892,113520,4.6587,6.2800
Sotorasib,818433,3,177,4.5961,8.0000
umbralisib,800405,2,118,4.5678,5.4200
Lorlatinib,780108,3,177,4.5303,8.0000
Melphalan,8806,56,3360,4.5085,5.7700
Abiraterone,749226,3,177,4.4925,5.6800
Lomustine,79037,56,3360,4.4852,7.3000
Darolutamide,825331,2,118,4.4344,7.5700
Fludarabine,312887,16,960,4.3460,5.6700
Estramustine,702294,3,174,4.3122,4.9700
Olaparib,753686,3,177,4.2522,7.3300
Acalabrutinib,791164,3,174,4.2438,5.7200
Fruquintinib,829498,2,114,4.2405,6.6300
Chlorambucil,3088,139,8340,4.2362,5.7500
Carmustine,409962,137,8220,4.2067,6.1400
Fulvestrant,719276,3,174,4.1784,8.0000
Thiotepa,6396,145,8700,4.1687,5.5000
Pipobroman,25154,55,3300,4.1450,5.4500
Dacarbazine,45388,60,3600,4.1387,5.5200
Decitabine,127716,12,720,4.1382,5.8900
Zoledronate,721517,3,177,4.0934,5.9400
Carboplatin,241240,65,3900,3.8738,4.6900
Dexrazoxane,169780,15,900,3.7830,5.1800
Cyclophosphamide,26271,55,3300,3.6225,4.9500
Ifosfamide,109724,53,3180,3.3922,4.3300
Allopurinol,1390,5,295,3.3253,4.0800
Hydroxyurea,32065,54,3240,3.1552,5.9100
