drug,NSC,match_type,MIPE_name,mean_ZAUC,S_activity_pct
Binimetinib,764042,synonym,ARRY-162,-3.3689,0.9927
Actinomycin D,3053,exact,Actinomycin D,-2.8229,0.9859
Afatinib,750691,exact,Afatinib,-2.8220,0.9855
Homoharringtonine,758253,synonym,Omacetaxine mepesuccinate,-2.7065,0.9839
Romidepsin,754143,exact,Romidepsin,-2.6178,0.9822
Celecoxib,719627,exact,Celecoxib,-2.4449,0.9786
Chlorambucil,3088,exact,Chlorambucil,-2.2304,0.9721
Docetaxel,628503,exact,Docetaxel,-2.0647,0.9641
Carfilzomib,758252,exact,Carfilzomib,-1.9783,0.9612
Melphalan,8806,exact,Melphalan,-1.8659,0.9564
Cobimetinib,768068,exact,Cobimetinib,-1.7656,0.9499
Daunorubicin,82151,exact,Daunorubicin,-1.6185,0.9374
Trametinib,758246,exact,Trametinib,-1.3912,0.9144
Crizotinib,756645,exact,Crizotinib,-1.2895,0.9043
Ixazomib,758254,exact,Ixazomib,-1.2885,0.9039
Mitomycin,26980,substr,Mitomycin C,-1.2491,0.8995
Panobinostat,761190,exact,Panobinostat,-1.1114,0.8809
Belinostat,758774,exact,Belinostat,-0.9824,0.8635
Brigatinib,787457,exact,Brigatinib,-0.9792,0.8627
Vandetanib,760766,exact,Vandetanib,-0.8589,0.8438
Osimertinib,779217,substr,Osimertinib mesylate,-0.8323,0.8397
Irinotecan,616348,exact,Irinotecan,-0.7573,0.8212
Selinexor,780203,exact,Selinexor,-0.7151,0.8131
Paclitaxel,125973,exact,Paclitaxel,-0.6775,0.8050
Idarubicin,256439,substr,Idarubicin hydrochloride,-0.6296,0.7949
Bosutinib,765694,exact,Bosutinib,-0.6036,0.7897
Ibrutinib,761910,substr,Ibrutinib (PCI-32765),-0.5326,0.7755
Axitinib,757441,exact,Axitinib,-0.5256,0.7731
Abemaciclib,768073,exact,Abemaciclib,-0.4944,0.7642
Everolimus,733504,exact,Everolimus,-0.4925,0.7634
Sirolimus,226080,exact,Sirolimus,-0.4373,0.7501
Tivozanib,758007,substr,Tivozanib (AV-951),-0.4032,0.7420
Ceritinib,776422,exact,Ceritinib,-0.3842,0.7360
Ribociclib,778909,substr,Ribociclib (LEE011),-0.3824,0.7352
Lapatinib,745750,exact,Lapatinib,-0.3811,0.7348
Mitotane,38721,exact,Mitotane,-0.3745,0.7331
Cytarabine,63878,exact,Cytarabine,-0.3635,0.7287
Olaparib,753686,exact,Olaparib,-0.3604,0.7279
Nilotinib,747599,exact,Nilotinib,-0.3599,0.7275
Dasatinib,732517,exact,Dasatinib,-0.3592,0.7267
Vorinostat,701852,substr,Vorinostat (SAHA),-0.3489,0.7218
Dacomitinib,765888,exact,Dacomitinib,-0.3424,0.7190
Tucatinib,764581,exact,Tucatinib,-0.2803,0.6948
Topotecan,609699,substr,Topotecan hydrochloride,-0.2061,0.6677
Doxorubicin,123127,exact,Doxorubicin,-0.2015,0.6653
Palbociclib,758247,exact,Palbociclib,-0.1616,0.6528
Ixabepilone,747973,exact,Ixabepilone,-0.1025,0.6306
Epirubicin,256942,substr,Epirubicin hydrochloride,-0.0615,0.6173
Carmustine,409962,exact,Carmustine,-0.0535,0.6124
Valrubicin,246131,exact,Valrubicin,-0.0427,0.6084
Mercaptopurine,755,substr,6-mercaptopurine,-0.0215,0.5999
Darolutamide,825331,substr,Darolutamide (ODM-201),-0.0190,0.5975
Selumetinib,741078,substr,Selumetinib (AZD6244),0.0143,0.5838
Fulvestrant,719276,exact,Fulvestrant,0.0705,0.5608
Fluorouracil,19893,exact,Fluorouracil,0.0845,0.5535
Tamoxifen,180973,exact,Tamoxifen,0.1109,0.5402
Mitoxantrone,279836,exact,Mitoxantrone,0.1123,0.5390
Erlotinib,718781,exact,Erlotinib,0.1330,0.5277
Azacitidine,102816,substr,5-Azacitidine,0.1510,0.5220
Estramustine,702294,exact,Estramustine,0.1622,0.5168
Duvelisib,772469,exact,Duvelisib,0.1752,0.5067
Vinblastine,49842,substr,VINBLASTINE SULFATE,0.1934,0.4990
Gemcitabine,613327,exact,Gemcitabine,0.1999,0.4945
Temsirolimus,683864,exact,Temsirolimus,0.2014,0.4937
Imatinib,743414,exact,Imatinib,0.2184,0.4832
Sunitinib,750690,substr,Sunitinib malate,0.2381,0.4711
Acalabrutinib,791164,exact,Acalabrutinib,0.2519,0.4659
Gilteritinib,787846,exact,Gilteritinib,0.2527,0.4651
Lomustine,79037,exact,Lomustine,0.3135,0.4336
Dacarbazine,45388,exact,Dacarbazine,0.3347,0.4182
Vinorelbine,608210,substr,Vinorelbine (ditartrate),0.3621,0.4073
Etoposide,141540,exact,Etoposide,0.3661,0.4053
Fludarabine,312887,exact,Fludarabine,0.3666,0.4033
Asciminib,789925,exact,Asciminib,0.3949,0.3900
Venetoclax,766270,substr,Venetoclax (ABT-199),0.3971,0.3880
Clofarabine,606869,exact,Clofarabine,0.3988,0.3868
Decitabine,127716,exact,Decitabine,0.4223,0.3698
Cabozantinib,761068,exact,Cabozantinib,0.4400,0.3609
Carboplatin,241240,exact,Carboplatin,0.4503,0.3541
Vemurafenib,761431,exact,Vemurafenib,0.4686,0.3448
Dexrazoxane,169780,substr,Dexrazoxane hydrochloride,0.4695,0.3432
Lorlatinib,780108,exact,Lorlatinib,0.5225,0.3133
Idelalisib,759224,exact,Idelalisib,0.5326,0.3076
Hydroxyurea,32065,exact,Hydroxyurea,0.5466,0.2963
Encorafenib,778304,exact,Encorafenib,0.5514,0.2939
Allopurinol,1390,exact,Allopurinol,0.6056,0.2628
Pralatrexate,754230,exact,Pralatrexate,0.6161,0.2564
Abiraterone,749226,exact,Abiraterone,0.6171,0.2560
Cisplatin,119875,exact,Cisplatin,0.6178,0.2551
Erdafitinib,781556,exact,Erdafitinib,0.6320,0.2487
Cyclophosphamide,26271,exact,Cyclophosphamide,0.6911,0.2188
Teniposide,122819,exact,Teniposide,0.7109,0.2095
Thiotepa,6396,exact,ThioTEPA,0.7165,0.2075
Bleomycin,125066,substr,Bleomycin sulfate,0.7185,0.2055
Tioguanine,752,exact,Tioguanine,0.7280,0.2019
Pemetrexed,755384,exact,Pemetrexed,0.7313,0.1998
Methotrexate,740,exact,Methotrexate,0.7584,0.1873
Raloxifene,747974,substr,Raloxifene hydrochloride,0.8449,0.1506
Neratinib,757439,exact,Neratinib,0.8567,0.1461
Dabrafenib,764134,exact,Dabrafenib,0.8881,0.1332
umbralisib,800405,exact,Umbralisib,0.9088,0.1268
Cladribine,105014,exact,Cladribine,0.9149,0.1247
Lenvatinib,755980,exact,Lenvatinib,0.9829,0.1013
Sonidegib,761385,exact,Sonidegib,1.0346,0.0840
Fruquintinib,829498,exact,Fruquintinib,1.1097,0.0593
Oxaliplatin,266046,exact,Oxaliplatin,1.1455,0.0525
Trifluridine,75520,exact,Trifluridine,1.1717,0.0444
Zoledronate,721517,synonym,Zoledronic acid monohydrate,1.6917,0.0036
Arsenic trioxide,92859,MISSING,,,
Avapritinib,801082,MISSING,,,
Fedratinib,767600,MISSING,,,
Ifosfamide,109724,MISSING,,,
Nitrogen mustard,762,MISSING,,,
Pemigatinib,816556,MISSING,,,
Pipobroman,25154,MISSING,,,
Pralsetinib,811429,MISSING,,,
Selpercatinib,818434,MISSING,,,
Sotorasib,818433,MISSING,,,
Talazoparib,767125,MISSING,,,
Triethylenemelamine,9706,MISSING,,,
Trilaciclib,816987,MISSING,,,
Uracil mustard,34462,MISSING,,,
Zanubrutinib,823807,MISSING,,,
tepotinib,758244,MISSING,,,
