gene,NSC,drug,pvalue.pearson,Pearson,pvalue.spear,Spearman,ROLE_IN_CANCER,MOLECULAR_GENETICS,TUMOUR_TYPES_SOMATIC
ABL1,125066,Bleomycin,0.00575478419202069,0.352398573796682,0.00317362701077073,0.374789848840564,"oncogene, fusion",Dom,"CML, ALL, T-ALL"
ABL1,732517,Dasatinib,0.00529901433500179,0.35852032603493,0.00580475094830879,0.354959378711407,"oncogene, fusion",Dom,"CML, ALL, T-ALL"
ABL1,781556,Erdafitinib,0.000389935601182056,0.453959738462842,0.000207274884899355,0.472373062893463,"oncogene, fusion",Dom,"CML, ALL, T-ALL"
ABL1,829498,Fruquintinib,0.00907576730607839,0.342655418409536,0.00868901128473198,0.344487266093008,"oncogene, fusion",Dom,"CML, ALL, T-ALL"
ABL1,811429,Pralsetinib,0.00111816879935844,0.417303074808114,0.000498691850704169,0.442889224697722,"oncogene, fusion",Dom,"CML, ALL, T-ALL"
ABL1,818434,Selpercatinib,0.00360143909750076,0.37628215968811,0.00281351477472036,0.385381628927339,"oncogene, fusion",Dom,"CML, ALL, T-ALL"
ABL2,755980,Lenvatinib,0.00236060465186227,0.398347842599079,0.00508582761593867,0.36936493671719,"oncogene, fusion",Dom,AML
ABL2,816556,Pemigatinib,0.0104539292914251,0.339579029528622,0.0106205764964,0.338893258096351,"oncogene, fusion",Dom,AML
ACKR3,749226,Abiraterone,0.0199919582981225,0.366567796459031,0.022326906667174,0.360443478451418,"oncogene, fusion",Dom,lipoma
ACKR3,829498,Fruquintinib,8.78099605472471e-07,0.598494801181068,5.05036389988333e-05,0.510093782706563,"oncogene, fusion",Dom,lipoma
ACKR3,755980,Lenvatinib,0.000107018883195308,0.494535704437004,0.00155975006969844,0.412989620424689,"oncogene, fusion",Dom,lipoma
ACKR3,811429,Pralsetinib,0.000488076418601934,0.443544401500942,5.61190693133539e-05,0.503476281540157,"oncogene, fusion",Dom,lipoma
ACKR3,818434,Selpercatinib,0.000823035559143203,0.427250411844872,0.000476052555809403,0.444302303219078,"oncogene, fusion",Dom,lipoma
ACSL3,764042,Binimetinib,2.18486746028645e-06,0.572289007650883,9.42951642590728e-05,0.486283732627775,fusion,Dom,prostate
ACSL3,768068,Cobimetinib,2.09593117665995e-05,0.527465411686129,8.83600923153871e-05,0.491784027099838,fusion,Dom,prostate
ACSL3,764134,Dabrafenib,1.08238040752439e-08,0.700072204258741,0.00197744411220068,0.423133268086246,fusion,Dom,prostate
ACSL3,741078,Selumetinib,5.60839124408296e-06,0.552867799507984,0.000387694636075242,0.446903401123649,fusion,Dom,prostate
ACSL3,758246,Trametinib,7.481678356136e-05,0.492297132753064,5.25407368505703e-05,0.501271590963365,fusion,Dom,prostate
ACSL3,761431,Vemurafenib,1.00822619142348e-08,0.663700454133204,0.00688884599727135,0.348161576640204,fusion,Dom,prostate
ACVR1,778304,Encorafenib,0.00174010118672729,0.409186618439139,0.00298130405593277,0.389801949738056,oncogene,Dom,DIPG
ACVR1,761431,Vemurafenib,0.000306120422628009,0.453824022676416,0.00192572378138478,0.395627203450023,oncogene,Dom,DIPG
AFF1,758247,Palbociclib,0.00345284215074559,0.3747442866636,0.000746060422908367,0.426924259493109,fusion,Dom,AL
AFF1,816987,Trilaciclib,0.00143860252594674,0.412288545091707,0.000478635620855705,0.447757809032109,fusion,Dom,AL
AFF3,772469,Duvelisib,0.00128311797661551,0.412736273356141,0.000606092904163579,0.436889474228056,"oncogene, fusion",Dom,"ALL, T-ALL"
AFF3,759224,Idelalisib,0.000858366819264766,0.425903797174711,0.000115043921947055,0.484786956770603,"oncogene, fusion",Dom,"ALL, T-ALL"
AKT3,125066,Bleomycin,0.0048030374134278,0.359366692170184,0.00681962364934118,0.345713493868479,oncogene,,GBM
AKT3,829498,Fruquintinib,0.0109522594375373,0.334627119223244,0.0058927218647975,0.360376007770746,oncogene,,GBM
