gene,n_drug_edges
ABL1,6
ABL2,2
ACKR3,5
ACSL3,6
ACVR1,2
AFF1,2
AFF3,2
AKT3,3
AMER1,7
APOBEC3B,1
AR,2
ARHGAP26,2
ARHGAP35,2
ARHGAP5,1
ARHGEF10,1
ARID1A,6
ARID1B,1
ARID2,5
ASPM,1
ASXL2,6
ATF1,6
ATIC,5
ATM,1
ATP1A1,5
ATR,4
AXIN1,2
B2M,3
BAX,1
BAZ1A,9
BCL10,2
BCL11B,2
BCL2,3
BCL2L12,1
BCL3,8
BCL9L,1
BCLAF1,4
BCOR,9
BCORL1,2
BIRC3,4
BIRC6,5
BLM,14
BRAF,2
BRCA1,7
BRCA2,4
BRD3,2
BRD4,1
BTG2,2
BTK,3
CALR,7
CAMTA1,2
CARD11,1
CASP8,6
CBFA2T3,2
CBFB,6
CCDC6,1
CCND3,2
CCR4,1
CCR7,1
CD209,1
CD74,1
CDH11,2
CDK12,1
CDK4,2
CDK6,1
CDKN1A,2
CDKN2C,2
CEP89,3
CHCHD7,2
CHD4,18
CHEK2,4
CHST11,1
CIC,1
CIITA,1
CLP1,1
CLTC,1
CLTCL1,2
CNBD1,2
CNBP,1
CNTRL,11
COL1A1,6
COL2A1,3
COL3A1,5
CREB1,2
CREB3L1,6
CREB3L2,6
CREBBP,1
CRNKL1,1
CRTC1,2
CTCF,8
CUX1,1
CXCR4,1
DAXX,2
DDB2,1
DDX5,6
DDX6,4
DNMT3A,2
EBF1,2
ECT2L,1
EED,1
EGFR,8
ELF3,2
ELF4,4
EML4,3
EP300,2
EPAS1,6
EPHA3,2
ERBB2,1
ERBB3,3
ERBB4,6
ERCC5,3
ERG,1
ETNK1,4
ETV1,4
ETV4,5
ETV5,4
ETV6,1
EWSR1,11
EXT1,5
EXT2,1
EZH2,2
FANCA,4
FANCC,1
FANCD2,1
FANCE,2
FANCF,1
FAS,6
FAT4,7
FBXW7,2
FCGR2B,1
FEN1,5
FEV,1
FGFR1,8
FGFR2,2
FHIT,1
FIP1L1,4
FKBP9,1
FLCN,1
FLI1,5
FLNA,9
FLT3,7
FLT4,1
FNBP1,5
FOXO3,2
FOXO4,6
FOXP1,2
FSTL3,6
FUBP1,9
GAS7,4
GATA3,1
GMPS,1
GNA11,1
GNAS,1
GPHN,1
HEY1,1
HIF1A,1
HLA-A,1
HMGA1,3
HNRNPA2B1,1
HOXA11,2
HOXD11,3
HRAS,1
HSP90AB1,2
IDH1,6
IKZF1,5
IL21R,1
IL6ST,4
IL7R,2
IRF4,2
IRS4,1
ITGAV,8
JAK1,2
JAK3,2
JAZF1,2
JUN,7
KAT6A,1
KAT7,1
KDM5A,7
KDM5C,4
KDR,1
KDSR,2
KIAA1549,1
KLF6,1
KLK2,3
KMT2C,1
KMT2D,5
LARP4B,5
LASP1,9
LATS2,3
LCP1,12
LEF1,1
LEPROTL1,1
LIFR,1
LMO2,1
LPP,4
LYL1,1
LYN,1
MAF,2
MAFB,1
MALAT1,1
MALT1,4
MAML2,1
MAP3K1,6
MAX,5
MB21D2,3
MDM4,2
MECOM,2
MED12,2
MEN1,7
MET,2
MGMT,3
MITF,1
MLLT1,1
MLLT10,5
MLLT6,10
MN1,5
MPL,2
MSH2,4
MSH6,3
MSN,2
MYB,14
MYC,11
MYD88,2
MYH11,5
MYH9,8
MYOD1,1
N4BP2,3
NACA,1
NBEA,3
NBN,1
NCOR2,5
NDRG1,2
NF2,2
NFATC2,4
NFE2L2,8
NFIB,1
NFKB2,4
