gene,rACC_full,rACC_induced,is_seed
ABL1,0.028206,0.202019,0
ABL2,0.001902,0.022937,0
ACKR3,0.001727,0.015374,0
ACSL3,0.001432,0.002203,0
ACVR1,0.004369,0.014672,0
AFF1,0.005496,0.044327,0
AFF3,0.001257,0.007562,0
AKT3,0.011096,0.080782,0
AMER1,0.010399,0.073767,0
APOBEC3B,0.002657,0.012313,0
AR,0.041633,0.312713,0
ARHGAP26,0.001849,0.008880,0
ARHGAP35,0.002578,0.023411,0
ARHGAP5,0.000719,0.007919,0
ARHGEF10,0.000286,0.002701,0
ARID1A,0.040024,0.241065,0
ARID1B,0.015739,0.094013,0
ARID2,0.016118,0.099131,0
ASPM,0.009052,0.026285,0
ASXL2,0.002337,0.014810,0
ATF1,0.001300,0.015976,0
ATIC,0.008290,0.051756,0
ATM,0.592082,0.797419,1
ATP1A1,0.003154,0.016007,0
ATR,0.554073,0.567112,1
AXIN1,0.036146,0.234256,0
B2M,0.012971,0.080341,0
BAX,0.005531,0.036141,0
BAZ1A,0.003599,0.013583,0
BCL10,0.002758,0.023048,0
BCL11B,0.006942,0.043426,0
BCL2,0.038066,0.239053,0
BCL2L12,0.000528,0.005194,0
BCL3,0.002752,0.024981,0
BCL9L,0.007337,0.038938,0
BCLAF1,0.008675,0.045994,0
BCOR,0.003762,0.016780,0
BCORL1,0.004597,0.036849,0
BIRC3,0.006629,0.041015,0
BIRC6,0.008830,0.051971,0
BLM,0.036433,0.176893,0
BRAF,0.050240,0.306584,0
BRCA1,0.611894,0.823086,1
BRCA2,0.586150,0.698445,1
BRD3,0.008264,0.050604,0
BRD4,0.030709,0.174074,0
BTG2,0.003416,0.023238,0
BTK,0.008947,0.065829,0
CALR,0.006273,0.048840,0
CAMTA1,0.000332,0.002229,0
CARD11,0.003126,0.037757,0
CASP8,0.018182,0.115376,0
CBFA2T3,0.001353,0.014663,0
CBFB,0.008961,0.074947,0
CCDC6,0.008229,0.057177,0
CCND3,0.013886,0.082249,0
CCR4,0.001656,0.009472,0
CCR7,0.006520,0.041183,0
CD209,0.002825,0.011142,0
CD74,0.011327,0.118915,0
CDH11,0.005905,0.034753,0
CDK12,0.015527,0.090378,0
CDK4,0.967624,0.972197,1
CDK6,0.032035,0.169736,0
CDKN1A,0.032469,0.197128,0
CDKN2C,0.010696,0.063233,0
CEP89,0.000606,0.001884,0
CHCHD7,0.000563,0.004135,0
CHD4,0.016764,0.090226,0
CHEK2,0.568096,0.647468,1
CHST11,0.000278,0.000459,0
CIC,0.000574,0.009174,0
CIITA,0.002766,0.023391,0
CLP1,0.001279,0.008208,0
CLTC,0.011981,0.073459,0
CLTCL1,0.002782,0.009410,0
CNBD1,0.000064,0.000659,0
CNBP,0.001148,0.008904,0
CNTRL,0.001726,0.011293,0
COL1A1,0.011657,0.062638,0
COL2A1,0.002958,0.009833,0
COL3A1,0.003877,0.023650,0
CREB1,0.026245,0.175810,0
CREB3L1,0.001744,0.019936,0
CREB3L2,0.003489,0.025798,0
CREBBP,0.036379,0.237290,0
CRNKL1,0.001991,0.006921,0
CRTC1,0.000754,0.011120,0
CTCF,0.020869,0.123456,0
CUX1,0.005749,0.039187,0
CXCR4,0.015226,0.119488,0
DAXX,0.861408,0.806381,1
DDB2,0.011801,0.053102,0
DDX5,0.007016,0.056358,0
DDX6,0.003288,0.013607,0
DNMT3A,0.023781,0.144443,0
EBF1,0.006786,0.048423,0
ECT2L,0.000272,0.000000,0
EED,0.011052,0.056101,0
EGFR,0.456552,0.680570,1
ELF3,0.001579,0.013257,0
ELF4,0.001934,0.013595,0
EML4,0.015137,0.109713,0
EP300,0.044388,0.271319,0
EPAS1,0.011041,0.074138,0
EPHA3,0.009869,0.047457,0
ERBB2,0.048704,0.289369,0
ERBB3,0.023926,0.147007,0
ERBB4,0.020607,0.122706,0
ERCC5,0.021869,0.105790,0
ERG,0.000909,0.017108,0
ETNK1,0.001216,0.010859,0
ETV1,0.003023,0.028674,0
ETV4,0.002308,0.024167,0
ETV5,0.001858,0.011027,0
ETV6,0.009180,0.102915,0
EWSR1,0.008615,0.081494,0
EXT1,0.002407,0.009693,0
