gene,rACC_raw_RWR,rACC_minmax,rACC_percentile,is_seed,seed_weight,in_STRING_graph
ABL1,0.0027713609,0.162019,0.869347,0,,1
ABL2,0.00023319433,0.013633,0.376884,0,,1
ACKR3,0.00013602163,0.007952,0.271357,0,,1
ACSL3,0,0.000000,0.000000,0,,0
ACVR1,0.00012320439,0.007203,0.243719,0,,1
AFF1,0.00023734278,0.013875,0.386935,0,,1
AFF3,3.5881463e-05,0.002098,0.140704,0,,1
AKT3,0.0013741496,0.080335,0.728643,0,,1
AMER1,0.0016992823,0.099343,0.781407,0,,1
APOBEC3B,0,0.000000,0.005025,0,,0
AR,0.0041858836,0.244714,0.912060,0,,1
ARHGAP26,4.0019296e-05,0.002340,0.148241,0,,1
ARHGAP35,0.00016463661,0.009625,0.301508,0,,1
ARHGAP5,0.00021640387,0.012651,0.356784,0,,1
ARHGEF10,3.1954406e-05,0.001868,0.128141,0,,1
ARID1A,0.0036301737,0.212227,0.896985,0,,1
ARID1B,0.0011021227,0.064432,0.690955,0,,1
ARID2,0.0010294858,0.060186,0.680905,0,,1
ASPM,0,0.000000,0.050251,0,,0
ASXL2,0.00015187728,0.008879,0.283920,0,,1
ATF1,0.00032999412,0.019292,0.459799,0,,1
ATIC,0.00023158739,0.013539,0.374372,0,,1
ATM,0.015559007,0.909608,0.997487,1,0.510,1
ATP1A1,0.00016210366,0.009477,0.298995,0,,1
ATR,0.0096480148,0.564041,0.969849,1,0.510,1
AXIN1,0.0032869307,0.192160,0.886935,0,,1
B2M,0.00039261527,0.022953,0.489950,0,,1
BAX,0.00051835168,0.030304,0.535176,0,,1
BAZ1A,0,0.000000,0.002513,0,,0
BCL10,0.00031513787,0.018424,0.452261,0,,1
BCL11B,0.00088880312,0.051961,0.650754,0,,1
BCL2,0.0037871093,0.221401,0.902010,0,,1
BCL2L12,5.4145754e-05,0.003165,0.168342,0,,1
BCL3,8.4835564e-05,0.004960,0.208543,0,,1
BCL9L,0.00026019569,0.015212,0.414573,0,,1
BCLAF1,0.00073892789,0.043199,0.608040,0,,1
BCOR,0.00033252605,0.019440,0.462312,0,,1
BCORL1,2.5857835e-05,0.001512,0.115578,0,,1
BIRC3,0.00022535362,0.013175,0.366834,0,,1
BIRC6,3.6055756e-05,0.002108,0.143216,0,,1
BLM,0.0049925641,0.291874,0.932161,0,,1
BRAF,0.0045139124,0.263892,0.924623,0,,1
BRCA1,0.017105175,1.000000,1.000000,1,0.520,1
BRCA2,0.013423444,0.784759,0.979899,1,0.520,1
BRD3,0.00024902305,0.014558,0.404523,0,,1
BRD4,0.002125082,0.124236,0.824121,0,,1
BTG2,0.00013347671,0.007803,0.261307,0,,1
BTK,0.00052698245,0.030808,0.540201,0,,1
CALR,0.00026853362,0.015699,0.419598,0,,1
CAMTA1,5.3465097e-05,0.003126,0.165829,0,,1
CARD11,0.00028877189,0.016882,0.434673,0,,1
CASP8,0.0012642326,0.073909,0.713568,0,,1
CBFA2T3,0.00012887651,0.007534,0.253769,0,,1
CBFB,0.00064796356,0.037881,0.577889,0,,1
CCDC6,0.0012611505,0.073729,0.711055,0,,1
CCND3,0.0015520709,0.090737,0.758794,0,,1
CCR4,0,0.000000,0.012563,0,,0
CCR7,0.00072977677,0.042664,0.605528,0,,1
CD209,6.3083023e-05,0.003688,0.185930,0,,1
CD74,0.0016304968,0.095322,0.768844,0,,1
CDH11,0.00019474502,0.011385,0.344221,0,,1
CDK12,0.00071732352,0.041936,0.595477,0,,1
CDK4,0.015546034,0.908850,0.994975,1,0.810,1
CDK6,0.0027922622,0.163241,0.871859,0,,1
CDKN1A,0.0042469118,0.248282,0.917085,0,,1
CDKN2C,0.001539589,0.090007,0.753769,0,,1
CEP89,8.0528479e-06,0.000471,0.090452,0,,1
CHCHD7,0.00013555859,0.007925,0.266332,0,,1
CHD4,0.00083230043,0.048658,0.633166,0,,1
CHEK2,0.011009967,0.643663,0.972362,1,0.495,1
CHST11,0,0.000000,0.015075,0,,0
CIC,0,0.000000,0.017588,0,,0
CIITA,0.0001804459,0.010549,0.324121,0,,1
CLP1,4.6308152e-05,0.002707,0.155779,0,,1
CLTC,0.00032168217,0.018806,0.457286,0,,1
CLTCL1,3.2831796e-05,0.001919,0.130653,0,,1
CNBD1,0,0.000000,0.020101,0,,0
CNBP,0.00016501627,0.009647,0.304020,0,,1
CNTRL,0.00010602702,0.006199,0.228643,0,,1
COL1A1,0.00060407833,0.035316,0.557789,0,,1
COL2A1,0.00012656975,0.007400,0.248744,0,,1
COL3A1,6.9457607e-05,0.004061,0.195980,0,,1
CREB1,0.0017483109,0.102209,0.786432,0,,1
CREB3L1,0.00027039942,0.015808,0.422111,0,,1
CREB3L2,0.0002724446,0.015928,0.424623,0,,1
CREBBP,0.0043377623,0.253594,0.922111,0,,1
CRNKL1,4.064662e-05,0.002376,0.150754,0,,1
CRTC1,5.6859005e-05,0.003324,0.173367,0,,1
CTCF,0.0015699179,0.091780,0.763819,0,,1
CUX1,0.00035536353,0.020775,0.474874,0,,1
CXCR4,0.00083628643,0.048891,0.635678,0,,1
DAXX,0.011868639,0.693862,0.977387,1,0.685,1
DDB2,0.00058584401,0.034250,0.550251,0,,1
DDX5,0.00083836864,0.049013,0.638191,0,,1
DDX6,8.208473e-05,0.004799,0.206030,0,,1
DNMT3A,0.0010836818,0.063354,0.688442,0,,1
EBF1,0.00024424072,0.014279,0.396985,0,,1
ECT2L,0,0.000000,0.035176,0,,0
EED,0.00025044711,0.014642,0.407035,0,,1
EGFR,0.011729148,0.685708,0.974874,1,0.395,1
ELF3,4.4191888e-05,0.002584,0.153266,0,,1
ELF4,1.5198077e-05,0.000889,0.103015,0,,1
EML4,0.00120492,0.070442,0.701005,0,,1
EP300,0.0054676739,0.319650,0.939698,0,,1
EPAS1,0.00092739397,0.054217,0.663317,0,,1
EPHA3,5.7589322e-05,0.003367,0.178392,0,,1
ERBB2,0.0046211629,0.270162,0.927136,0,,1
ERBB3,0.002082595,0.121752,0.819095,0,,1
ERBB4,0.0014831745,0.086709,0.743719,0,,1
ERCC5,0.0026141977,0.152831,0.859296,0,,1
ERG,0.00029019225,0.016965,0.437186,0,,1
ETNK1,0,0.000000,0.040201,0,,0
ETV1,0.00011834795,0.006919,0.238693,0,,1
ETV4,3.7558304e-05,0.002196,0.145729,0,,1
ETV5,9.7802065e-06,0.000572,0.092965,0,,1
ETV6,0.00079647159,0.046563,0.623116,0,,1
EWSR1,0.000798968,0.046709,0.625628,0,,1
EXT1,0,0.000000,0.025126,0,,1
EXT2,0,0.000000,0.022613,0,,1
EZH2,0.0036765969,0.214941,0.899497,0,,1
FANCA,0.0021877447,0.127900,0.829146,0,,1
FANCC,0.0018640686,0.108977,0.791457,0,,1
FANCD2,0.0047128675,0.275523,0.929648,0,,1
FANCE,0.0026387893,0.154268,0.864322,0,,1
FANCF,0.0010799765,0.063137,0.685930,0,,1
FAS,0.0015335689,0.089655,0.751256,0,,1
FAT4,0.00015375639,0.008989,0.291457,0,,1
FBXW7,0.0025219987,0.147441,0.854271,0,,1
FCGR2B,0.00059178726,0.034597,0.555276,0,,1
FEN1,0.0032119129,0.187774,0.884422,0,,1
FEV,0,0.000000,0.047739,0,,0
FGFR1,0.0024072302,0.140731,0.841709,0,,1
FGFR2,0.0023406483,0.136839,0.839196,0,,1
FHIT,0.00035138941,0.020543,0.469849,0,,1
FIP1L1,0.00013177785,0.007704,0.256281,0,,1
FKBP9,0,0.000000,0.045226,0,,0
FLCN,0.00018706129,0.010936,0.336683,0,,1
FLI1,0.00020218652,0.011820,0.349246,0,,1
FLNA,0.0014096828,0.082413,0.736181,0,,1
FLT3,0.0020410053,0.119321,0.814070,0,,1
FLT4,0.00093844861,0.054863,0.665829,0,,1
FNBP1,2.853614e-05,0.001668,0.123116,0,,1
FOXO3,0.0025468225,0.148892,0.856784,0,,1
FOXO4,0.0008256546,0.048269,0.630653,0,,1
FOXP1,0.00011100601,0.006490,0.231156,0,,1
FSTL3,0,0.000000,0.027638,0,,0
FUBP1,0.00048901389,0.028589,0.525126,0,,1
GAS7,0,0.000000,0.077889,0,,0
GATA3,0.0011127818,0.065055,0.693467,0,,1
GMPS,2.7656054e-05,0.001617,0.120603,0,,1
GNA11,0.00057518755,0.033627,0.547739,0,,1
GNAS,0.0025213914,0.147405,0.851759,0,,1
GPHN,0.00018270861,0.010681,0.331658,0,,1
HEY1,0.00023666526,0.013836,0.379397,0,,1
HIF1A,0.0028135749,0.164487,0.874372,0,,1
HLA-A,0.00044436288,0.025978,0.515075,0,,1
HMGA1,0.00028690743,0.016773,0.432161,0,,1
HNRNPA2B1,0.00064717338,0.037835,0.575377,0,,1
HOXA11,2.0940037e-05,0.001224,0.110553,0,,1
HOXD11,0,0.000000,0.070352,0,,0
HRAS,0.0041880528,0.244841,0.914573,0,,1
HSP90AB1,0.0030987555,0.181159,0.881910,0,,1
IDH1,0.00288815,0.168847,0.876884,0,,1
IKZF1,0.00078002103,0.045601,0.618090,0,,1
IL21R,0.00017659204,0.010324,0.314070,0,,1
IL6ST,0.00034858621,0.020379,0.467337,0,,1
IL7R,0.0075632089,0.442159,0.952261,1,0.500,1
IRF4,0.00044251842,0.025870,0.512563,0,,1
IRS4,0.0006493252,0.037961,0.580402,0,,1
ITGAV,0.00063698991,0.037240,0.572864,0,,1
JAK1,0.0022861201,0.133651,0.836683,0,,1
JAK3,0.001628621,0.095212,0.766332,0,,1
JAZF1,0.0001222519,0.007147,0.241206,0,,1
JUN,0.0039312378,0.229827,0.907035,0,,1
KAT6A,0.00036047422,0.021074,0.477387,0,,1
KAT7,0.00012567862,0.007347,0.246231,0,,1
KDM5A,0.00050501697,0.029524,0.530151,0,,1
KDM5C,0.0020659737,0.120781,0.816583,0,,1
KDR,0.0070672899,0.413167,0.949749,1,0.365,1
KDSR,0,0.000000,0.060302,0,,0
KIAA1549,0.00023906948,0.013976,0.389447,0,,1
KLF6,0.0001738718,0.010165,0.309045,0,,1
KLK2,9.0240835e-05,0.005276,0.221106,0,,1
KMT2C,0.0015540026,0.090850,0.761307,0,,1
KMT2D,0.0020118711,0.117618,0.811558,0,,1
LARP4B,0,0.000000,0.067839,0,,0
LASP1,1.0791089e-05,0.000631,0.097990,0,,1
LATS2,0.00030438461,0.017795,0.444724,0,,1
LCP1,0,0.000000,0.065327,0,,0
LEF1,0.0019068827,0.111480,0.798995,0,,1
LEPROTL1,0,0.000000,0.062814,0,,0
LIFR,0.00035297454,0.020636,0.472362,0,,1
LMO2,0.0002519121,0.014727,0.409548,0,,1
LPP,3.5087967e-06,0.000205,0.087940,0,,1
LYL1,0.00019236906,0.011246,0.341709,0,,1
LYN,0.0012461108,0.072850,0.706030,0,,1
MAF,0.00032004962,0.018711,0.454774,0,,1
MAFB,0.00027924049,0.016325,0.427136,0,,1
MALAT1,0,0.000000,0.057789,0,,0
MALT1,0.0001739621,0.010170,0.311558,0,,1
MAML2,0.00024897195,0.014555,0.402010,0,,1
MAP3K1,0.00089845698,0.052525,0.653266,0,,1
MAX,0.00028312482,0.016552,0.429648,0,,1
MB21D2,0,0.000000,0.080402,0,,0
MDM4,0.0016948278,0.099083,0.778894,0,,1
MECOM,0.0010164389,0.059423,0.675879,0,,1
MED12,0.0087798169,0.513284,0.967337,1,0.570,1
MEN1,0.01376202,0.804553,0.982412,1,0.755,1
MET,0.001977145,0.115588,0.806533,0,,1
MGMT,0.0087171288,0.509619,0.964824,1,0.455,1
MITF,0.0005198006,0.030388,0.537688,0,,1
MLLT1,0.00029072593,0.016996,0.439698,0,,1
MLLT10,0.00022347673,0.013065,0.361809,0,,1
MLLT6,6.527879e-05,0.003816,0.188442,0,,1
MN1,0,0.000000,0.082915,0,,0
MPL,0.00013221637,0.007730,0.258794,0,,1
MSH2,0.014368317,0.839998,0.989950,1,0.680,1
MSH6,0.014259237,0.833621,0.987437,1,0.680,1
MSN,0.00048311536,0.028244,0.522613,0,,1
MYB,0.00051234408,0.029953,0.532663,0,,1
MYC,0.0077658517,0.454006,0.957286,0,,1
MYD88,0.00061777516,0.036116,0.565327,0,,1
MYH11,0.00019684249,0.011508,0.346734,0,,1
MYH9,0.00024368156,0.014246,0.394472,0,,1
MYOD1,0.0012739927,0.074480,0.716080,0,,1
N4BP2,0,0.000000,0.055276,0,,0
NACA,0.0013176594,0.077033,0.721106,0,,1
NBEA,0.00017871075,0.010448,0.319095,0,,1
NBN,0.0039560064,0.231275,0.909548,0,,1
NCOR2,0.00085605268,0.050046,0.645729,0,,1
NDRG1,0.00026723573,0.015623,0.417085,0,,1
NF2,0.0010310767,0.060279,0.683417,0,,1
NFATC2,0.00018916193,0.011059,0.339196,0,,1
NFE2L2,0.0011212866,0.065552,0.695980,0,,1
NFIB,0,0.000000,0.085427,0,,0
NFKB2,0.00014925621,0.008726,0.276382,0,,1
NFKBIE,5.1387131e-05,0.003004,0.163317,0,,1
NIN,2.9618544e-05,0.001732,0.125628,0,,1
NONO,0.0014167944,0.082828,0.738693,0,,1
NOTCH1,0.0021881638,0.127924,0.831658,0,,1
NOTCH2,0.00030627093,0.017905,0.447236,0,,1
NRAS,0.0042762233,0.249996,0.919598,0,,1
NRG1,0.00036542739,0.021364,0.479899,0,,1
NT5C2,2.7440487e-05,0.001604,0.118090,0,,1
NTHL1,0.0014045979,0.082115,0.733668,0,,1
NUP214,0.00023670021,0.013838,0.381910,0,,1
NUTM1,0.00013398292,0.007833,0.263819,0,,1
NUTM2B,3.4662639e-05,0.002026,0.135678,0,,1
P2RY8,4.650799e-05,0.002719,0.158291,0,,1
PALB2,0.0036206387,0.211669,0.894472,0,,1
PAX3,0.00049634804,0.029017,0.527638,0,,1
PAX5,0.00045915073,0.026843,0.520101,0,,1
PBRM1,0.0015001022,0.087699,0.748744,0,,1
PBX1,0.00044059467,0.025758,0.510050,0,,1
PCBP1,0.00017357308,0.010147,0.306533,0,,1
PDCD1LG2,0,0.000000,0.072864,0,,0
PDE4DIP,0.00018121487,0.010594,0.326633,0,,1
PDGFB,0.0013394637,0.078308,0.726131,0,,1
PDGFRA,0.002413447,0.141095,0.844221,0,,1
PDGFRB,0.0019045968,0.111346,0.796482,0,,1
PHF6,0.00024773493,0.014483,0.399497,0,,1
PICALM,5.5382236e-05,0.003238,0.170854,0,,1
PIK3R1,0.0038139034,0.222968,0.904523,0,,1
PIM1,0.00011176482,0.006534,0.233668,0,,1
PLAG1,0.00061574211,0.035997,0.562814,0,,1
PLCG1,0.0020898684,0.122178,0.821608,0,,1
PML,0.0016803551,0.098237,0.773869,0,,1
PMS1,0.0024429621,0.142820,0.846734,0,,1
POLD1,0.0033456183,0.195591,0.889447,0,,1
POLE,0.0027630662,0.161534,0.866834,0,,1
POLG,0.00022508259,0.013159,0.364322,0,,1
POLR2A,0.00083877923,0.049037,0.640704,0,,1
POT1,0.0016542291,0.096709,0.771357,0,,1
POU2AF1,6.776726e-05,0.003962,0.193467,0,,1
PPM1D,0.00068300443,0.039930,0.585427,0,,1
PPP2R1A,0.0012462546,0.072858,0.708543,0,,1
PPP6C,7.0145788e-05,0.004101,0.198492,0,,1
PRCC,0.00018155664,0.010614,0.329146,0,,1
PRDM1,0.00059011611,0.034499,0.552764,0,,1
PRDM16,0,0.000000,0.075377,0,,0
PRDM2,3.4303263e-05,0.002005,0.133166,0,,1
PREX2,0.00015362751,0.008981,0.288945,0,,1
PRF1,0.00040275845,0.023546,0.494975,0,,1
PRKACA,0.0059596974,0.348415,0.944724,0,,1
PRKCB,0.00090115385,0.052683,0.655779,0,,1
PRPF40B,1.3640163e-05,0.000797,0.100503,0,,1
PSIP1,0.0007564316,0.044222,0.613065,0,,1
PTCH1,0.0078734617,0.460297,0.959799,1,0.505,1
PTEN,0.0077165367,0.451123,0.954774,0,,1
PTPN13,0.0012423828,0.072632,0.703518,0,,1
PTPN6,0.00090890849,0.053136,0.658291,0,,1
PTPRC,0.0013826959,0.080835,0.731156,0,,1
PTPRD,0.0061401241,0.358963,0.947236,0,,1
PTPRK,0.00023983086,0.014021,0.391960,0,,1
PTPRT,0,0.000000,0.042714,0,,0
PWWP2A,0,0.000000,0.030151,0,,0
QKI,0.00086136667,0.050357,0.648241,0,,1
RAC1,0.00066930829,0.039129,0.582915,0,,1
RAD17,0.0019010672,0.111140,0.793970,0,,1
RAD51B,0.0019993061,0.116883,0.809045,0,,1
RALGDS,0.00038883455,0.022732,0.487437,0,,1
RANBP2,0.00045507511,0.026605,0.517588,0,,1
RB1,0.014032503,0.820366,0.984925,1,0.805,1
RBM10,6.1869476e-05,0.003617,0.183417,0,,1
RBM15,0.00013583968,0.007941,0.268844,0,,1
RET,0.0053957733,0.315447,0.937186,0,,1
RFWD3,0.00014984195,0.008760,0.278894,0,,1
RHOA,0.0021718533,0.126971,0.826633,0,,1
RHOH,1.9195633e-05,0.001122,0.108040,0,,1
RMI2,0.00063341595,0.037031,0.570352,0,,1
RNF213,2.1599598e-05,0.001263,0.113065,0,,1
RNF43,0.0078915962,0.461357,0.962312,0,,1
ROS1,0.00068538984,0.040069,0.590452,0,,1
RPL10,0.0017120976,0.100092,0.783920,0,,1
RPL5,0.0019403789,0.113438,0.804020,0,,1
RUNX1,0.0022113855,0.129282,0.834171,0,,1
RUNX1T1,0.00022919625,0.013399,0.371859,0,,1
SDC4,0.00030893927,0.018061,0.449749,0,,1
