gene,rACC_700,rACC_400,is_seed
ABL1,0.162019,0.225281,0
ABL2,0.013633,0.024976,0
ACKR3,0.007952,0.016347,0
ACSL3,0.000000,0.002386,0
ACVR1,0.007203,0.015067,0
AFF1,0.013875,0.046939,0
AFF3,0.002098,0.008213,0
AKT3,0.080335,0.087534,0
AMER1,0.099343,0.074462,0
APOBEC3B,0.000000,0.013181,0
AR,0.244714,0.340726,0
ARHGAP26,0.002340,0.009397,0
ARHGAP35,0.009625,0.025925,0
ARHGAP5,0.012651,0.008829,0
ARHGEF10,0.001868,0.002963,0
ARID1A,0.212227,0.252448,0
ARID1B,0.064432,0.096258,0
ARID2,0.060186,0.101332,0
ASPM,0.000000,0.028076,0
ASXL2,0.008879,0.015527,0
ATF1,0.019292,0.017542,0
ATIC,0.013539,0.055912,0
ATM,0.909608,0.878483,1
ATP1A1,0.009477,0.017062,0
ATR,0.564041,0.633400,1
AXIN1,0.192160,0.233251,0
B2M,0.022953,0.086377,0
BAX,0.030304,0.038927,0
BAZ1A,0.000000,0.014180,0
BCL10,0.018424,0.025227,0
BCL11B,0.051961,0.044213,0
BCL2,0.221401,0.270632,0
BCL2L12,0.003165,0.005494,0
BCL3,0.004960,0.027488,0
BCL9L,0.015212,0.037675,0
BCLAF1,0.043199,0.048305,0
BCOR,0.019440,0.018702,0
BCORL1,0.001512,0.038546,0
BIRC3,0.013175,0.044678,0
BIRC6,0.002108,0.065011,0
BLM,0.291874,0.189859,0
BRAF,0.263892,0.335807,0
BRCA1,1.000000,0.998276,1
BRCA2,0.784759,0.775693,1
BRD3,0.014558,0.053026,0
BRD4,0.124236,0.194112,0
BTG2,0.007803,0.023982,0
BTK,0.030808,0.070803,0
CALR,0.015699,0.052971,0
CAMTA1,0.003126,0.002385,0
CARD11,0.016882,0.040323,0
CASP8,0.073909,0.122740,0
CBFA2T3,0.007534,0.015418,0
CBFB,0.037881,0.078538,0
CCDC6,0.073729,0.059270,0
CCND3,0.090737,0.085121,0
CCR4,0.000000,0.009714,0
CCR7,0.042664,0.042953,0
CD209,0.003688,0.011890,0
CD74,0.095322,0.121021,0
CDH11,0.011385,0.034930,0
CDK12,0.041936,0.097406,0
CDK4,0.908850,1.000000,1
CDK6,0.163241,0.177399,0
CDKN1A,0.248282,0.215565,0
CDKN2C,0.090007,0.064388,0
CEP89,0.000471,0.001970,0
CHCHD7,0.007925,0.004373,0
CHD4,0.048658,0.096959,0
CHEK2,0.643663,0.705614,1
CHST11,0.000000,0.000480,0
CIC,0.000000,0.009939,0
CIITA,0.010549,0.024251,0
CLP1,0.002707,0.009373,0
CLTC,0.018806,0.092355,0
CLTCL1,0.001919,0.022670,0
CNBD1,0.000000,0.000723,0
CNBP,0.009647,0.009304,0
CNTRL,0.006199,0.011974,0
COL1A1,0.035316,0.065649,0
COL2A1,0.007400,0.010341,0
COL3A1,0.004061,0.025305,0
CREB1,0.102209,0.186302,0
CREB3L1,0.015808,0.021617,0
CREB3L2,0.015928,0.027558,0
CREBBP,0.253594,0.248399,0
CRNKL1,0.002376,0.007500,0
CRTC1,0.003324,0.011860,0
CTCF,0.091780,0.128590,0
CUX1,0.020775,0.040388,0
CXCR4,0.048891,0.127423,0
DAXX,0.693862,0.772762,1
DDB2,0.034250,0.058131,0
DDX5,0.049013,0.061432,0
DDX6,0.004799,0.015095,0
DNMT3A,0.063354,0.154327,0
EBF1,0.014279,0.049607,0
ECT2L,0.000000,0.000000,0
EED,0.014642,0.057259,0
EGFR,0.685708,0.775824,1
ELF3,0.002584,0.014135,0
ELF4,0.000889,0.013508,0
EML4,0.070442,0.116033,0
EP300,0.319650,0.290377,0
EPAS1,0.054217,0.080138,0
EPHA3,0.003367,0.049021,0
ERBB2,0.270162,0.324850,0
ERBB3,0.121752,0.156533,0
ERBB4,0.086709,0.130428,0
ERCC5,0.152831,0.121844,0
ERG,0.016965,0.018503,0
ETNK1,0.000000,0.011526,0
ETV1,0.006919,0.030237,0
ETV4,0.002196,0.026366,0
ETV5,0.000572,0.012070,0
ETV6,0.046563,0.109608,0
EWSR1,0.046709,0.087278,0
EXT1,0.000000,0.009995,0
EXT2,0.000000,0.004825,0
EZH2,0.214941,0.287660,0
FANCA,0.127900,0.165246,0
FANCC,0.108977,0.108481,0
FANCD2,0.275523,0.176392,0
FANCE,0.154268,0.144201,0
FANCF,0.063137,0.088250,0
FAS,0.089655,0.070868,0
FAT4,0.008989,0.027451,0
FBXW7,0.147441,0.231911,0
FCGR2B,0.034597,0.043291,0
FEN1,0.187774,0.198027,0
FEV,0.000000,0.000000,0
FGFR1,0.140731,0.171601,0
FGFR2,0.136839,0.156834,0
FHIT,0.020543,0.061259,0
FIP1L1,0.007704,0.030041,0
FKBP9,0.000000,0.010762,0
FLCN,0.010936,0.032654,0
FLI1,0.011820,0.013190,0
FLNA,0.082413,0.072860,0
FLT3,0.119321,0.139653,0
FLT4,0.054863,0.055782,0
FNBP1,0.001668,0.008163,0
FOXO3,0.148892,0.155990,0
FOXO4,0.048269,0.049502,0
FOXP1,0.006490,0.026680,0
FSTL3,0.000000,0.000000,0
FUBP1,0.028589,0.050435,0
GAS7,0.000000,0.004817,0
GATA3,0.065055,0.117137,0
GMPS,0.001617,0.027350,0
GNA11,0.033627,0.089945,0
GNAS,0.147405,0.153092,0
GPHN,0.010681,0.022045,0
HEY1,0.013836,0.028731,0
HIF1A,0.164487,0.215488,0
HLA-A,0.025978,0.079253,0
HMGA1,0.016773,0.020687,0
HNRNPA2B1,0.037835,0.063779,0
HOXA11,0.001224,0.011528,0
HOXD11,0.000000,0.003816,0
HRAS,0.244841,0.293174,0
HSP90AB1,0.181159,0.223511,0
IDH1,0.168847,0.175504,0
IKZF1,0.045601,0.081684,0
IL21R,0.010324,0.020266,0
IL6ST,0.020379,0.033528,0
IL7R,0.442159,0.500901,1
IRF4,0.025870,0.063771,0
