drugA,drugB,published_Bindex,recovered_BACC_lambda0,abs_diff
Cabozantinib,Axitinib,1.0,1.0,0.0
Lapatinib,Bosutinib,1.0,1.0,0.0
Binimetinib,Trametinib,0.889328063241106,0.889328,6.324110601862998e-08
Trametinib,Cobimetinib,0.879310344827586,0.87931,3.4482758592968565e-07
Selumetinib,Cobimetinib,0.85823754789272,0.858238,4.5210727994682287e-07
Binimetinib,Cobimetinib,0.857571214392803,0.857571,2.1439280306623232e-07
Binimetinib,Selumetinib,0.805152979066022,0.805153,2.093397799551866e-08
Teniposide,Valrubicin,0.755681818181818,0.755682,1.818181819546183e-07
Acalabrutinib,Tucatinib,0.75,0.75,0.0
Fedratinib,Bosutinib,0.75,0.75,0.0
Fedratinib,Lapatinib,0.75,0.75,0.0
Gilteritinib,Lorlatinib,0.75,0.75,0.0
Pipobroman,Trifluridine,0.75,0.75,0.0
Temsirolimus,Sirolimus,0.75,0.75,0.0
Trametinib,Selumetinib,0.742424242424242,0.742424,2.424242420140388e-07
Uracil mustard,Chlorambucil,0.733333333333333,0.733333,3.333333329358368e-07
Pralsetinib,Selpercatinib,0.725606962895098,0.725607,3.7104902039786225e-08
Carmustine,Lomustine,0.715197956577266,0.715198,4.342273396407137e-08
Topotecan,Uracil mustard,0.7,0.7,0.0
Neratinib,Afatinib,0.694444444444444,0.694444,4.4444444402547134e-07
Bosutinib,Sunitinib,0.666666666666666,0.666667,3.333333340460598e-07
Topotecan,Chlorambucil,0.666666666666666,0.666667,3.333333340460598e-07
Cytarabine,Pipobroman,0.666666666666666,0.666667,3.333333340460598e-07
Cytarabine,Triethylenemelamine,0.666666666666666,0.666667,3.333333340460598e-07
Lapatinib,Sunitinib,0.666666666666666,0.666667,3.333333340460598e-07
Melphalan,Topotecan,0.666666666666666,0.666667,3.333333340460598e-07
Pemetrexed,Trifluridine,0.666666666666666,0.666667,3.333333340460598e-07
Thiotepa,Triethylenemelamine,0.666666666666666,0.666667,3.333333340460598e-07
Pralsetinib,Dasatinib,0.654915254237288,0.654915,2.542372879998922e-07
Tioguanine,Mercaptopurine,0.64699074074074,0.646991,2.59259259949296e-07
Docetaxel,Paclitaxel,0.641666666666666,0.641667,3.333333339350375e-07
Brigatinib,Lorlatinib,0.625,0.625,0.0
Osimertinib,Afatinib,0.611111111111111,0.611111,1.1111111108963456e-07
Dacomitinib,Tucatinib,0.611111111111111,0.611111,1.1111111108963456e-07
Ribociclib,Trilaciclib,0.604166666666666,0.604167,3.333333340460598e-07
Dasatinib,Selpercatinib,0.603243243243243,0.603243,2.43243242992186e-07
Temsirolimus,Abemaciclib,0.6,0.6,0.0
Everolimus,Lorlatinib,0.59090909090909,0.590909,9.090909003361958e-08
Irinotecan,Pemetrexed,0.59090909090909,0.590909,9.090909003361958e-08
Zanubrutinib,Ibrutinib,0.587412587412587,0.587413,4.1258741301231083e-07
Pemetrexed,Daunorubicin,0.583333333333333,0.583333,3.333333330468591e-07
Melphalan,Decitabine,0.583333333333333,0.583333,3.333333330468591e-07
Gemcitabine,Thiotepa,0.583333333333333,0.583333,3.333333330468591e-07
Ibrutinib,Tucatinib,0.576923076923076,0.576923,7.692307602003012e-08
Doxorubicin,Etoposide,0.571428571428571,0.571429,4.285714290119813e-07
Ibrutinib,Dacomitinib,0.564102564102564,0.564103,4.3589743603522635e-07
Gilteritinib,Brigatinib,0.5625,0.5625,0.0
Teniposide,Decitabine,0.5625,0.5625,0.0
Olaparib,Teniposide,0.5625,0.5625,0.0
Tioguanine,Pralatrexate,0.5625,0.5625,0.0
Ribociclib,Romidepsin,0.5625,0.5625,0.0
Encorafenib,Vemurafenib,0.56060606060606,0.560606,6.060605994839818e-08
Acalabrutinib,Afatinib,0.555555555555555,0.555556,4.4444444502467206e-07
Dacomitinib,Acalabrutinib,0.555555555555555,0.555556,4.4444444502467206e-07
Dacomitinib,Afatinib,0.555555555555555,0.555556,4.4444444502467206e-07
Carfilzomib,Romidepsin,0.555555555555555,0.555556,4.4444444502467206e-07
Cytarabine,Trifluridine,0.555555555555555,0.555556,4.4444444502467206e-07
Duvelisib,Idelalisib,0.555555555555555,0.555556,4.4444444502467206e-07
Temsirolimus,Idelalisib,0.555555555555555,0.555556,4.4444444502467206e-07
Methotrexate,Pipobroman,0.555555555555555,0.555556,4.4444444502467206e-07
Mitoxantrone,Uracil mustard,0.55,0.55,0.0
Pemigatinib,Temsirolimus,0.55,0.55,0.0
Zanubrutinib,Acalabrutinib,0.545454545454545,0.545455,4.545454550530792e-07
Valrubicin,Decitabine,0.545454545454545,0.545455,4.545454550530792e-07
Doxorubicin,Idarubicin,0.545454545454545,0.545455,4.545454550530792e-07
Everolimus,Gilteritinib,0.545454545454545,0.545455,4.545454550530792e-07
Temsirolimus,Everolimus,0.545454545454545,0.545455,4.545454550530792e-07
Panobinostat,Ixabepilone,0.545454545454545,0.545455,4.545454550530792e-07
Imatinib,Nilotinib,0.542857142857142,0.542857,1.4285714200479305e-07
Raloxifene,Imatinib,0.542857142857142,0.542857,1.4285714200479305e-07
Doxorubicin,Actinomycin D,0.541666666666666,0.541667,3.333333340460598e-07
