drug,C_ACC_pct,ACCrelative_resid_pct,S_Bneighbor_pct,NCI60_potency,MIPE_potency,S_external
Actinomycin D,0.692,0.888,0.802,8.9023,2.8229,0.55
Crizotinib,0.635,0.944,0.669,5.8124,1.2895,0.50
Mitotane,0.526,0.869,0.557,4.7072,0.3745,1.00
Trilaciclib,0.726,,0.829,5.9009,,0.50
Mitomycin,0.824,0.832,0.458,6.2540,1.2491,0.50
Irinotecan,0.772,0.953,0.285,4.9792,0.7573,0.50
Daunorubicin,0.838,0.822,0.367,7.0027,1.6185,0.50
Homoharringtonine,0.523,0.916,0.667,7.5100,2.7065,0.50
Arsenic trioxide,0.772,,0.688,5.1305,,0.50
Ibrutinib,0.595,0.850,0.614,5.4408,0.5326,0.50
Romidepsin,0.520,0.860,0.664,7.9032,2.6178,0.50
Zanubrutinib,0.655,,0.770,4.9685,,0.50
Cytarabine,0.869,0.785,0.218,5.0507,0.3635,0.50
Docetaxel,0.782,0.794,0.317,7.7178,2.0647,0.50
Cobimetinib,0.382,0.897,0.730,6.4886,1.7656,0.50
Palbociclib,0.700,0.607,0.637,5.4281,0.1616,0.65
Brigatinib,0.711,0.879,0.238,5.8000,0.9792,0.50
Axitinib,0.501,0.935,0.454,5.0862,0.5256,0.50
Ribociclib,0.328,0.813,0.815,5.0960,0.3824,0.60
Belinostat,0.805,0.766,0.248,6.3071,0.9824,0.50
Ixazomib,0.851,0.738,0.225,7.2244,1.2885,0.50
Olaparib,0.558,0.925,0.336,4.2522,0.3604,0.50
Celecoxib,0.526,0.991,0.266,4.7030,2.4449,0.50
Ceritinib,0.720,0.645,0.570,5.9367,0.3842,0.50
Abemaciclib,0.811,0.692,0.283,5.9781,0.4944,0.55
tepotinib,0.735,,0.549,5.5285,,0.50
Bosutinib,0.512,0.757,0.609,5.7497,0.6036,0.50
Tucatinib,0.470,0.720,0.725,4.9714,0.2803,0.50
Idarubicin,0.703,0.626,0.535,7.5803,0.6296,0.50
Osimertinib,0.453,0.804,0.705,5.8720,0.8323,0.35
Fluorouracil,0.845,0.636,0.275,4.6587,-0.0845,0.50
Lapatinib,0.515,0.710,0.626,5.5078,0.3811,0.50
Paclitaxel,0.788,0.598,0.391,7.9747,0.6775,0.50
Tivozanib,0.496,0.729,,5.5754,0.4032,0.50
Chlorambucil,0.314,1.000,0.389,4.2362,2.2304,0.50
Nilotinib,0.681,0.654,0.421,5.5510,0.3599,0.50
Melphalan,0.284,0.981,0.445,4.5085,1.8659,0.50
Pipobroman,0.785,,0.357,4.1450,,0.50
Carmustine,0.397,0.748,0.630,4.2067,0.0535,0.50
Mercaptopurine,0.829,0.579,0.271,5.2388,0.0215,0.50
Carfilzomib,0.204,0.776,0.855,7.7334,1.9783,0.50
Binimetinib,0.047,0.972,0.741,5.5851,3.3689,0.50
Doxorubicin,0.656,0.411,0.658,7.0700,0.2015,0.70
Etoposide,0.737,0.355,0.628,5.1170,-0.3661,0.70
Tamoxifen,0.606,0.495,0.707,5.3227,-0.1109,0.50
Afatinib,0.257,0.963,0.580,6.1052,2.822,0.25
