drug,wC=0.0,wC=0.05,wC=0.1,wC=0.15,wC=0.2,wC=0.25,wC=0.3,wC=0.35,wC=0.4,wC=0.45,wC=0.5,wC=0.55,wC=0.6,wC=0.65,wC=0.7,wC=0.75,wC=0.8,wC=0.85,wC=0.9,wC=0.95,wC=1.0
Actinomycin D,13,11,11,8,6,4,5,7,7,7,7,9,9,11,12,12,13,17,23,28,31
Crizotinib,7,5,4,3,3,3,3,2,4,5,8,10,12,12,14,14,19,26,32,34,36
Mitotane,15,15,15,16,15,17,18,17,17,18,19,21,23,25,30,35,39,42,43,42,47
Mitomycin,19,18,16,13,11,7,4,3,2,3,3,4,4,4,3,3,4,4,4,6,8
Irinotecan,6,4,2,1,1,1,1,1,1,1,1,1,1,2,4,5,5,6,10,13,19
Daunorubicin,20,19,19,14,12,10,7,5,3,2,2,3,3,3,2,2,2,2,3,4,5
Homoharringtonine,10,10,10,10,10,11,11,13,14,15,16,18,19,22,25,32,38,41,42,45,49
Ibrutinib,17,17,18,17,16,16,15,15,15,16,15,16,17,18,20,24,30,34,36,37,39
Romidepsin,16,16,17,18,18,19,19,18,19,19,21,22,25,27,32,37,41,43,44,48,50
Cytarabine,24,22,20,20,14,13,9,8,5,4,4,2,2,1,1,1,1,1,1,1,2
Docetaxel,23,21,21,21,19,14,13,10,9,9,9,7,7,7,7,8,9,10,11,12,17
Cobimetinib,12,13,13,15,17,20,21,21,22,26,27,28,37,43,51,55,56,63,66,70,71
Palbociclib,43,42,43,42,42,42,39,36,31,28,26,25,24,21,19,21,22,25,28,30,29
Brigatinib,14,14,12,11,8,5,6,6,6,6,5,8,8,9,10,11,12,15,20,23,27
Axitinib,8,8,7,7,7,9,10,11,13,14,17,19,20,24,29,36,42,44,46,51,56
Ribociclib,21,23,24,25,25,27,28,34,37,38,41,48,50,57,61,66,72,72,76,77,80
Belinostat,26,25,22,22,21,18,14,12,11,10,10,6,6,6,6,6,7,7,8,9,14
Ixazomib,29,28,26,23,23,21,16,14,10,8,6,5,5,5,5,4,3,3,2,3,3
Olaparib,9,9,8,6,5,6,8,9,12,12,13,14,16,17,21,26,32,37,39,40,40
Celecoxib,2,1,1,2,2,2,2,4,8,11,11,13,15,16,22,27,35,38,41,41,48
Ceritinib,39,39,38,37,36,30,29,25,25,23,22,20,18,15,15,15,17,20,21,25,26
Abemaciclib,34,33,31,28,26,24,22,20,16,13,12,11,10,10,9,9,8,8,9,8,12
Bosutinib,27,27,27,27,27,26,27,26,29,29,28,27,29,33,37,42,46,47,48,50,53
Tucatinib,31,31,32,32,33,34,36,37,35,36,36,39,42,44,49,52,54,54,56,59,61
