cell_line,drug,NCICCR_neglogIC50,NCATS_neglogIC50
CU-ACC1,mitotane,4.96980521464325,-1.27051352338356
CU-ACC1,icg-001,5.00568284733036,-1.07051352329856
CU-ACC1,h-89,4.85387196432176,-1.52051352330922
CU-ACC1,bay-1895344,6.16877030613294,0.129486476708732
CU-ACC1,palbociclib,4.71669877129645,-1.22051352323985
CU-ACC1,entinostat,6.1438755557577,-0.570513523256485
CU-ACC1,ipatasertib,7.64975198166584,0.329486476674031
CU-ACC1,tipifarnib,4.98716277529483,-0.901363007656487
CU-ACC1,mk-2206,5.17522353752445,-0.970513523313437
CU-ACC1,ulixertinib,4.96257350205938,-1.37051352333773
CU-ACC1,dinaciclib,7.19722627470802,2.57948646713951
CU-ACC1,dovitinib,4.71444269099223,-1.57051352325648
CU-ACC1,entrectinib,4.94309514866353,-0.670513523325969
CU-ACC1,dacomitinib,4.57024771999759,-1.02051352341866
CU-ACC1,ots-167,9.86966623150499,0.618250482312192
CU-ACC1,everolimus,4.19111413264019,-1.27051352338356
CU-ACC1,cobimetinib,5.07058107428571,-0.820513523274225
CU-ACC1,brigatinib,6.45222529461218,-0.320513523360133
CU-ACC1,xl-228,5.12569216687196,-0.920513523278389
CU-ACC1,bortezomib,7.22914798835786,1.4294864810634
CU-ACC1,cisplatin,5.36151074304536,2.57948646713951
CU-ACC2,mitotane,4.18137827362411,-1.57051352325648
CU-ACC2,berzosertib,5.32605800136591,2.87948661103255
CU-ACC2,palbociclib,4.74957999769111,-1.42051352329519
CU-ACC2,ribociclib,3.90657831483776,-1.52051352330922
CU-ACC2,ly-2090314,5.97881070093006,-1.27051352338356
CU-ACC2,tipifarnib,4.90657831483777,-0.783004449752068
CU-ACC2,mk-2206,5.39469495385889,-1.27051352338356
CU-ACC2,ulixertinib,5.54821356447571,-1.27051352338356
CU-ACC2,dinaciclib,6.53313237964589,2.22948650190155
CU-ACC2,navitoclax,5.15676722190199,-0.27051352338356
CU-ACC2,entrectinib,5.33913452199613,-0.720513523273074
CU-ACC2,dacomitinib,4.91364016932525,-0.920513523278389
CU-ACC2,ots-167,7.15490195998574,0.768250481809705
CU-ACC2,cabozantinib,4.58169870868025,-1.52051352330922
CU-ACC2,cobimetinib,5.69250396208679,-0.520513523309224
CU-ACC2,brigatinib,6.21112488422458,-0.120513523222622
CU-ACC2,xl-228,5.40055362427472,-0.470513523278632
CU-ACC2,bortezomib,8.58502665202918,1.67948648515232
CU-ACC2,pevonedistat,6.64975198166584,0.329486476674031
CU-ACC2,docetaxel,8.95860731484177,-1.32051352336013
NCI-H295R,mitotane,5.08985603893549,-1.32051352336013
NCI-H295R,h-89,4.38195190328791,-1.47051352327863
NCI-H295R,berzosertib,5.06905096883248,2.4294864810634
NCI-H295R,bay-1895344,9.69250396208679,-0.120513523222622
NCI-H295R,palbociclib,4.56066730616974,-1.42051352329519
NCI-H295R,entinostat,5.57348873863543,-0.570513523256485
NCI-H295R,mk-2206,5.32513885926219,-1.22051352323985
NCI-H295R,ulixertinib,5.3840499483436,-1.52051352330922
NCI-H295R,ots-167,6.32975414692588,0.0182504819417421
NCI-H295R,cabozantinib,4.8153085691824,-1.57051352325648
NCI-H295R,everolimus,3.46852108295775,-1.37051352333773
NCI-H295R,xl-228,6.81644546638114,-0.770513523292442
NCI-H295R,bms-754807,5.78754603895972,0.829486475623801
NCI-H295R,bortezomib,8.11918640771921,1.57948648363141
NCI-H295R,pevonedistat,5.19586056766465,-0.220513523239847
NCI-H295R,docetaxel,7.87289520163519,0.379486477041899
