category,gene,CUACC1,CUACC2,H295R,SW13,30_SC,31_SC,33_SC,34_SC,37_SC,38_SC
ACC_hallmark,IGF2,9.639467335,4.481557281,9.338803224,0.475084883,9.758473083,11.49882428,10.59241032,10.52565783,9.179685206,9.41601634
ACC_hallmark,NR5A1,8.34646941,4.534808661,7.285124751,0.056583528,5.517275693,7.053002696,6.814678589,5.867402306,4.618825953,6.208868371
ACC_hallmark,CYP11A1,9.232636776,0.604071324,7.066735029,0.056583528,7.263222245,9.938285792,8.592083234,9.048323387,5.070818638,5.427941333
ACC_hallmark,STAR,9.458324581,1.970853654,8.095608005,0.137503524,7.780244473,11.49785683,10.20772207,9.781490862,10.12045822,8.839833648
ACC_hallmark,SOAT1,6.70763522,4.397118409,7.073820233,4.189033824,5.639232163,4.665620164,6.994579724,5.741466986,5.200064862,5.413120146
ACC_hallmark,TERT,0.298658316,0,0.014355293,1.618238656,0,1.214124805,0.070389328,0.565597176,0,0.014355293
CDK46_Rb_axis,CDKN2A,0.321928095,7.188440489,7.219652565,7.084702108,4.192194165,5.373648211,5.598424761,4.14404637,3.294253136,5.265661925
CDK46_Rb_axis,CDKN2B,1.263034406,3.988230223,1.682573297,2.298658316,3.061776198,1.963474124,3.931683057,2.304511042,2.839959587,3.272023189
CDK46_Rb_axis,CDK4,7.181102551,8.007475849,7.657997205,7.63473846,5.530133184,6.873567152,6.191009849,5.912889336,6.265849421,5.508745554
CDK46_Rb_axis,CDK6,4.147306699,2.998195503,2.937344392,2.495695163,2.521050737,2.087462841,3.039138394,2.066950244,1.422233001,1.678071905
CDK46_Rb_axis,RB1,4.425593578,3.669026766,4.672425342,3.237257771,4.528571319,3.908812908,3.527320608,3.989139007,4.627606838,4.080657663
CDK46_Rb_axis,CCNE1,5.647890091,3.228049048,5.531069493,3.865918815,3.769771739,4.166715445,4.178714641,4.06091205,3.608809243,3.930737338
CDK46_Rb_axis,CCND1,7.205451164,6.478648295,0.669026766,4.445594291,5.420549772,3.432959407,5.234961095,5.051372102,3.550900665,5.940401698
CDK46_Rb_axis,E2F1,5.169524197,4.454175893,4.944858446,4.260025656,3.166715445,2.518535139,3.203201156,3.463360886,2.709290636,1.66448284
ACC_drivers_seeds,TP53,4.248686627,5.191009849,4.723558561,4.083213368,4.056583528,3.572889668,3.705977902,4.016139703,3.932628157,3.323370069
ACC_drivers_seeds,CTNNB1,8.272396509,7.35974956,8.308839563,6.510329019,6.976478204,6.131136719,6.918744001,6.752347192,6.447579197,7.168722254
ACC_drivers_seeds,ZNRF3,4.048759312,2.080657663,4.187451054,1.883620816,0.50589093,2.646162657,0.495695163,2.003602237,2.066950244,2.364572432
ACC_drivers_seeds,MEN1,4.649040566,4.246408087,5.037382222,5.371558863,3.600507645,3.468583317,3.804260116,3.64038956,3.255500733,3.339137385
ACC_drivers_seeds,ATRX,3.298658316,3.830863757,3.444932049,3.891419187,3.866907978,4.271276259,4.071247819,3.275007047,3.92314918,3.851998837
ACC_drivers_seeds,DAXX,5.076815597,5.226893814,5.455491621,5.587364991,4.860962798,4.856487779,5.005849076,4.233427944,4.126807703,5.015247774
ACC_drivers_seeds,PRKAR1A,6.397631854,6.432959407,6.890933022,5.67468662,6.804131021,6.775840699,6.593204354,6.21451341,7.10706011,6.952333566
drug_response_marker,MGMT,0,0,3.166715445,5.749266084,3.766595162,2.160274831,3.775050541,3.5360529,3.308885057,3.329123596
drug_response_marker,SLFN11,0.443606651,0.163498732,0.097610797,4.483493351,4.347665656,1.495695163,2.669026766,2.746312766,3.529820947,5.070818638
drug_response_marker,ABCB1,6.612352499,3.042644337,7.128355272,0.070389328,5.735792928,3.715893371,7.399427474,4.522934561,4.433627167,3.678071905
drug_response_marker,MSH2,4.532316959,0,5.058316496,5.761285273,2.851998837,2.782408565,2.956056652,2.901108243,2.084064265,2.053111336
drug_response_marker,MSH6,5.744968348,5.160678213,5.868884273,5.614709844,3.82984956,4.349082146,4.274261661,3.628773595,3.229587923,4.156234798
drug_response_marker,EGFR,2.718087584,3.584962501,2.495695163,0.22650853,3.347665656,3.508428653,3.966245873,3.27351589,1.555816155,3.477677328
