drug,n_d,n_seed,seed_hits,L_weighted,obs_C_ACC_pct
pralatrexate,2,2,"MEN1,TERT",0.0122422114962702,1.0
ixazomib,5,3,"ATR,CDK4,DAXX",0.0093516893374286,0.990654205607
pemetrexed,2,1,TERT,0.006143045195261,0.981308411215
doxorubicin,1,1,BRCA1,0.0043878894251864,0.971962616822
gemcitabine,4,1,TERT,0.0043878894251864,0.96261682243
cytarabine,9,2,"MSH6,TERT",0.0045524352786309,0.953271028037
tioguanine,16,3,"MEN1,MSH2,TERT",0.004480266044664,0.943925233645
abemaciclib,5,1,RB1,0.0040039491004826,0.934579439252
belinostat,5,1,MEN1,0.0038119789381307,0.92523364486
trifluridine,6,1,TERT,0.0034128028862561,0.915887850467
epirubicin,4,1,MSH6,0.0034162853381809,0.906542056075
fluorouracil,12,2,"BRCA2,TERT",0.00321778557847,0.897196261682
daunorubicin,12,2,"BRCA1,TERT",0.00321778557847,0.88785046729
hydroxyurea,7,1,TERT,0.0030715225976305,0.878504672897
mitomycin,12,2,"BRCA1,MSH6",0.0027643703378674,0.869158878505
ixabepilone,11,2,"BRCA2,CHEK2",0.002476023318498,0.859813084112
methotrexate,27,3,"MEN1,MSH2,TERT",0.0028375018282872,0.85046728972
mercaptopurine,27,3,"MEN1,MSH2,TERT",0.0028375018282872,0.841121495327
paclitaxel,10,1,TERT,0.002362709690485,0.831775700935
oxaliplatin,31,3,"MEN1,MSH2,TERT",0.0025036780837828,0.822429906542
docetaxel,12,1,TERT,0.0020476817317536,0.81308411215
irinotecan,11,1,TERT,0.0021939447125932,0.803738317757
etoposide,7,1,BRCA1,0.0017551557700745,0.794392523364
allopurinol,13,1,MEN1,0.0019059894690653,0.785046728972
dabrafenib,40,4,"ATM,ATR,BRCA2,CDK4",0.0019082216802555,0.775700934579
cyclophosphamide,16,1,TERT,0.0016165908408581,0.766355140187
brigatinib,8,1,EGFR,0.0011568072120946,0.757009345794
ceritinib,12,1,BRCA2,0.0011701038467163,0.747663551402
idarubicin,11,1,BRCA1,0.0012536826929104,0.738317757009
erdafitinib,10,1,EGFR,0.0009788368717723,0.728971962617
actinomycin d,12,1,BRCA1,0.0011701038467163,0.719626168224
palbociclib,26,1,RB1,0.0011045376828917,0.710280373832
nilotinib,14,1,CHEK2,0.0010066334563663,0.700934579439
raloxifene,14,1,CHEK2,0.0010066334563663,0.691588785047
erlotinib,11,1,EGFR,0.00090891995236,0.682242990654
olaparib,1,0,,0.0,0.672897196262
azacitidine,1,0,,0.0,0.663551401869
crizotinib,17,1,BRCA1,0.0008775778850372,0.654205607477
encorafenib,15,1,ATR,0.000950709375457,0.644859813084
decitabine,1,0,,0.0,0.635514018692
acalabrutinib,1,0,,0.0,0.626168224299
tamoxifen,18,1,CHEK2,0.0008148937503917,0.616822429907
ibrutinib,13,1,EGFR,0.000795304958315,0.607476635514
panobinostat,1,0,,0.0,0.598130841121
vinorelbine,1,0,,0.0,0.588785046729
temsirolimus,1,0,,0.0,0.579439252336
mitotane,1,0,,0.0,0.570093457944
homoharringtonine,1,0,,0.0,0.560747663551
romidepsin,1,0,,0.0,0.551401869159
celecoxib,2,0,,0.0,0.542056074766
bosutinib,1,0,,0.0,0.528037383178
lapatinib,1,0,,0.0,0.528037383178
sunitinib,3,0,,0.0,0.514018691589
gilteritinib,1,0,,0.0,0.504672897196
axitinib,1,0,,0.0,0.490654205607
cabozantinib,1,0,,0.0,0.490654205607
fulvestrant,2,0,,0.0,0.476635514019
tivozanib,1,0,,0.0,0.467289719626
clofarabine,2,0,,0.0,0.457943925234
lomustine,27,1,MED12,0.0007678806494076,0.448598130841
sirolimus,2,0,,0.0,0.439252336449
tucatinib,2,0,,0.0,0.429906542056
asciminib,3,0,,0.0,0.420560747664
cladribine,3,0,,0.0,0.411214953271
lorlatinib,2,0,,0.0,0.401869158879
osimertinib,2,0,,0.0,0.392523364486
selumetinib,27,1,PTCH1,0.00062893081761,0.383177570093
carmustine,29,1,PTCH1,0.0005896226415094,0.373831775701
cobimetinib,29,1,PTCH1,0.0005896226415094,0.364485981308
topotecan,2,0,,0.0,0.355140186916
dasatinib,25,1,EGFR,0.00045445997618,0.345794392523
thiotepa,3,0,,0.0,0.336448598131
fruquintinib,31,1,IL7R,0.0005678445138476,0.327102803738
venetoclax,5,0,,0.0,0.317757009346
imatinib,5,0,,0.0,0.308411214953
sonidegib,4,0,,0.0,0.299065420561
selinexor,3,0,,0.0,0.289719626168
vemurafenib,22,1,KDR,0.0004563405002193,0.280373831776
ribociclib,8,0,,0.0,0.271028037383
fludarabine,4,0,,0.0,0.261682242991
umbralisib,5,0,,0.0,0.252336448598
chlorambucil,6,0,,0.0,0.242990654206
neratinib,6,0,,0.0,0.233644859813
mitoxantrone,6,0,,0.0,0.224299065421
carboplatin,7,0,,0.0,0.214953271028
melphalan,6,0,,0.0,0.205607476636
afatinib,9,0,,0.0,0.196261682243
estramustine,7,0,,0.0,0.18691588785
teniposide,8,0,,0.0,0.177570093458
duvelisib,6,0,,0.0,0.168224299065
cisplatin,6,0,,0.0,0.158878504673
darolutamide,8,0,,0.0,0.14953271028
everolimus,11,0,,0.0,0.140186915888
carfilzomib,9,0,,0.0,0.130841121495
vandetanib,6,0,,0.0,0.121495327103
bleomycin,16,0,,0.0,0.11214953271
vinblastine,9,0,,0.0,0.102803738318
vorinostat,18,0,,0.0,0.0934579439252
dacarbazine,15,0,,0.0,0.0841121495327
dexrazoxane,18,0,,0.0,0.0747663551402
idelalisib,9,0,,0.0,0.0654205607477
dacomitinib,9,0,,0.0,0.0560747663551
valrubicin,11,0,,0.0,0.0467289719626
zoledronate,20,0,,0.0,0.0373831775701
lenvatinib,18,0,,0.0,0.0280373831776
trametinib,22,0,,0.0,0.018691588785
binimetinib,23,0,,0.0,0.00934579439252
abiraterone,39,0,,0.0,0.0
