drug,delta_z_acc_A1_minus_A2,delta_z_breast_B2_minus_B1
Abemaciclib,3.90739669458,1.96066917249
Abiraterone,0.014705896454,-0.008493004498
Acalabrutinib,-0.116598326,-0.083987508251
Actinomycin D,-0.047142947191,0.02189483745
Afatinib,-0.076998716846,-0.007363267572
Allopurinol,-0.00441326213,0.0657884152582
Asciminib,-0.10912600838,-0.042861339089
Axitinib,-0.074554167591,-0.0009893925
Azacitidine,0.08351813845,-0.17088847991
Belinostat,-0.04993272652,-0.077569570474
Binimetinib,-0.002457206762,0.0060952186
Bleomycin,-0.01427639144,-0.07675385642
Bosutinib,-0.133548443813,-0.065559971455
Brigatinib,0.067522679171,-0.02991959177
Cabozantinib,-0.074554167591,-0.0009893925
Carboplatin,-0.0803769673,0.0017973103615
Carfilzomib,-0.048720415043,0.0110685898
Carmustine,-0.123793455051,0.0299973109
Celecoxib,-0.1564423454,-0.059992482283
Ceritinib,-0.131610136131,-0.054451531883
Chlorambucil,-0.000767091668,0.056443048155
Cisplatin,-0.047933310047,0.095900436934
Cladribine,-0.05333675694,-0.121323585518
Clofarabine,-0.23157761601,-0.161024467013
Cobimetinib,-0.107417103342,-0.00387119585
Crizotinib,-0.18647636783,0.01111748689
Cyclophosphamide,-0.01284372282,-0.009585719855
Cytarabine,0.02807073636,0.009495868232
Dabrafenib,-0.08182417752,-0.01997150832
Dacarbazine,0.01981946873,0.00594724307
Dacomitinib,-0.00457368001816,-0.0629190656491
Darolutamide,-0.03945077282,0.020051517926
Dasatinib,-0.06757671088,-0.06091103955
Daunorubicin,-0.03629760847,0.00244393913
Decitabine,0.04320627838,-0.062655421233
Dexrazoxane,0.009378790307,0.008829522706
Docetaxel,-0.07059404576,0.004170408184
Doxorubicin,0.02433952354,-0.366847556058
Duvelisib,-0.060074033404,0.0782353909523
Encorafenib,-0.13254015379,-0.08351177773
Epirubicin,-0.25447615904,-0.050709494096
Erdafitinib,0.01786245448,-0.041587918053
Erlotinib,-0.040677641645,-0.00469501891
Estramustine,-0.09633258041,-0.023280300098
Etoposide,-0.047332193144,-0.072671017297
Everolimus,-0.00473595763,-0.033848315842
Fludarabine,-0.058495742694,0.070681722412
Fluorouracil,-0.03558871506,0.023444780411
Fruquintinib,-0.0660946028292,0.000258498595
Fulvestrant,-0.247764654898,-0.034947872989
Gemcitabine,0.02483471361,-0.015434659282
Gilteritinib,-0.140359889739,-0.05575188051
Homoharringtonine,-0.20571412944,-0.014873867864
Hydroxyurea,-0.01321092062,-0.0244356686395
Ibrutinib,-0.15746720796,-0.000961388832
Idarubicin,-0.06843542208,0.008864845577
Idelalisib,0.002562584511,0.005139523921
Imatinib,-0.15761194158,-0.01762378449
Irinotecan,-0.11840078551,0.008445728739
Ixabepilone,-0.063766826643,-0.0647369857
Ixazomib,0.03287671598,0.003749960007
Lapatinib,-0.133548443813,-0.065559971455
Lenvatinib,0.02007159062,-0.036044150295
Lomustine,-0.105322919143,0.011417459993
Lorlatinib,-0.06682225033,-0.064504354407
Melphalan,0.10282236774,0.011178404768
Mercaptopurine,-0.07506479672,-0.00406428185
Methotrexate,-0.030833940363,-0.05652955683
Mitomycin,-0.030359584578,-0.014044861869
Mitotane,-0.1321475719,-0.043437923685
Mitoxantrone,0.00274736347,0.049060208291
Neratinib,-0.101367937436,-0.0030209739481
Nilotinib,-0.09895052293,-0.035115644
Olaparib,-0.26966107823,0.02063718179
Osimertinib,-0.007330142101,-0.045736706969
Oxaliplatin,-0.061979241814,0.04177658291
Paclitaxel,-0.04520957803,-0.00121829252
Palbociclib,2.47627655796,0.11190861405
Panobinostat,-0.142691652195,-0.04207968766
Pemetrexed,0.05278380528,-0.053303819927
Pralatrexate,0.0719598177,-0.050799729367
Raloxifene,-0.10806069387,-0.08218577747
Ribociclib,0.01411276919,0.01473972985
Romidepsin,-0.31940822641,-0.0625497032681
Selinexor,-0.07477982985,-0.01077468244
Selumetinib,-0.190842825839,0.01332492427
Sirolimus,-0.18592399849,-0.07589150657
Sonidegib,-0.066487330693,0.051218702758
Sunitinib,-0.08871651935,-0.0903123247
Tamoxifen,-0.171017328064,0.05244361048
Temsirolimus,-0.16721814887,-0.05889953267
Teniposide,-0.07080796839,-0.11888998651
Thiotepa,-0.16094382641,-0.0687746247856
Tioguanine,0.00731678979,0.022426160593
Tivozanib,-0.080362505736,-0.05217715415
Topotecan,-0.078191225366,-0.041268938969
Trametinib,-0.013446465917,0.00894040483
Trifluridine,-0.03667552546,-0.041121258009
Tucatinib,-0.122485604384,-0.063393682977
Valrubicin,0.007453407174,0.005820565702
Vandetanib,-0.110689396191,0.0045527454
Vemurafenib,-0.137455914152,0.007297158808
Venetoclax,-0.05538793438,-0.001091466055
Vinblastine,-0.03555100199,0.01092004965
Vinorelbine,-0.134527230101,-0.05100997309
Vorinostat,-0.00131601397,0.08010797348
Zoledronate,0.02832701333,-0.059049322994
umbralisib,-0.06736438611,0.02255736155
