setting_id,w_C_ACC,w_residual,w_B_neighbor,w_external,drug,score,rank,median_rank,q1_rank,q3_rank,minimum_rank,maximum_rank,top10_rate,top20_rate
1,0.0,0.1,0.3,0.6,Actinomycin D,0.6594,5,2.0,1.0,5.0,1,30,0.9408866995073891,0.9802955665024631
1,0.0,0.1,0.3,0.6,Crizotinib,0.5951,15,6.0,3.0,12.0,1,37,0.7044334975369458,0.8916256157635468
1,0.0,0.1,0.3,0.6,Mitotane,0.854,1,2.0,1.0,13.0,1,51,0.7093596059113301,0.8866995073891626
1,0.0,0.1,0.3,0.6,Mitomycin,0.5206,45,11.0,4.0,22.0,1,55,0.47783251231527096,0.7241379310344828
1,0.0,0.1,0.3,0.6,Irinotecan,0.4808,66,17.0,5.0,37.5,1,89,0.3891625615763547,0.5467980295566502
1,0.0,0.1,0.3,0.6,Daunorubicin,0.49229999999999996,59,16.0,6.0,30.0,2,69,0.3694581280788177,0.5911330049261084
1,0.0,0.1,0.3,0.6,Homoharringtonine,0.5917,16,12.0,7.0,23.5,3,50,0.45320197044334976,0.7093596059113301
1,0.0,0.1,0.3,0.6,Ibrutinib,0.5691999999999999,21,16.0,12.0,23.0,5,40,0.17733990147783252,0.6995073891625616
1,0.0,0.1,0.3,0.6,Romidepsin,0.5851999999999999,18,17.0,10.0,26.0,5,51,0.2561576354679803,0.6305418719211823
1,0.0,0.1,0.3,0.6,Cytarabine,0.4439,81,24.0,9.5,51.0,1,95,0.270935960591133,0.4187192118226601
1,0.0,0.1,0.3,0.6,Docetaxel,0.47450000000000003,71,26.0,15.0,42.0,7,79,0.15270935960591134,0.3793103448275862
1,0.0,0.1,0.3,0.6,Cobimetinib,0.6087,12,18.0,7.0,33.0,4,72,0.3448275862068966,0.5369458128078818
1,0.0,0.1,0.3,0.6,Palbociclib,0.6418,8,13.0,6.0,21.0,3,35,0.45320197044334976,0.7241379310344828
1,0.0,0.1,0.3,0.6,Brigatinib,0.4593,76,31.0,15.0,55.0,5,97,0.12807881773399016,0.3399014778325123
1,0.0,0.1,0.3,0.6,Axitinib,0.5297000000000001,39,26.0,15.0,47.5,8,72,0.09852216748768473,0.39408866995073893
1,0.0,0.1,0.3,0.6,Ribociclib,0.6858,3,13.0,4.5,35.0,1,70,0.458128078817734,0.5911330049261084
1,0.0,0.1,0.3,0.6,Belinostat,0.45099999999999996,78,32.0,17.0,53.0,6,91,0.09359605911330049,0.32019704433497537
1,0.0,0.1,0.3,0.6,Ixazomib,0.4413,82,32.0,14.0,56.0,3,96,0.17733990147783252,0.3497536945812808
1,0.0,0.1,0.3,0.6,Olaparib,0.4933,58,32.0,18.0,55.0,7,85,0.06403940886699508,0.3054187192118227
1,0.0,0.1,0.3,0.6,Celecoxib,0.4789,69,36.0,16.0,66.0,3,98,0.14285714285714285,0.33004926108374383
1,0.0,0.1,0.3,0.6,Ceritinib,0.5355,35,24.0,17.0,32.0,8,41,0.04433497536945813,0.35960591133004927
1,0.0,0.1,0.3,0.6,Abemaciclib,0.4841,65,30.0,15.5,48.0,5,80,0.1330049261083744,0.35960591133004927
1,0.0,0.1,0.3,0.6,Bosutinib,0.5584,27,27.0,23.0,35.0,16,53,0.0,0.13793103448275862
1,0.0,0.1,0.3,0.6,Tucatinib,0.5894999999999999,17,25.0,16.0,36.0,8,61,0.024630541871921183,0.39408866995073893
