drug,mechanism_class,observed_residual_percentile,lomco_prediction,eligible_neighbor_count,n_associations
Abemaciclib,CDK4/6,0.6915887850467289,0.3576341231118173,4,5
Abiraterone,Other,0.2803738317757009,0.3618699961111217,10,39
Acalabrutinib,BTK,0.5607476635514018,0.7418826215206725,3,1
Actinomycin D,Other,0.8878504672897196,0.639809054575105,25,12
Afatinib,EGFR,0.9626168224299065,0.6211998473812986,4,9
Allopurinol,Other,0.37383177570093457,0.3812236850433535,9,13
Asciminib,Other,0.3644859813084112,0.5313615256056543,7,3
Axitinib,EGFR,0.9345794392523364,0.5511582558795888,4,1
Belinostat,HDAC,0.7663551401869159,0.35511763469058805,13,5
Binimetinib,MEK,0.9719626168224299,0.3595489414158116,13,23
Bleomycin,Other,0.07476635514018691,0.4351831719784456,13,16
Bosutinib,Other,0.7570093457943925,0.5722588128643709,3,1
Brigatinib,ALK/MET,0.8785046728971962,0.40456239854498166,8,8
Cabozantinib,EGFR,0.22429906542056074,0.5511582558795888,4,1
Carboplatin,Alkylator,0.4392523364485981,0.5251567751708783,12,7
Carfilzomib,Proteasome,0.7757009345794392,0.6320718150909377,16,9
Carmustine,Alkylator,0.7476635514018691,0.5311818340612381,41,29
Celecoxib,Other,0.9906542056074766,0.20681284220880966,4,2
Ceritinib,ALK/MET,0.6448598130841121,0.485335525753887,26,12
Chlorambucil,Alkylator,1.0,0.3890128320821843,19,6
Cisplatin,Alkylator,0.102803738317757,0.4958616134635365,10,6
Cladribine,Other,0.06542056074766354,0.4887871949364159,2,3
Clofarabine,Other,0.18691588785046728,0.496441606880826,2,2
Cobimetinib,MEK,0.897196261682243,0.39540187211685107,28,29
Crizotinib,ALK/MET,0.9439252336448598,0.5214655500349619,42,17
Cyclophosphamide,Other,0.3177570093457944,0.4146951499989171,22,16
Cytarabine,Antimetabolite,0.7850467289719626,0.41337567710482426,25,9
Dabrafenib,Other,0.09345794392523364,0.6403112662163222,17,40
Dacarbazine,Alkylator,0.5420560747663551,0.4609075150255206,21,15
Dacomitinib,EGFR,0.5514018691588785,0.5997874080148736,5,9
Darolutamide,Other,0.6822429906542056,0.6329162393628092,10,8
Dasatinib,Other,0.5233644859813084,0.5151440968771234,10,25
Daunorubicin,Topoisomerase,0.822429906542056,0.4230017756169027,26,12
Decitabine,Other,0.45794392523364486,0.6151675718079611,5,1
Dexrazoxane,Topoisomerase,0.42990654205607476,0.5635344930811899,24,18
Docetaxel,Tubulin,0.794392523364486,0.42480035878820754,22,12
Doxorubicin,Topoisomerase,0.411214953271028,0.8873709086660944,3,1
Duvelisib,Other,0.5046728971962616,0.7757625018429469,5,6
Encorafenib,Other,0.21495327102803738,0.809068076859907,8,15
Epirubicin,Topoisomerase,0.3925233644859813,0.6581385416171561,7,4
Erdafitinib,Other,0.17757009345794392,0.45084430267880055,5,10
Erlotinib,EGFR,0.48598130841121495,0.5053859369504528,9,11
Estramustine,Alkylator,0.616822429906542,0.45774559987115704,8,7
Etoposide,Topoisomerase,0.35514018691588783,0.6325196394979917,16,7
Everolimus,Other,0.5887850467289719,0.4704310558299269,7,11
Fluorouracil,Antimetabolite,0.6355140186915887,0.4582198556452143,25,12
Fruquintinib,EGFR,0.16822429906542055,0.3308840075706168,9,31
Gemcitabine,Antimetabolite,0.2523364485981308,0.3954440324111461,19,4
Gilteritinib,Other,0.29906542056074764,0.5627201816594049,2,1
Homoharringtonine,ALK/MET,0.9158878504672897,0.8878504672897196,1,1
Hydroxyurea,Other,0.38317757009345793,0.47867773822982,16,7
Ibrutinib,BTK,0.8504672897196262,0.5151039501268204,16,13
Idarubicin,Topoisomerase,0.6261682242990654,0.4921969678846555,18,11
Idelalisib,Other,0.2897196261682243,0.7193940676960728,6,9
Imatinib,Other,0.4766355140186916,0.5499210912350183,14,5
Irinotecan,Topoisomerase,0.9532710280373832,0.38377444227216123,23,11
Ixabepilone,Tubulin,0.308411214953271,0.512473697434051,27,11
Ixazomib,Proteasome,0.7383177570093458,0.3538339943183016,8,5
Lapatinib,EGFR,0.7102803738317757,0.7059611759774472,2,1
Lenvatinib,EGFR,0.12149532710280374,0.3495336579202748,7,18
Lomustine,Alkylator,0.4672897196261682,0.5685263413256931,32,27
Lorlatinib,ALK/MET,0.32710280373831774,0.3753305361620312,5,2
