record_id,source_id,drug,doi_or_identifier,source_accessed,access_level,evidence_domain,evidence_design,drug_specificity,exposure_context,direction,strict_candidate_eligible,strict_binary_label,strict_exclusion_reason,population_or_model,sample_size,treatment_and_comparator,outcome_numbers,source_locator,confidence,reviewer_notes
B01,S01,Mitotane,10.1530/EJE-18-0608,,,,,,,,,,,,,,,,,
B02,S02,Cabozantinib,10.1016/S1470-2045(24)00095-0,,,,,,,,,,,,,,,,,
B03,S03,Etoposide,10.1056/NEJMoa1200966,,,,,,,,,,,,,,,,,
B04,S03,Doxorubicin,10.1056/NEJMoa1200966,,,,,,,,,,,,,,,,,
B05,S03,Cisplatin,10.1056/NEJMoa1200966,,,,,,,,,,,,,,,,,
B06,S04,Gemcitabine,10.1210/jc.2017-01624,,,,,,,,,,,,,,,,,
B07,S05,Palbociclib,10.18632/aging.101356,,,,,,,,,,,,,,,,,
B08,S03,Carboplatin,10.1056/NEJMoa1200966,,,,,,,,,,,,,,,,,
B09,S05,Ribociclib,10.18632/aging.101356,,,,,,,,,,,,,,,,,
B10,S05,Abemaciclib,10.18632/aging.101356,,,,,,,,,,,,,,,,,
B11,S06,Lenvatinib,10.1136/jitc-2020-001009,,,,,,,,,,,,,,,,,
B12,S07,Actinomycin D,10.1136/adc.53.4.342,,,,,,,,,,,,,,,,,
B13,S08,Everolimus,10.1007/s12022-017-9473-8,,,,,,,,,,,,,,,,,
B14,S09,Temsirolimus,10.1038/bjc.2013.46,,,,,,,,,,,,,,,,,
B15,S08,Sirolimus,10.1007/s12022-017-9473-8,,,,,,,,,,,,,,,,,
B16,S10,Sunitinib,10.1210/jc.2012-1419,,,,,,,,,,,,,,,,,
B17,S11,Osimertinib,10.1200/jco.2007.25.18_suppl.15527,,,,,,,,,,,,,,,,,
B18,S11,Afatinib,10.1200/jco.2007.25.18_suppl.15527,,,,,,,,,,,,,,,,,
B19,S12,Erlotinib,10.1210/jc.2007-2564,,,,,,,,,,,,,,,,,

