disease,variant,drug,delta_z,exposed
ACC,column_minmax,abemaciclib,3.90739669458,True
ACC,column_minmax,abiraterone,0.014705896454,False
ACC,column_minmax,acalabrutinib,-0.11659832599999986,False
ACC,column_minmax,actinomycin d,-0.047142947190999984,False
ACC,column_minmax,afatinib,-0.07699871684600001,False
ACC,column_minmax,allopurinol,-0.004413262129999929,False
ACC,column_minmax,asciminib,-0.10912600838000008,False
ACC,column_minmax,axitinib,-0.07455416759100003,False
ACC,column_minmax,azacitidine,0.08351813844999967,False
ACC,column_minmax,belinostat,-0.049932726519999804,False
ACC,column_minmax,binimetinib,-0.002457206762000008,False
ACC,column_minmax,bleomycin,-0.014276391439999925,False
ACC,column_minmax,bosutinib,-0.13354844381273,False
ACC,column_minmax,brigatinib,0.06752267917100008,False
ACC,column_minmax,cabozantinib,-0.07455416759100003,False
ACC,column_minmax,carboplatin,-0.0803769673000001,False
ACC,column_minmax,carfilzomib,-0.048720415043000065,False
ACC,column_minmax,carmustine,-0.12379345505099998,False
ACC,column_minmax,celecoxib,-0.1564423453999999,False
ACC,column_minmax,ceritinib,-0.13161013613100003,False
ACC,column_minmax,chlorambucil,-0.0007670916679999862,False
ACC,column_minmax,cisplatin,-0.047933310046999994,False
ACC,column_minmax,cladribine,-0.05333675694000006,False
ACC,column_minmax,clofarabine,-0.23157761601000004,False
ACC,column_minmax,cobimetinib,-0.107417103342,False
ACC,column_minmax,crizotinib,-0.18647636782999988,False
ACC,column_minmax,cyclophosphamide,-0.012843722820000014,False
ACC,column_minmax,cytarabine,0.028070736360000126,False
ACC,column_minmax,dabrafenib,-0.08182417751999993,False
ACC,column_minmax,dacarbazine,0.019819468729999956,False
ACC,column_minmax,dacomitinib,-0.0045736800181600005,False
ACC,column_minmax,darolutamide,-0.03945077281999998,False
ACC,column_minmax,dasatinib,-0.06757671088000006,False
ACC,column_minmax,daunorubicin,-0.036297608469999965,False
ACC,column_minmax,decitabine,0.04320627838000002,False
ACC,column_minmax,dexrazoxane,0.009378790306999951,False
ACC,column_minmax,docetaxel,-0.07059404576000006,False
ACC,column_minmax,doxorubicin,0.024339523539999908,False
ACC,column_minmax,duvelisib,-0.06007403340399997,False
ACC,column_minmax,encorafenib,-0.13254015378999995,False
ACC,column_minmax,epirubicin,-0.2544761590400002,False
ACC,column_minmax,erdafitinib,0.0178624544799999,False
ACC,column_minmax,erlotinib,-0.040677641644999984,False
ACC,column_minmax,estramustine,-0.09633258040999992,False
ACC,column_minmax,etoposide,-0.047332193144,False
ACC,column_minmax,everolimus,-0.0047359576299998984,False
ACC,column_minmax,fludarabine,-0.058495742693999986,False
ACC,column_minmax,fluorouracil,-0.035588715060000053,False
ACC,column_minmax,fruquintinib,-0.0660946028292,False
ACC,column_minmax,fulvestrant,-0.24776465489799998,False
ACC,column_minmax,gemcitabine,0.024834713610000225,False
ACC,column_minmax,gilteritinib,-0.140359889739,False
ACC,column_minmax,homoharringtonine,-0.20571412944030001,False
ACC,column_minmax,hydroxyurea,-0.013210920619999733,False
ACC,column_minmax,ibrutinib,-0.15746720796000013,False
ACC,column_minmax,idarubicin,-0.06843542208000031,False
ACC,column_minmax,idelalisib,0.002562584510999999,False
ACC,column_minmax,imatinib,-0.15761194158000036,False
ACC,column_minmax,irinotecan,-0.11840078551,False
ACC,column_minmax,ixabepilone,-0.06376682664300001,False
ACC,column_minmax,ixazomib,0.03287671597999964,False
ACC,column_minmax,lapatinib,-0.13354844381273,False
ACC,column_minmax,lenvatinib,0.02007159061999997,False
ACC,column_minmax,lomustine,-0.10532291914299996,False
ACC,column_minmax,lorlatinib,-0.06682225033,False
ACC,column_minmax,melphalan,0.1028223677400002,False
ACC,column_minmax,mercaptopurine,-0.07506479672,False
ACC,column_minmax,methotrexate,-0.030833940363000023,False
ACC,column_minmax,mitomycin,-0.030359584578000032,False
ACC,column_minmax,mitotane,-0.13214757189999982,False
ACC,column_minmax,mitoxantrone,0.0027473634699999305,False
ACC,column_minmax,neratinib,-0.1013679374356,False
ACC,column_minmax,nilotinib,-0.09895052293000006,False
ACC,column_minmax,olaparib,-0.26966107822999996,False
ACC,column_minmax,osimertinib,-0.00733014210099997,False
ACC,column_minmax,oxaliplatin,-0.06197924181400005,False
ACC,column_minmax,paclitaxel,-0.04520957802999992,False
ACC,column_minmax,palbociclib,2.476276557965,True
ACC,column_minmax,panobinostat,-0.14269165219500002,False
ACC,column_minmax,pemetrexed,0.05278380527999982,False
ACC,column_minmax,pralatrexate,0.07195981769999982,False
ACC,column_minmax,raloxifene,-0.10806069387000017,False
ACC,column_minmax,ribociclib,0.01411276919000004,False
ACC,column_minmax,romidepsin,-0.3194082264100002,False
ACC,column_minmax,selinexor,-0.07477982984999998,False
ACC,column_minmax,selumetinib,-0.1908428258394,False
ACC,column_minmax,sirolimus,-0.18592399848999985,False
ACC,column_minmax,sonidegib,-0.066487330693,False
ACC,column_minmax,sunitinib,-0.08871651935000013,False
ACC,column_minmax,tamoxifen,-0.17101732806400005,False
ACC,column_minmax,temsirolimus,-0.16721814886999997,False
ACC,column_minmax,teniposide,-0.07080796839000003,False
ACC,column_minmax,thiotepa,-0.16094382641000005,False
ACC,column_minmax,tioguanine,0.0073167897899999446,False
ACC,column_minmax,tivozanib,-0.08036250573599996,False
ACC,column_minmax,topotecan,-0.07819122536599998,False
ACC,column_minmax,trametinib,-0.013446465916999939,False
ACC,column_minmax,trifluridine,-0.03667552545999997,False
ACC,column_minmax,tucatinib,-0.12248560438429999,False
ACC,column_minmax,umbralisib,-0.06736438610999995,False
ACC,column_minmax,valrubicin,0.007453407174000004,False
ACC,column_minmax,vandetanib,-0.11068939619100004,False
ACC,column_minmax,vemurafenib,-0.13745591415199998,False
ACC,column_minmax,venetoclax,-0.05538793437999967,False
ACC,column_minmax,vinblastine,-0.03555100199000005,False
ACC,column_minmax,vinorelbine,-0.1345272301009,False
ACC,column_minmax,vorinostat,-0.0013160139699999185,False
ACC,column_minmax,zoledronate,0.028327013329999984,False
ACC,column_gene_rank,abemaciclib,0.7134915535690001,True
ACC,column_gene_rank,abiraterone,-0.23946297226699997,False
ACC,column_gene_rank,acalabrutinib,-0.10638155380000014,False
ACC,column_gene_rank,actinomycin d,-0.28812748866000004,False
ACC,column_gene_rank,afatinib,-0.194288375982,False
ACC,column_gene_rank,allopurinol,2.57228455806,False
ACC,column_gene_rank,asciminib,0.26628440768100003,False
ACC,column_gene_rank,axitinib,0.908455949962,False
ACC,column_gene_rank,azacitidine,0.030876801419999822,False
ACC,column_gene_rank,belinostat,0.04517582061999992,False
ACC,column_gene_rank,binimetinib,-0.5175301660189999,False
ACC,column_gene_rank,bleomycin,-0.038024218665000054,False
ACC,column_gene_rank,bosutinib,0.0636434473818,False
ACC,column_gene_rank,brigatinib,-0.18052542510999992,False
ACC,column_gene_rank,cabozantinib,0.908455949962,False
ACC,column_gene_rank,carboplatin,-0.31813263181999996,False
ACC,column_gene_rank,carfilzomib,-0.04181371798,False
ACC,column_gene_rank,carmustine,0.093731898994,False
ACC,column_gene_rank,celecoxib,-0.13164774507399998,False
ACC,column_gene_rank,ceritinib,-1.25766506165,False
ACC,column_gene_rank,chlorambucil,0.07514390399400006,False
ACC,column_gene_rank,cisplatin,0.1086052029100002,False
ACC,column_gene_rank,cladribine,0.13252394763000008,False
ACC,column_gene_rank,clofarabine,0.00027308967999983835,False
ACC,column_gene_rank,cobimetinib,-0.5587447605939999,False
ACC,column_gene_rank,crizotinib,0.39050026551899997,False
ACC,column_gene_rank,cyclophosphamide,-0.018569223589999906,False
ACC,column_gene_rank,cytarabine,0.10345943125899992,False
ACC,column_gene_rank,dabrafenib,-0.21838284303300004,False
ACC,column_gene_rank,dacarbazine,0.057081669517,False
ACC,column_gene_rank,dacomitinib,0.07021692407700009,False
ACC,column_gene_rank,darolutamide,0.23357960058799998,False
ACC,column_gene_rank,dasatinib,-0.10939572429000011,False
ACC,column_gene_rank,daunorubicin,-0.008502840671000003,False
ACC,column_gene_rank,decitabine,0.008790949698000095,False
ACC,column_gene_rank,dexrazoxane,-0.006226901970000087,False
ACC,column_gene_rank,docetaxel,0.010563602790000015,False
ACC,column_gene_rank,doxorubicin,-0.00556115479899999,False
ACC,column_gene_rank,duvelisib,-0.396787765219,False
ACC,column_gene_rank,encorafenib,0.06427818156999998,False
ACC,column_gene_rank,epirubicin,-0.030897263238999995,False
ACC,column_gene_rank,erdafitinib,-0.077376246428,False
ACC,column_gene_rank,erlotinib,-0.03823043144100002,False
ACC,column_gene_rank,estramustine,-0.19467745795730002,False
ACC,column_gene_rank,etoposide,-0.05281734385199999,False
ACC,column_gene_rank,everolimus,-0.032751758446000034,False
ACC,column_gene_rank,fludarabine,-0.019996512030999947,False
ACC,column_gene_rank,fluorouracil,0.008389504629999989,False
ACC,column_gene_rank,fruquintinib,-0.36298870162999985,False
ACC,column_gene_rank,fulvestrant,-0.1556441526300001,False
ACC,column_gene_rank,gemcitabine,0.09523900574999988,False
ACC,column_gene_rank,gilteritinib,-0.0004914282699999273,False
ACC,column_gene_rank,homoharringtonine,-0.16866269917100007,False
ACC,column_gene_rank,hydroxyurea,0.120804131042,False
ACC,column_gene_rank,ibrutinib,-0.15690056517999995,False
ACC,column_gene_rank,idarubicin,0.537499470318,False
ACC,column_gene_rank,idelalisib,0.046271389706999955,False
ACC,column_gene_rank,imatinib,-0.4820492161900001,False
ACC,column_gene_rank,irinotecan,0.05834477673399996,False
ACC,column_gene_rank,ixabepilone,-0.020731045346999988,False
ACC,column_gene_rank,ixazomib,-0.07387680456000001,False
ACC,column_gene_rank,lapatinib,0.0636434473818,False
ACC,column_gene_rank,lenvatinib,-0.20828255750000002,False
ACC,column_gene_rank,lomustine,0.2780308059800001,False
ACC,column_gene_rank,lorlatinib,-0.25026711787,False
ACC,column_gene_rank,melphalan,0.29891689079000017,False
ACC,column_gene_rank,mercaptopurine,-0.021176477602000032,False
ACC,column_gene_rank,methotrexate,-0.018879106759000064,False
ACC,column_gene_rank,mitomycin,-0.0066295897060000275,False
ACC,column_gene_rank,mitotane,-0.06923653465099999,False
ACC,column_gene_rank,mitoxantrone,-0.06851708670000001,False
ACC,column_gene_rank,neratinib,0.08401317807000003,False
ACC,column_gene_rank,nilotinib,-0.045398718133000004,False
ACC,column_gene_rank,olaparib,-0.338187511752,False
ACC,column_gene_rank,osimertinib,-0.11069593958299995,False
ACC,column_gene_rank,oxaliplatin,-0.013486609506000002,False
ACC,column_gene_rank,paclitaxel,0.05663612378999994,False
ACC,column_gene_rank,palbociclib,0.35778291692999975,True
ACC,column_gene_rank,panobinostat,-0.13546771722000006,False
ACC,column_gene_rank,pemetrexed,-0.06133370059999965,False
ACC,column_gene_rank,pralatrexate,0.023683793690000066,False
ACC,column_gene_rank,raloxifene,-0.256229707769,False
ACC,column_gene_rank,ribociclib,-0.149518334142,False
ACC,column_gene_rank,romidepsin,-0.25541204786000016,False
ACC,column_gene_rank,selinexor,-0.03127953873600009,False
ACC,column_gene_rank,selumetinib,-0.196772720286,False
ACC,column_gene_rank,sirolimus,-0.07154973349249999,False
ACC,column_gene_rank,sonidegib,-0.001908306879999877,False
