arm_id,gene,raw_weight,normalized_weight,manipulated_gene
A1,AKT1,0.3,0.0131636682756,no
A1,APC,0.66,0.0289600702062,no
A1,ATM,0.39,0.0171127687582,no
A1,ATR,0.39,0.0171127687582,no
A1,ATRX,0.695,0.030495831505,no
A1,BRCA1,0.4,0.0175515577007,no
A1,BRCA2,0.4,0.0175515577007,no
A1,CCNE1,0.66,0.0289600702062,no
A1,CDK4,0.69,0.0302764370338,no
A1,CDKN2A,0.73,0.0320315928039,no
A1,CHEK2,0.39,0.0171127687582,no
A1,CTNNB1,0.77,0.0337867485739,no
A1,CYP11A1,0.32,0.0140412461606,no
A1,CYP17A1,0.32,0.0140412461606,no
A1,CYP21A2,0.32,0.0140412461606,no
A1,DAXX,0.625,0.0274243089074,no
A1,EGFR,0.29,0.012724879333,no
A1,FRS2,0.43,0.0188679245283,no
A1,HSD3B2,0.32,0.0140412461606,no
A1,IGF1R,0.39,0.0171127687582,no
A1,IGF2,0.74,0.0324703817464,no
A1,IL7R,0.44,0.0193067134708,no
A1,KDR,0.26,0.0114085125055,no
A1,KRAS,0.45,0.0197455024133,no
A1,LRP1B,0.43,0.0188679245283,no
A1,MED12,0.525,0.0230364194822,no
A1,MEN1,0.695,0.030495831505,no
A1,MLH1,0.545,0.0239139973673,no
A1,MSH2,0.545,0.0239139973673,no
A1,MSH6,0.545,0.0239139973673,no
A1,MTOR,0.3,0.0131636682756,no
A1,NF1,0.57,0.0250109697236,no
A1,NR5A1,0.515,0.0225976305397,no
A1,PIK3CA,0.35,0.0153576129882,no
A1,PMS2,0.545,0.0239139973673,no
A1,PRKAR1A,0.705,0.0309346204476,no
A1,PTCH1,0.43,0.0188679245283,no
A1,RB1,0.73,0.0320315928039,yes
A1,RPL22,0.575,0.0252303641948,no
A1,STAR,0.32,0.0140412461606,no
A1,TERF2,0.63,0.0276437033787,no
A1,TERT,0.7,0.0307152259763,no
A1,TP53,0.77,0.0337867485739,no
A1,VEGFA,0.26,0.0114085125055,no
A1,ZNRF3,0.725,0.0318121983326,no
