arm_id,gene,raw_weight,normalized_weight,manipulated_gene
B2,AR,0.0112770911659,0.0111483622672,no
B2,ASNS,0.0123823668383,0.0122410211293,no
B2,BCL2,0.0174414438876,0.017242348409,no
B2,BCL2L11,0.0080641151553,0.00797206263507,no
B2,CAV1,0.00763258810586,0.00754546150145,no
B2,CCNB1,0.0108008462875,0.0106775537622,no
B2,CDH1,0.136837698827,0.135275685538,no
B2,ESR1,0.0221919679172,0.0219386448264,no
B2,FOXM1,0.00778090223857,0.00769208261646,no
B2,GATA3,0.1470904633,0.145411413883,no
B2,IGFBP2,0.00811255947,0.00801995395404,no
B2,INPP4B,0.0130665496213,0.0129173939111,no
B2,IRS1,0.0082653453856,0.00817099580618,no
B2,KMT2C,0.113993341761,0.112692098637,no
B2,MAP3K1,0.116848886394,0.115515046999,no
B2,MAPK9,0.00950775573347,0.00939922394044,no
B2,PARK7,0.011816686302,0.0116817978816,no
B2,PGR,0.0135181996938,0.0133638883618,no
B2,PIK3CA,0.149059429858,0.14735790453,no
B2,PREX1,0.0110341242952,0.0109081688828,no
B2,RB1,0.0115468887339,0.0114150800744,yes
B2,SYK,0.00755209601373,0.00746588823301,no
B2,TP53,0.140264352387,0.138663223573,no
B2,TP53BP1,0.00773320322101,0.00764492808701,no
B2,XRCC1,0.00772798614097,0.00763977056035,no
