drug,n_d,n_seed_breast,seed_hits_breast,L_count_breast,obs_pct_breast
umbralisib,5,1,GATA3,0.125,1.0
encorafenib,15,1,MAP3K1,0.05555555555555555,0.990654205607
tamoxifen,18,2,"KMT2C,SYK",0.09523809523809523,0.981308411215
trametinib,22,1,MAP3K1,0.04,0.971962616822
binimetinib,23,1,MAP3K1,0.038461538461538464,0.96261682243
selumetinib,27,1,MAP3K1,0.03333333333333333,0.953271028037
olaparib,1,1,AR,0.25,0.943925233645
cobimetinib,29,1,MAP3K1,0.03125,0.934579439252
dabrafenib,40,1,MAP3K1,0.023255813953488372,0.92523364486
venetoclax,5,1,BCL2,0.125,0.915887850467
teniposide,8,1,AR,0.09090909090909091,0.906542056075
raloxifene,14,1,BCL2,0.058823529411764705,0.897196261682
doxorubicin,1,0,,0.0,0.88785046729
palbociclib,26,2,"BCL2,SYK",0.06896551724137931,0.878504672897
azacitidine,1,0,,0.0,0.869158878505
ceritinib,12,1,SYK,0.06666666666666667,0.859813084112
sunitinib,3,0,,0.0,0.85046728972
decitabine,1,0,,0.0,0.841121495327
acalabrutinib,1,0,,0.0,0.831775700935
pralatrexate,2,0,,0.0,0.822429906542
temsirolimus,1,0,,0.0,0.81308411215
vinorelbine,1,0,,0.0,0.803738317757
asciminib,3,0,,0.0,0.794392523364
sirolimus,2,0,,0.0,0.785046728972
mitotane,1,0,,0.0,0.775700934579
romidepsin,1,0,,0.0,0.766355140187
gilteritinib,1,0,,0.0,0.757009345794
panobinostat,1,0,,0.0,0.747663551402
erdafitinib,10,0,,0.0,0.738317757009
cladribine,3,0,,0.0,0.728971962617
homoharringtonine,1,0,,0.0,0.719626168224
bosutinib,1,0,,0.0,0.705607476636
lapatinib,1,0,,0.0,0.705607476636
clofarabine,2,0,,0.0,0.691588785047
cabozantinib,1,0,,0.0,0.677570093458
axitinib,1,0,,0.0,0.677570093458
tivozanib,1,0,,0.0,0.663551401869
pemetrexed,2,0,,0.0,0.654205607477
tucatinib,2,0,,0.0,0.644859813084
brigatinib,8,0,,0.0,0.635514018692
celecoxib,2,0,,0.0,0.626168224299
lorlatinib,2,0,,0.0,0.616822429907
fulvestrant,2,0,,0.0,0.607476635514
belinostat,5,0,,0.0,0.598130841121
gemcitabine,4,0,,0.0,0.588785046729
osimertinib,2,0,,0.0,0.579439252336
thiotepa,3,0,,0.0,0.570093457944
epirubicin,4,0,,0.0,0.560747663551
etoposide,7,0,,0.0,0.551401869159
topotecan,2,0,,0.0,0.542056074766
ixabepilone,11,0,,0.0,0.532710280374
trifluridine,6,0,,0.0,0.523364485981
abemaciclib,5,0,,0.0,0.514018691589
ixazomib,5,0,,0.0,0.504672897196
mitomycin,12,0,,0.0,0.495327102804
carboplatin,7,0,,0.0,0.485981308411
hydroxyurea,7,0,,0.0,0.476635514019
fluorouracil,12,0,,0.0,0.467289719626
erlotinib,11,0,,0.0,0.457943925234
selinexor,3,0,,0.0,0.448598130841
melphalan,6,0,,0.0,0.439252336449
afatinib,9,0,,0.0,0.429906542056
imatinib,5,0,,0.0,0.420560747664
estramustine,7,0,,0.0,0.411214953271
cyclophosphamide,16,0,,0.0,0.401869158879
everolimus,11,0,,0.0,0.392523364486
darolutamide,8,0,,0.0,0.383177570093
ribociclib,8,0,,0.0,0.373831775701
daunorubicin,12,0,,0.0,0.364485981308
bleomycin,16,0,,0.0,0.355140186916
fludarabine,4,0,,0.0,0.345794392523
mitoxantrone,6,0,,0.0,0.336448598131
dasatinib,25,0,,0.0,0.327102803738
sonidegib,4,0,,0.0,0.317757009346
chlorambucil,6,0,,0.0,0.308411214953
cytarabine,9,0,,0.0,0.299065420561
tioguanine,16,0,,0.0,0.289719626168
neratinib,6,0,,0.0,0.280373831776
docetaxel,12,0,,0.0,0.271028037383
idarubicin,11,0,,0.0,0.261682242991
actinomycin d,12,0,,0.0,0.252336448598
methotrexate,27,0,,0.0,0.242990654206
vorinostat,18,0,,0.0,0.233644859813
zoledronate,20,0,,0.0,0.224299065421
valrubicin,11,0,,0.0,0.214953271028
cisplatin,6,0,,0.0,0.205607476636
dexrazoxane,18,0,,0.0,0.196261682243
ibrutinib,13,0,,0.0,0.18691588785
nilotinib,14,0,,0.0,0.177570093458
duvelisib,6,0,,0.0,0.168224299065
carmustine,29,0,,0.0,0.158878504673
paclitaxel,10,0,,0.0,0.14953271028
vinblastine,9,0,,0.0,0.140186915888
dacarbazine,15,0,,0.0,0.130841121495
irinotecan,11,0,,0.0,0.121495327103
lenvatinib,18,0,,0.0,0.11214953271
oxaliplatin,31,0,,0.0,0.102803738318
carfilzomib,9,0,,0.0,0.0934579439252
dacomitinib,9,0,,0.0,0.0841121495327
allopurinol,13,0,,0.0,0.0747663551402
vandetanib,6,0,,0.0,0.0654205607477
idelalisib,9,0,,0.0,0.0560747663551
crizotinib,17,0,,0.0,0.0467289719626
vemurafenib,22,0,,0.0,0.0373831775701
mercaptopurine,27,0,,0.0,0.0280373831776
fruquintinib,31,0,,0.0,0.018691588785
lomustine,27,0,,0.0,0.00934579439252
abiraterone,39,0,,0.0,0.0
