drug_a,drug_b,intersection_n,union_n,jaccard,n_a,n_b,shared_genes
axitinib,cabozantinib,1,1,1.0,1,1,ZNF521
bosutinib,lapatinib,1,1,1.0,1,1,MLLT10
binimetinib,trametinib,20,25,0.8,23,22,ACSL3;ASXL2;ATIC;ATP1A1;BIRC6;EML4;ETNK1;ETV1;ETV4;ETV5;IDH1;MAP3K1;NFE2L2;RNF43;SH2B3;SHTN1;SLC45A3;SRSF2;STAT6;TNFRSF14
cobimetinib,trametinib,22,29,0.7586206896551724,29,22,ACSL3;ASXL2;ATIC;ATP1A1;BIRC6;CASP8;EML4;ERBB3;ETNK1;ETV1;ETV4;ETV5;IDH1;MAP3K1;NFE2L2;RNF43;SH2B3;SHTN1;SLC45A3;SRSF2;STAT6;TNFRSF14
cobimetinib,selumetinib,24,32,0.75,29,27,ACSL3;ASXL2;ATIC;ATP1A1;BIRC6;BLM;CASP8;CHD4;CREB3L2;ETNK1;ETV1;ETV4;ETV5;IDH1;MAP3K1;NFE2L2;PALB2;PTCH1;SH2B3;SLC45A3;SND1;SRSF2;STAT6;TNFRSF14
binimetinib,cobimetinib,22,30,0.7333333333333333,23,29,ACSL3;ASXL2;ATIC;ATP1A1;BIRC6;CREB3L2;EML4;ETNK1;ETV1;ETV4;ETV5;IDH1;MAP3K1;NFE2L2;RNF43;SH2B3;SHTN1;SLC45A3;SND1;SRSF2;STAT6;TNFRSF14
binimetinib,selumetinib,20,30,0.6666666666666666,23,27,ACSL3;ASXL2;ATIC;ATP1A1;BIRC6;CREB3L2;EP300;ETNK1;ETV1;ETV4;ETV5;IDH1;MAP3K1;NFE2L2;SH2B3;SLC45A3;SND1;SRSF2;STAT6;TNFRSF14
teniposide,valrubicin,7,12,0.5833333333333334,8,11,CTCF;IKZF1;P2RY8;SUB1;TAF15;WAS;ZEB1
selumetinib,trametinib,18,31,0.5806451612903226,27,22,ACSL3;ASXL2;ATIC;ATP1A1;BIRC6;CASP8;ETNK1;ETV1;ETV4;ETV5;IDH1;MAP3K1;NFE2L2;SH2B3;SLC45A3;SRSF2;STAT6;TNFRSF14
carmustine,lomustine,20,36,0.5555555555555556,29,27,AMER1;ARID1A;BCLAF1;BCOR;CBFB;CHD4;CNTRL;DDX5;DDX6;EWSR1;FUBP1;LCP1;MYB;NONO;RBM10;SPEN;THRAP3;TRIM24;ZNF521;ZRSR2
acalabrutinib,tucatinib,1,2,0.5,1,2,ERBB4
afatinib,neratinib,5,10,0.5,9,6,LASP1;MGMT;MPL;PAX5;PDGFB
gilteritinib,lorlatinib,1,2,0.5,1,2,BCL3
