check,passed,observed,expected
A1_matched_row_count,True,450000,450000
A1_drug_row_count,True,432,432
A1_replicate_count,True,10000,10000
A2_matched_row_count,True,440000,440000
A2_drug_row_count,True,432,432
A2_replicate_count,True,10000,10000
B1_matched_row_count,True,240000,240000
B1_drug_row_count,True,432,432
B1_replicate_count,True,10000,10000
B2_matched_row_count,True,250000,250000
B2_drug_row_count,True,432,432
B2_replicate_count,True,10000,10000
B2_lo_matched_row_count,True,250000,250000
B2_lo_drug_row_count,True,432,432
B2_lo_replicate_count,True,10000,10000
B2_hi_matched_row_count,True,250000,250000
B2_hi_drug_row_count,True,432,432
B2_hi_replicate_count,True,10000,10000
A2_RB1_is_replacement_candidate,True,True,True
A1_A2_matched_seed_hashes_differ,True,f4b8815e730f84f5f2dbc6f9f8cbc11f8258ab9ac40f8e08e8d13d9c491eb733;d47eefd674ef108df3831d718bf8ec74044a5658228daddd3eff28be556f2bac,different
