draw,weight_G,weight_R,weight_P,weight_L,weight_S,spearman_vs_locked_ADRS_rank,top20_jaccard_vs_locked,CDK46_mean_rank,Abemaciclib_rank,Palbociclib_rank,Ribociclib_rank
1,0.028946653918,0.00361791338771,0.163421358066,0.140250903012,0.663763171617,0.998389970181,1,27.3333333333,8,26,48
2,0.12314761531,0.193064413943,0.190454377259,0.211636625188,0.281696968301,0.998866310364,1,28,8,27,49
3,0.332492227258,0.061057426641,0.211203805288,0.210464872896,0.184781667917,0.999466498995,1,28.6666666667,8,27,51
4,0.0427748798334,0.0418221259965,0.531256810659,0.326476881771,0.0576693017406,0.997265807349,1,29,8,30,49
5,0.60161223011,0.250191457518,0.0562769955109,0.0382281887639,0.0536911280975,0.997932683605,0.904761904762,27.6666666667,8,25,50
6,0.07480977789,0.0785694305346,0.417227172805,0.194177868539,0.235215750231,0.998599559862,1,28,8,27,49
7,0.436530463834,0.108697860166,0.0283468543017,0.352718380285,0.0737064414129,0.999371230958,1,28.3333333333,8,27,50
8,0.477438344521,0.139772106547,0.251016109378,0.0025141098272,0.129259329726,0.999495079406,1,27.6666666667,7,26,50
9,0.0861105014081,0.0399737737285,0.0186703983462,0.448190436951,0.407054889567,0.997761201139,1,28,9,27,48
10,0.144251936857,0.13826975691,0.103970746981,0.0766322637365,0.536875295516,0.998961578401,1,28,7,26,51
11,0.0719528734207,0.651928556002,0.0628446820736,0.0551017197655,0.158172168738,0.99903779283,1,28.3333333333,8,26,51
12,0.108442136973,0.356777201369,0.0153135813655,0.168128169243,0.35133891105,0.999047319634,1,28.3333333333,8,26,51
13,0.374315280741,0.250396592409,0.0460652059852,0.112252824167,0.216970096697,0.999352177351,1,28,8,26,50
14,0.222629026232,0.0269286652156,0.212554591802,0.0681641926907,0.469723524059,0.999237855707,1,27.3333333333,7,26,49
15,0.0970420873959,0.0130708062788,0.219439802234,0.277155254392,0.393292049699,0.99846618461,1,28,8,27,49
16,0.219221896613,0.506401572252,0.00848785982168,0.26433861049,0.00155006082343,0.99893299799,1,29,9,27,51
17,0.140259256498,0.35286268253,0.0850291706296,0.0307474505789,0.391101439764,0.999056846437,1,28,7,26,51
18,0.0158598454778,0.0768488604604,0.845387583976,0.0584723728463,0.00343133723987,0.997665933103,1,28.6666666667,8,29,49
19,0.256248457606,0.18534849989,0.228756626406,0.221927563771,0.107718852328,0.998913944383,1,28.3333333333,8,27,50
20,0.0148635041068,0.175291506793,0.227799768913,0.145888096091,0.436157124096,0.998428077396,1,28,8,27,49
21,0.184246197999,0.0738018633725,0.125228479517,0.464424276227,0.152299182884,0.998351862966,1,28.3333333333,8,28,49
22,0.315003475321,0.0660702770718,0.00522985078647,0.00069649357614,0.612999903245,0.99882820315,1,27.3333333333,7,25,50
23,0.173490670481,0.356172966345,0.232742094957,0.195276572244,0.0423176959723,0.999104480456,1,28,8,27,49
24,0.136102194501,0.408753763387,0.139642006548,0.0814697487739,0.234032286791,0.999399811369,1,28,8,26,50
25,0.488927476832,0.376398776574,0.0255692094002,0.0915931142928,0.0175114229007,0.99846618461,0.904761904762,27.6666666667,8,25,50
26,0.145405121086,0.359355448056,0.124542231723,0.12752355695,0.243173642184,0.9992188021,1,28.3333333333,8,27,50
27,0.0811438932409,0.0668976362799,0.339763378665,0.293378769223,0.218816322592,0.998399496985,1,28.3333333333,8,28,49
28,0.288266786833,0.276190137234,0.400798887527,0.0162348883804,0.0185093000263,0.999514133013,1,28.3333333333,8,27,50
29,0.226153641878,0.175466637598,0.135887541743,0.233794870575,0.228697308206,0.999237855707,1,28.6666666667,8,27,51
