drug,locked_rank,rank_median,rank_q05,rank_q25,rank_q75,rank_q95,rank_sd,prob_top10,prob_top20
Irinotecan,1,1,1,1,2,3,0.753683646525,1,1
Cytarabine,2,2,1,1,2,2,0.4827753847,1,1
Ixazomib,3,3,3,3,3,4,0.321581116383,1,1
Daunorubicin,4,4,4,4,4,5,0.416466618644,1,1
Mitomycin,5,5,2,5,5,6,1.20156054685,1,1
Belinostat,6,6,5,6,6,6,0.531105519716,1,1
Brigatinib,7,7,7,7,7,9,0.827647872589,0.989,1
Abemaciclib,8,8,7,8,8,10,0.698196590137,0.988,1
Actinomycin D,9,9,8,9,9,11,0.747032835997,0.91,1
Docetaxel,10,11,10,10,11,12,0.843568377553,0.392,1
Crizotinib,11,11,9,10,12,12,1.03078538917,0.406,1
Olaparib,12,11,8,9,12,12,1.42439633,0.315,1
Celecoxib,13,13,13,13,13,13,0.186959765602,0,1
Fluorouracil,14,14,14,14,14,14,0.16329625123,0,1
Homoharringtonine,15,16,15,15,16,16,0.446232140397,0,1
Ibrutinib,16,15,15,15,16,23,2.71869496308,0,0.932
Mitotane,17,17,17,17,17,18,0.398916199388,0,1
Paclitaxel,18,18,18,18,20,21,1.09108637122,0,0.94
Axitinib,19,19,18,18,19,20,0.676725910512,0,0.998
Mercaptopurine,20,19,17,19,20,20,1.10920256506,0,1
Romidepsin,21,21,20,21,21,22,0.546144004154,0,0.068
Ceritinib,22,22,20,21,22,23,0.799238877172,0,0.061
Doxorubicin,23,23,22,23,23,23,0.3207286499,0,0
Idarubicin,24,24,23,24,24,24,0.28872540997,0,0.001
Nilotinib,25,25,25,25,25,25,0.227437305049,0,0
Palbociclib,26,27,26,26,27,29,1.21535059842,0,0
Epirubicin,27,26,26,26,27,27,0.652924429249,0,0
Bosutinib,28,28,27,28,28,29,0.638152206169,0,0
Panobinostat,29,29,28,28,29,29,0.593255385102,0,0
Cobimetinib,30,32,30,31,33,33,1.08533541035,0,0
Hydroxyurea,31,30,30,30,31,32,0.832127656334,0,0
Chlorambucil,32,31,30,30,31,32,0.797753979251,0,0
Lapatinib,33,33,32,32,33,33,0.548358182848,0,0
Gemcitabine,34,34,34,34,34,38,1.19355920824,0,0
Osimertinib,35,37,36,37,38,40,1.48662236161,0,0
Tivozanib,36,35,35,35,36,37,0.787143948459,0,0
Acalabrutinib,37,38,35,36,38,41,1.75255683373,0,0
Melphalan,38,42,37,39,43,43,2.17797143222,0,0
Fulvestrant,39,40,38,39,42,42,1.45506742841,0,0
Erlotinib,40,36,34,35,38,42,2.6415557569,0,0
Ixabepilone,41,40,35,39,43,45,2.81103217732,0,0
Afatinib,42,41,39,40,42,43,1.1724293542,0,0
Allopurinol,43,44,40,42,45,46,1.92674241567,0,0
Etoposide,44,43,37,40,44.25,45,2.71723358553,0,0
Tucatinib,45,44,43,44,45,45,0.763991939541,0,0
Carmustine,46,48,46,47,48,49,1.14735671324,0,0
Pemetrexed,47,46,46,46,47,47,0.569472825778,0,0
Tamoxifen,48,47,45,47,48,49.05,1.376906268,0,0
Decitabine,49,50,48,49,50,51,1.17363598335,0,0
Cyclophosphamide,50,51,49,50,51,51,0.821624041801,0,0
Ribociclib,51,49,48,49,50,51,0.934914469385,0,0
Pralatrexate,52,52,52,52,52,52,0.141477970073,0,0
Vandetanib,53,53,53,53,53,53,0.109581056794,0,0
Azacitidine,54,54,54,54,55,56,0.665373370163,0,0
Tioguanine,55,55,54,54,55,56,0.670194121252,0,0
Binimetinib,56,56,55,56,56,56,0.416842605497,0,0
Trifluridine,57,58,57,57,58,61,1.20280619501,0,0
Selinexor,58,59,58,58,59,60,0.735023305249,0,0
Sirolimus,59,58,57,57,59,59,0.895433303379,0,0
Lomustine,60,64,60,63,66,70,2.96826305869,0,0
Selumetinib,61,63,60,61,64,64,1.40881111181,0,0
Carfilzomib,62,62,60,61,62,63,0.67626646844,0,0
Erdafitinib,63,61,60,60,62,63,1.05239656905,0,0
Dabrafenib,64,64,63,64,65,65,0.751225225441,0,0
Dasatinib,65,61,57,59,64,67,3.45209906984,0,0
Encorafenib,66,68,65,66,69,71,1.92533189422,0,0
Trametinib,67,67,66,67,68,68,0.74557016764,0,0
Methotrexate,68,68,65,67,69,69,1.47169456236,0,0
Sunitinib,69,66,65,66,67,69,1.33069370846,0,0
Oxaliplatin,70,70,69,70,71,71,0.710453196026,0,0
Darolutamide,71,71,69,70,71,71,0.668798393607,0,0
Temsirolimus,72,72,72,72,72,73,0.572502191051,0,0
Estramustine,73,73,72,73,74,75,0.997481814356,0,0
Raloxifene,74,75,73,74,76,78,1.3780311934,0,0
Gilteritinib,75,74,73,73,75,75,0.875148493048,0,0
Asciminib,76,76,74,76,77,78,1.22028238088,0,0
Imatinib,77,77,75,76,77,78,0.952185726451,0,0
Topotecan,78,78,75,76,78,78,1.15572258553,0,0
Everolimus,79,79,79,79,79,80,0.263523138347,0,0
Lorlatinib,80,80,80,80,80,83,0.755199527493,0,0
Vinorelbine,81,81,80,81,83,83,1.13357663878,0,0
Cabozantinib,82,82,81,81,82,83,0.588613171332,0,0
Fludarabine,83,82,81.95,82,83,83,0.635613093009,0,0
Duvelisib,84,84,84,84,84,84,0.171012412547,0,0
Vorinostat,85,85,85,85,85,86,0.353094428837,0,0
Carboplatin,86,86,85,86,86,87,0.646678585692,0,0
Clofarabine,87,87,86,87,87,87,0.543557222797,0,0
Dacarbazine,88,88,88,88,88,89,0.335643645339,0,0
Dacomitinib,89,89,89,89,90,90,0.531166770552,0,0
