seed,normalized_weight,exposed_n,minimum_rho,minimum_top20_jaccard,max_abs_shift,max_n_shift_ge_10,max_exposed_shift,max_unexposed_shift
AKT1,0.0131636682756,0,0.998637667076,0.904761904762,6,0,0,6
APC,0.0289600702062,0,0.998056532053,0.904761904762,9,0,0,9
ATM,0.0171127687582,1,0.999009212419,0.904761904762,6,0,1,6
ATR,0.0171127687582,3,0.992893004468,0.904761904762,37,1,37,13
ATRX,0.030495831505,0,0.994388712643,0.904761904762,12,2,0,12
BRCA1,0.0175515577007,7,0.960111273067,0.818181818182,51,5,51,7
BRCA2,0.0175515577007,4,0.991187706613,0.904761904762,40,1,40,9
CCNE1,0.0289600702062,0,0.99786599598,1,13,1,0,13
CDK4,0.0302764370338,2,0.998218487715,0.904761904762,10,1,7,10
CDKN2A,0.0320315928039,0,0.996989530043,0.904761904762,10,1,0,10
CHEK2,0.0171127687582,4,0.973582173445,0.904761904762,50,3,50,6
CTNNB1,0.0337867485739,0,0.994360132232,0.904761904762,17,1,0,17
CYP11A1,0.0140412461606,0,0.999599874246,1,6,0,0,6
CYP17A1,0.0140412461606,0,0.998447131003,1,15,1,0,15
CYP21A2,0.0140412461606,0,0.999456972191,0.904761904762,5,0,0,5
DAXX,0.0274243089074,1,0.994912686844,0.904761904762,14,2,0,14
EGFR,0.012724879333,5,0.968294797413,0.818181818182,43,5,43,7
FRS2,0.0188679245283,0,0.996074956891,0.904761904762,12,2,0,12
HSD3B2,0.0140412461606,0,0.999533186621,1,4,0,0,4
IGF1R,0.0171127687582,0,0.997627825888,0.904761904762,8,0,0,8
IGF2,0.0324703817464,0,0.996303600179,0.818181818182,13,1,0,13
IL7R,0.0193067134708,1,0.9958367868,0.904761904762,18,2,14,18
KDR,0.0114085125055,1,0.998199434108,1,10,1,10,8
KRAS,0.0197455024133,0,0.996570350682,0.818181818182,14,1,0,14
LRP1B,0.0188679245283,0,0.99458877552,0.818181818182,13,2,0,13
MED12,0.0230364194822,1,0.9932359694,0.904761904762,36,3,36,15
MEN1,0.030495831505,7,0.977831127878,0.818181818182,49,5,49,25
MLH1,0.0239139973673,0,0.999152114474,0.904761904762,5,0,0,5
MSH2,0.0239139973673,4,0.998961578401,0.904761904762,6,0,6,5
MSH6,0.0239139973673,3,0.986243295512,0.904761904762,51,1,51,6
MTOR,0.0131636682756,0,0.998504291825,0.904761904762,10,1,0,10
NF1,0.0250109697236,0,0.997723093925,0.904761904762,9,0,0,9
NR5A1,0.0225976305397,0,0.997799308354,1,10,1,0,10
PIK3CA,0.0153576129882,0,0.997161012509,0.904761904762,16,1,0,16
PMS2,0.0239139973673,0,0.999161641278,0.904761904762,5,0,0,5
PRKAR1A,0.0309346204476,0,0.990168338621,0.818181818182,20,8,0,20
PTCH1,0.0188679245283,3,0.987272190307,0.904761904762,30,3,30,9
RB1,0.0320315928039,2,0.973067726047,0.904761904762,57,5,57,19
RPL22,0.0252303641948,0,0.998437604199,0.904761904762,15,1,0,15
STAR,0.0140412461606,0,0.999590347443,0.904761904762,6,0,0,6
TERF2,0.0276437033787,0,0.9973991826,0.818181818182,13,1,0,13
TERT,0.0307152259763,16,0.916735735993,0.739130434783,54,16,54,19
TP53,0.0337867485739,0,0.997322968171,0.904761904762,8,0,0,8
VEGFA,0.0114085125055,0,1,1,0,0,0,0
ZNRF3,0.0318121983326,0,0.998990158812,1,9,0,0,9
