seed,variant,rho,top20_jaccard,median_abs_shift,max_abs_shift,n_shift_ge_5,n_shift_ge_10,exposed_n,exposed_median_abs_shift,exposed_max_abs_shift,unexposed_median_abs_shift,unexposed_max_abs_shift
AKT1,column_gene_rank,0.999352177351,1,0,4,0,0,0,,,0,4
AKT1,column_minmax,1,1,0,0,0,0,0,,,0,0
AKT1,symmetric_gene_rank,0.998637667076,0.904761904762,1,6,4,0,0,,,1,6
AKT1,uniform_ratio_gene_rank,0.999123534063,1,0.5,4,0,0,0,,,0.5,4
APC,column_gene_rank,0.998161326893,0.904761904762,1,9,5,0,0,,,1,9
APC,column_minmax,0.999799937123,1,0,3,0,0,0,,,0,3
APC,symmetric_gene_rank,0.998551925843,0.904761904762,1,6,4,0,0,,,1,6
APC,uniform_ratio_gene_rank,0.998056532053,1,1,7,4,0,0,,,1,7
ATM,column_gene_rank,0.999009212419,0.904761904762,0,6,2,0,1,0,0,0,6
ATM,column_minmax,0.999904731963,1,0,2,0,0,1,1,1,0,2
ATM,symmetric_gene_rank,0.999180694885,0.904761904762,0,6,2,0,1,0,0,0,6
ATM,uniform_ratio_gene_rank,0.999228328903,1,1,3,0,0,1,0,0,1,3
ATR,column_gene_rank,0.998332809359,0.904761904762,1,13,2,1,3,1,1,1,13
ATR,column_minmax,0.992893004468,0.904761904762,1,37,1,1,3,2,37,1,4
ATR,symmetric_gene_rank,0.998380443377,0.904761904762,1,9,3,0,3,1,2,1,9
ATR,uniform_ratio_gene_rank,0.999056846437,1,1,5,1,0,3,1,1,1,5
ATRX,column_gene_rank,0.996579877485,0.904761904762,1,12,9,1,0,,,1,12
ATRX,column_minmax,0.999666561872,1,0,4,0,0,0,,,0,4
ATRX,symmetric_gene_rank,0.994388712643,0.904761904762,1,12,17,2,0,,,1,12
ATRX,uniform_ratio_gene_rank,0.99476978479,0.904761904762,1,12,13,2,0,,,1,12
BRCA1,column_gene_rank,0.998913944383,0.904761904762,0,7,3,0,7,0,7,0,6
BRCA1,column_minmax,0.960111273067,0.818181818182,2,51,16,5,7,38,51,2,7
BRCA1,symmetric_gene_rank,0.997513504244,1,1,7,8,0,7,0,2,1,7
BRCA1,uniform_ratio_gene_rank,0.998656720684,1,1,6,2,0,7,3,6,1,6
BRCA2,column_gene_rank,0.998790095935,0.904761904762,0.5,7,2,0,4,0.5,1,0.5,7
BRCA2,column_minmax,0.991187706613,1,1,40,3,1,4,6.5,40,1,4
BRCA2,symmetric_gene_rank,0.998809149542,1,1,9,2,0,4,0.5,1,1,9
BRCA2,uniform_ratio_gene_rank,0.99875198872,0.904761904762,1,4,0,0,4,1,3,1,4
CCNE1,column_gene_rank,0.998570979451,1,0,9,3,0,0,,,0,9
CCNE1,column_minmax,0.99989520516,1,0,3,0,0,0,,,0,3
CCNE1,symmetric_gene_rank,0.998694827898,1,1,6,3,0,0,,,1,6
CCNE1,uniform_ratio_gene_rank,0.99786599598,1,1,13,5,1,0,,,1,13
CDK4,column_gene_rank,0.998961578401,0.904761904762,0,5,1,0,2,0,0,0.5,5
CDK4,column_minmax,0.999523659817,1,0,7,1,0,2,3.5,7,0,2
CDK4,symmetric_gene_rank,0.998218487715,1,1,7,4,0,2,0.5,1,1,7
CDK4,uniform_ratio_gene_rank,0.998675774291,1,1,10,2,1,2,0.5,1,1,10
CDKN2A,column_gene_rank,0.997904103194,1,1,8,7,0,0,,,1,8
CDKN2A,column_minmax,0.999828517534,1,0,3,0,0,0,,,0,3
CDKN2A,symmetric_gene_rank,0.996989530043,0.904761904762,1,10,8,1,0,,,1,10
CDKN2A,uniform_ratio_gene_rank,0.997437289815,1,1,9,7,0,0,,,1,9
CHEK2,column_gene_rank,0.999371230958,1,0,6,2,0,4,0.5,1,0,6
CHEK2,column_minmax,0.973582173445,0.904761904762,1,50,6,3,4,35.5,50,1,6
CHEK2,symmetric_gene_rank,0.99932359694,1,1,5,1,0,4,1.5,3,0.5,5
CHEK2,uniform_ratio_gene_rank,0.999742776301,1,0,2,0,0,4,1,1,0,2
CTNNB1,column_gene_rank,0.998180380501,0.904761904762,1,6,5,0,0,,,1,6
CTNNB1,column_minmax,0.999847571141,1,0,3,0,0,0,,,0,3
CTNNB1,symmetric_gene_rank,0.994360132232,0.904761904762,1.5,17,14,1,0,,,1.5,17
CTNNB1,uniform_ratio_gene_rank,0.997227700134,1,1,9,7,0,0,,,1,9
CYP11A1,column_gene_rank,0.999695142283,1,0,4,0,0,0,,,0,4
CYP11A1,column_minmax,1,1,0,0,0,0,0,,,0,0
CYP11A1,symmetric_gene_rank,0.999637981461,1,0,6,1,0,0,,,0,6
CYP11A1,uniform_ratio_gene_rank,0.999599874246,1,0,5,1,0,0,,,0,5
CYP17A1,column_gene_rank,0.999552240228,1,0,5,2,0,0,,,0,5
CYP17A1,column_minmax,1,1,0,0,0,0,0,,,0,0
CYP17A1,symmetric_gene_rank,0.999590347443,1,0,4,0,0,0,,,0,4
CYP17A1,uniform_ratio_gene_rank,0.998447131003,1,0,15,1,1,0,,,0,15
CYP21A2,column_gene_rank,0.999476025799,1,0,4,0,0,0,,,0,4
CYP21A2,column_minmax,1,1,0,0,0,0,0,,,0,0
CYP21A2,symmetric_gene_rank,0.999552240228,0.904761904762,0,5,1,0,0,,,0,5
CYP21A2,uniform_ratio_gene_rank,0.999456972191,1,0,5,1,0,0,,,0,5
DAXX,column_gene_rank,0.996646565111,0.904761904762,1,14,5,2,1,0,0,1,14
DAXX,column_minmax,0.999637981461,1,0,4,0,0,1,0,0,0,4
DAXX,symmetric_gene_rank,0.996675145522,1,1,9,10,0,1,0,0,1,9
DAXX,uniform_ratio_gene_rank,0.994912686844,1,1,14,13,2,1,0,0,1,14
EGFR,column_gene_rank,0.998904417579,1,1,5,2,0,5,1,4,1,5
EGFR,column_minmax,0.968294797413,0.818181818182,1,43,16,5,5,33,43,1,7
EGFR,symmetric_gene_rank,0.998275648537,0.904761904762,1,6,3,0,5,3,4,1,6
EGFR,uniform_ratio_gene_rank,0.996008269266,1,1,18,6,1,5,9,18,1,5
FRS2,column_gene_rank,0.998523345432,1,1,5,3,0,0,,,1,5
FRS2,column_minmax,0.999780883516,1,0,4,0,0,0,,,0,4
FRS2,symmetric_gene_rank,0.997799308354,0.904761904762,1,12,3,1,0,,,1,12
FRS2,uniform_ratio_gene_rank,0.996074956891,1,1,12,8,2,0,,,1,12
HSD3B2,column_gene_rank,0.999780883516,1,0,4,0,0,0,,,0,4
HSD3B2,column_minmax,0.999961892785,1,0,2,0,0,0,,,0,2
HSD3B2,symmetric_gene_rank,0.999533186621,1,0,4,0,0,0,,,0,4
HSD3B2,uniform_ratio_gene_rank,0.999628454657,1,0,4,0,0,0,,,0,4
IGF1R,column_gene_rank,0.997627825888,0.904761904762,1,7,8,0,0,,,1,7
IGF1R,column_minmax,0.99981899073,1,0,3,0,0,0,,,0,3
IGF1R,symmetric_gene_rank,0.998370916574,1,1,6,5,0,0,,,1,6
IGF1R,uniform_ratio_gene_rank,0.997732620728,1,1,8,7,0,0,,,1,8
IGF2,column_gene_rank,0.996741833148,0.904761904762,1,13,8,1,0,,,1,13
IGF2,column_minmax,0.999733249497,1,0,3,0,0,0,,,0,3
IGF2,symmetric_gene_rank,0.9973991826,0.818181818182,1,13,6,1,0,,,1,13
IGF2,uniform_ratio_gene_rank,0.996303600179,0.904761904762,1,13,6,1,0,,,1,13
IL7R,column_gene_rank,0.995979688855,0.904761904762,1,18,8,1,1,1,1,1,18
IL7R,column_minmax,0.998675774291,1,0,14,1,1,1,14,14,0,4
IL7R,symmetric_gene_rank,0.997561138263,0.904761904762,1,7,5,0,1,1,1,1,7
IL7R,uniform_ratio_gene_rank,0.9958367868,0.904761904762,1,13,12,2,1,0,0,1,13
KDR,column_gene_rank,0.998323282555,1,0,8,4,0,1,1,1,0,8
KDR,column_minmax,0.999247382511,1,0,10,1,1,1,10,10,0,3
KDR,symmetric_gene_rank,0.99903779283,1,0,5,1,0,1,1,1,0,5
KDR,uniform_ratio_gene_rank,0.998199434108,1,1,7,6,0,1,4,4,1,7
KRAS,column_gene_rank,0.998628140273,1,1,6,4,0,0,,,1,6
KRAS,column_minmax,0.999904731963,1,0,3,0,0,0,,,0,3
KRAS,symmetric_gene_rank,0.996570350682,0.818181818182,1,14,9,1,0,,,1,14
KRAS,uniform_ratio_gene_rank,0.997322968171,0.904761904762,1,9,7,0,0,,,1,9
LRP1B,column_gene_rank,0.996818047577,0.904761904762,1,11,9,1,0,,,1,11
LRP1B,column_minmax,0.999809463927,1,0,3,0,0,0,,,0,3
LRP1B,symmetric_gene_rank,0.998180380501,0.818181818182,1,8,3,0,0,,,1,8
LRP1B,uniform_ratio_gene_rank,0.99458877552,0.818181818182,1,13,13,2,0,,,1,13
MED12,column_gene_rank,0.997618299084,0.904761904762,1,12,3,1,1,12,12,1,8
MED12,column_minmax,0.9932359694,1,0,36,1,1,1,36,36,0,4
MED12,symmetric_gene_rank,0.99448398068,0.904761904762,1,20,9,2,1,20,20,1,15
MED12,uniform_ratio_gene_rank,0.994426819858,1,1,13,13,3,1,13,13,1,13
MEN1,column_gene_rank,0.994531614698,1,1,13,13,4,7,3,7,1,13
MEN1,column_minmax,0.977831127878,0.818181818182,1,49,9,2,7,4,49,1,8
MEN1,symmetric_gene_rank,0.992330923052,0.904761904762,1,20,15,3,7,1,5,1,20
MEN1,uniform_ratio_gene_rank,0.987710423276,0.818181818182,2,25,21,5,7,2,10,2,25
MLH1,column_gene_rank,0.999761829908,0.904761904762,0,2,0,0,0,,,0,2
MLH1,column_minmax,0.999780883516,1,0,3,0,0,0,,,0,3
MLH1,symmetric_gene_rank,0.999152114474,0.904761904762,0,5,2,0,0,,,0,5
MLH1,uniform_ratio_gene_rank,0.999152114474,0.904761904762,1,4,0,0,0,,,1,4
MSH2,column_gene_rank,0.998961578401,0.904761904762,0,6,2,0,4,2,6,0,5
MSH2,column_minmax,0.999133060867,0.904761904762,0.5,5,1,0,4,2,4,0,5
MSH2,symmetric_gene_rank,0.999018739223,0.904761904762,1,5,2,0,4,1.5,2,1,5
MSH2,uniform_ratio_gene_rank,0.999333123744,1,0,5,1,0,4,0.5,3,0,5
MSH6,column_gene_rank,0.999409338173,0.904761904762,0,4,0,0,3,0,2,0,4
MSH6,column_minmax,0.986243295512,1,1,51,3,1,3,6,51,1,5
MSH6,symmetric_gene_rank,0.998913944383,0.904761904762,1,6,2,0,3,1,4,1,6
MSH6,uniform_ratio_gene_rank,0.999123534063,0.904761904762,1,5,1,0,3,0,1,1,5
MTOR,column_gene_rank,0.999114007259,1,0,4,0,0,0,,,0,4
MTOR,column_minmax,0.999952365982,1,0,2,0,0,0,,,0,2
MTOR,symmetric_gene_rank,0.998713881506,0.904761904762,1,7,2,0,0,,,1,7
MTOR,uniform_ratio_gene_rank,0.998504291825,1,1,10,2,1,0,,,1,10
NF1,column_gene_rank,0.999209275296,1,0,5,1,0,0,,,0,5
NF1,column_minmax,0.999771356712,1,0,3,0,0,0,,,0,3
NF1,symmetric_gene_rank,0.997856469176,0.904761904762,1,9,5,0,0,,,1,9
NF1,uniform_ratio_gene_rank,0.997723093925,1,1,8,5,0,0,,,1,8
