mechanism_class,k,n_universe,rank_sum,mean_rank,median_rank,p_exact,members,member_ranks,test,alternative,q_bh,significant_fdr_0_05
ALK/MET,4,108,120,30.0,16.5,0.05757763204421642,Brigatinib; Crizotinib; Ceritinib; Lorlatinib,7; 11; 22; 80,exact one-sided random-set rank-sum,lower mean rank than random same-size sets,0.37110183715720657,False
CDK4/6,3,108,85,28.333333333333332,26.0,0.07635827504457375,Abemaciclib; Palbociclib; Ribociclib,8; 26; 51,exact one-sided random-set rank-sum,lower mean rank than random same-size sets,0.37110183715720657,False
HDAC,4,108,141,35.25,25.0,0.11133055114716198,Belinostat; Romidepsin; Panobinostat; Vorinostat,6; 21; 29; 85,exact one-sided random-set rank-sum,lower mean rank than random same-size sets,0.37110183715720657,False
Antimetabolite,13,108,646,49.69230769230769,52.0,0.28121899994319355,Cytarabine; Fluorouracil; Mercaptopurine; Hydroxyurea; Gemcitabine; Pemetrexed; Pralatrexate; Tioguanine; Trifluridine; Methotrexate; Fludarabine; Clofarabine; Cladribine,2; 14; 20; 31; 34; 47; 52; 55; 57; 68; 83; 87; 96,exact one-sided random-set rank-sum,lower mean rank than random same-size sets,0.65654229232319,False
Tubulin,5,108,251,50.2,41.0,0.38290617668152493,Docetaxel; Paclitaxel; Ixabepilone; Vinorelbine; Vinblastine,10; 18; 41; 81; 101,exact one-sided random-set rank-sum,lower mean rank than random same-size sets,0.65654229232319,False
Topo/anthracycline,11,108,589,53.54545454545455,44.0,0.4601045680809147,Irinotecan; Daunorubicin; Doxorubicin; Idarubicin; Epirubicin; Etoposide; Topotecan; Dexrazoxane; Mitoxantrone; Valrubicin; Teniposide,1; 4; 23; 24; 27; 44; 78; 92; 94; 97; 105,exact one-sided random-set rank-sum,lower mean rank than random same-size sets,0.65654229232319,False
MEK,4,108,214,53.5,58.5,0.4780980743950238,Cobimetinib; Binimetinib; Selumetinib; Trametinib,30; 56; 61; 67,exact one-sided random-set rank-sum,lower mean rank than random same-size sets,0.65654229232319,False
EGFR/HER,8,108,441,55.125,43.5,0.5252338338585519,Lapatinib; Osimertinib; Erlotinib; Afatinib; Tucatinib; Vandetanib; Dacomitinib; Neratinib,33; 35; 40; 42; 45; 53; 89; 104,exact one-sided random-set rank-sum,lower mean rank than random same-size sets,0.65654229232319,False
Alkylator/platinum,12,108,741,61.75,65.0,0.8015096171393369,Mitomycin; Chlorambucil; Melphalan; Carmustine; Cyclophosphamide; Lomustine; Oxaliplatin; Estramustine; Carboplatin; Dacarbazine; Thiotepa; Cisplatin,5; 32; 38; 46; 50; 60; 70; 73; 86; 88; 90; 103,exact one-sided random-set rank-sum,lower mean rank than random same-size sets,0.8559390568980323,False
Multikinase/VEGFR,6,108,407,67.83333333333333,75.5,0.8559390568980323,Axitinib; Tivozanib; Sunitinib; Cabozantinib; Fruquintinib; Lenvatinib,19; 36; 69; 82; 93; 108,exact one-sided random-set rank-sum,lower mean rank than random same-size sets,0.8559390568980323,False
