rank_comp,drug,mechanism_class,primary_moa,gene_symbol,moa_source,assignment_rule,in_primary_universe,eligible_class
1,Irinotecan,Topo/anthracycline,DNA Topoisomerase I Inhibitor,TOP1,MIPE Primary MOA,explicit_drug_alias,True,True
2,Cytarabine,Antimetabolite,DNA Polymerase Inhibitor,,MIPE Primary MOA,explicit_drug_alias,True,True
3,Ixazomib,Proteasome,Proteasome Inhibitor,PSMD1,MIPE Primary MOA,primary_moa,True,False
4,Daunorubicin,Topo/anthracycline,DNA Topoisomerase II Inhibitor,TOP2A,MIPE Primary MOA,explicit_drug_alias,True,True
5,Mitomycin,Alkylator/platinum,DNA Alkylating Agent,,MIPE Primary MOA,explicit_drug_alias,True,True
6,Belinostat,HDAC,HDAC Inhibitor,HDAC1,MIPE Primary MOA,primary_moa,True,True
7,Brigatinib,ALK/MET,IGF-1R Inhibitor,IGFR1,MIPE Primary MOA,explicit_drug_alias,True,True
8,Abemaciclib,CDK4/6,CDK4/6 Inhibitor,CDK4,MIPE Primary MOA,explicit_drug_alias,True,True
9,Actinomycin D,Other,DNA-Directed RNA Polymerase Inhibitor,PRKDC,MIPE Primary MOA,other_or_singleton,True,False
10,Docetaxel,Tubulin,Tubulin depolymerization Inhibitor,TUBB,MIPE Primary MOA,explicit_drug_alias,True,True
11,Crizotinib,ALK/MET,HGFR Inhibitor,MET,MIPE Primary MOA,explicit_drug_alias,True,True
12,Olaparib,PARP,PARP Inhibitor,PARP1,MIPE Primary MOA,primary_moa,True,False
13,Celecoxib,Other,Cyclooxygenase-2 Inhibitor,PTGS2,MIPE Primary MOA,other_or_singleton,True,False
14,Fluorouracil,Antimetabolite,Pyrimidine Antagonist,TYMS,MIPE Primary MOA,explicit_drug_alias,True,True
15,Homoharringtonine,Other,Alkaloid,RPL3,MIPE Primary MOA,other_or_singleton,True,False
16,Ibrutinib,BTK,BTK Inhibitor,BTK,MIPE Primary MOA,primary_moa,True,False
17,Mitotane,Other,Antineoplastic Agent,,MIPE Primary MOA,other_or_singleton,True,False
18,Paclitaxel,Tubulin,Tubulin depolymerization Inhibitor,TUBB,MIPE Primary MOA,explicit_drug_alias,True,True
19,Axitinib,Multikinase/VEGFR,VEGFR-1/2/3 Inhibitor,FLT1,MIPE Primary MOA,explicit_drug_alias,True,True
20,Mercaptopurine,Antimetabolite,Purine Antagonist,HPRT1,MIPE Primary MOA,explicit_drug_alias,True,True
21,Romidepsin,HDAC,HDAC Inhibitor,HDAC1,MIPE Primary MOA,primary_moa,True,True
22,Ceritinib,ALK/MET,ALK Inhibitor,ALK,MIPE Primary MOA,explicit_drug_alias,True,True
23,Doxorubicin,Topo/anthracycline,DNA Topoisomerase II Inhibitor,TOP2A,MIPE Primary MOA,explicit_drug_alias,True,True
24,Idarubicin,Topo/anthracycline,DNA Topoisomerase II Inhibitor,TOP2A,MIPE Primary MOA,explicit_drug_alias,True,True
25,Nilotinib,Other,Bcr-Abl Inhibitor,ABL1,MIPE Primary MOA,other_or_singleton,True,False
26,Palbociclib,CDK4/6,CDK4/6 Inhibitor,CDK4,MIPE Primary MOA,explicit_drug_alias,True,True
27,Epirubicin,Topo/anthracycline,DNA Topoisomerase II Inhibitor,TOP2A,MIPE Primary MOA,explicit_drug_alias,True,True
28,Bosutinib,Other,Bcr-Abl Inhibitor,ABL1,MIPE Primary MOA,other_or_singleton,True,False
29,Panobinostat,HDAC,HDAC Inhibitor,HDAC1,MIPE Primary MOA,primary_moa,True,True
