drug,n_assoc,mean_target_STRING_degree,mean_target_STRING_strength,mean_target_STRING_PageRank,C_ACC_pct,ADRS_comp
Irinotecan,11,189.727272727,221.217272727,8.36353621406e-05,0.803738317757,0.878504672897
Cytarabine,9,273.222222222,342.192888889,0.000118624318366,0.953271028037,0.869158878505
Ixazomib,5,304,368.0896,0.000127467731555,0.990654205607,0.864485981308
Daunorubicin,12,311,372.271833333,0.000129766032143,0.88785046729,0.855140186916
Mitomycin,12,354.083333333,439.755166667,0.000150845725717,0.869158878505,0.85046728972
Belinostat,5,273.2,322.444,0.00012113024199,0.92523364486,0.845794392523
Brigatinib,8,468,576.631,0.000209792011856,0.757009345794,0.817757009346
Abemaciclib,5,262.2,308.6088,0.00011490166097,0.934579439252,0.81308411215
Actinomycin D,12,317,386.073166667,0.000134114376149,0.719626168224,0.803738317757
Docetaxel,12,245.083333333,287.723,0.000104440429143,0.81308411215,0.803738317757
Crizotinib,17,226.411764706,277.870352941,0.000100631609451,0.654205607477,0.799065420561
Olaparib,1,574,682.958,0.000250084666637,0.672897196262,0.799065420561
Celecoxib,2,322,419.043,0.0001599999601,0.542056074766,0.766355140187
Fluorouracil,12,317.666666667,377.002166667,0.000134750693027,0.897196261682,0.766355140187
Homoharringtonine,1,169,191.292,7.99599816764e-05,0.560747663551,0.738317757009
Ibrutinib,13,242.230769231,296.532307692,0.000116963368828,0.607476635514,0.728971962617
Mitotane,1,254,344.512,0.000115280869091,0.570093457944,0.719626168224
Paclitaxel,10,261,314.6322,0.000108137792268,0.831775700935,0.714953271028
Axitinib,1,40,45.122,3.1273487443e-05,0.490654205607,0.71261682243
Mercaptopurine,27,259.62962963,314.074592593,0.000109599301376,0.841121495327,0.710280373832
Romidepsin,1,401,538.482,0.000176821389402,0.551401869159,0.705607476636
Ceritinib,12,392,473.515333333,0.000164381532957,0.747663551402,0.696261682243
Doxorubicin,1,1008,1308.356,0.000441126187465,0.971962616822,0.691588785047
Idarubicin,11,225.636363636,277.024,0.000100586775527,0.738317757009,0.682242990654
Nilotinib,14,301,356.497428571,0.000129900646214,0.700934579439,0.677570093458
Palbociclib,26,284.153846154,337.527923077,0.000123346056212,0.710280373832,0.658878504673
Epirubicin,4,204.5,242.191,8.89675114537e-05,0.906542056075,0.64953271028
Bosutinib,1,92,106.5,4.49192138809e-05,0.528037383178,0.642523364486
Panobinostat,1,136,153.424,5.76214571642e-05,0.598130841121,0.635514018692
Cobimetinib,29,209.413793103,248.388482759,9.35025530279e-05,0.364485981308,0.630841121495
Hydroxyurea,7,262,312.118,0.000114513053917,0.878504672897,0.630841121495
Chlorambucil,6,219.333333333,263.913666667,0.000104613721488,0.242990654206,0.621495327103
Lapatinib,1,92,106.5,4.49192138809e-05,0.528037383178,0.619158878505
Gemcitabine,4,301.25,353.631,0.00012138087886,0.96261682243,0.607476635514
Osimertinib,2,155.5,184.58,7.24348398845e-05,0.392523364486,0.598130841121
Tivozanib,1,21,19.67,1.74687381144e-05,0.467289719626,0.598130841121
Acalabrutinib,1,307,388.948,0.000147872561731,0.626168224299,0.593457943925
Melphalan,6,269.166666667,308.247333333,0.000106949882855,0.205607476636,0.593457943925
Fulvestrant,2,171,203.044,8.47640811535e-05,0.476635514019,0.588785046729
Erlotinib,11,380.272727273,462.553090909,0.00017193372908,0.682242990654,0.584112149533
Ixabepilone,11,413,493.401454545,0.00017119507424,0.859813084112,0.584112149533
Afatinib,9,228.888888889,273.956222222,0.000103894194932,0.196261682243,0.579439252336
Allopurinol,13,138.230769231,162.392461538,6.54355392333e-05,0.785046728972,0.579439252336
Etoposide,7,344.857142857,424.186285714,0.000152578306207,0.794392523364,0.57476635514
Tucatinib,2,168.5,210.633,8.42630966276e-05,0.429906542056,0.57476635514
Carmustine,29,283.310344828,332.765655172,0.00011955684209,0.373831775701,0.560747663551
Pemetrexed,2,247.5,283.986,0.000101191299885,0.981308411215,0.560747663551
Tamoxifen,18,283.277777778,338.919,0.000122590492977,0.616822429907,0.556074766355
Decitabine,1,403,457.34,0.00015835537638,0.635514018692,0.546728971963
Cyclophosphamide,16,280.75,331.417375,0.000123333082272,0.766355140187,0.542056074766
Ribociclib,8,336.875,403.5555,0.000143935456861,0.271028037383,0.542056074766
Pralatrexate,2,384.5,441.016,0.00015376421092,1,0.514018691589
Vandetanib,6,96.5,115.243666667,5.14771147507e-05,0.121495327103,0.514018691589
Azacitidine,1,1153,1397.094,0.000482021365018,0.663551401869,0.504672897196
Tioguanine,16,287.9375,344.343375,0.000121552259286,0.943925233645,0.495327102804
Binimetinib,23,207.130434783,247.717652174,9.38992566666e-05,0.00934579439252,0.490654205607
Trifluridine,6,315.333333333,396.006666667,0.000134212166356,0.915887850467,0.485981308411
Selinexor,3,70.3333333333,83.3633333333,4.08362252725e-05,0.289719626168,0.476635514019
Sirolimus,2,316,385.19,0.000136232454512,0.439252336449,0.476635514019
Lomustine,27,190,223.397185185,8.27456178554e-05,0.448598130841,0.457943925234
Selumetinib,27,243.407407407,292.179481481,0.000107974042919,0.383177570093,0.457943925234
Carfilzomib,9,219.111111111,262.943555556,9.44132527442e-05,0.130841121495,0.453271028037
Erdafitinib,10,480.8,589.3632,0.000219019822365,0.728971962617,0.453271028037
Dabrafenib,40,239.375,289.12115,0.000105470375763,0.775700934579,0.434579439252
Dasatinib,25,345.12,421.33152,0.000158809596448,0.345794392523,0.434579439252
Encorafenib,15,215.4,257.327733333,9.58171756237e-05,0.644859813084,0.429906542056
Trametinib,22,193.590909091,226.990545455,8.71635141113e-05,0.018691588785,0.429906542056
Methotrexate,27,332.777777778,395.343851852,0.000140053628746,0.85046728972,0.42523364486
Sunitinib,3,662,774.696,0.000268002753605,0.514018691589,0.42523364486
Oxaliplatin,31,290.516129032,356.603419355,0.000121755347436,0.822429906542,0.420560747664
Darolutamide,8,273.125,327.55625,0.000119826366152,0.14953271028,0.415887850467
Temsirolimus,1,270,310.756,0.000110849160299,0.579439252336,0.406542056075
Estramustine,7,289.857142857,340.626285714,0.000125913708213,0.18691588785,0.401869158879
Raloxifene,14,266.142857143,323.167,0.000116899058508,0.691588785047,0.401869158879
Gilteritinib,1,133,148.57,6.06073973633e-05,0.504672897196,0.401869158879
Asciminib,3,289.666666667,341.002,0.000123148575084,0.420560747664,0.392523364486
