gene,r_ACC,is_ACC_seed,STRING_degree,STRING_strength,STRING_PageRank,log2_degree_plus1
ABL1,0.0282064641549,False,522,638.022,0.000230833101543,9.03066713625
ABL2,0.00190168863061,False,90,99.42,4.38729017788e-05,6.5077946402
ACKR3,0.00172655875967,False,87,107.012,4.26172926964e-05,6.45943161864
ACSL3,0.00143238781677,False,157,174.94,7.64732356085e-05,7.30378074818
ACVR1,0.00436902059381,False,113,154.972,7.07575479123e-05,6.83289001416
AFF1,0.00549625760656,False,150,191.786,7.307869999e-05,7.23840473933
AFF3,0.00125666221274,False,92,100.698,4.70032443719e-05,6.53915881111
AKT3,0.0110955925915,False,260,339.306,0.000127983169393,8.02790599657
AMER1,0.0103986135803,False,74,84.466,4.08000458127e-05,6.2288186905
APOBEC3B,0.00265677969621,False,94,107.534,4.2125868427e-05,6.56985560833
AR,0.0416326136073,False,574,682.958,0.000250084666637,9.16741814583
ARHGAP26,0.00184852244351,False,54,58.504,3.4421429735e-05,5.78135971352
ARHGAP35,0.00257752460593,False,88,110.254,4.81517734349e-05,6.47573343097
ARHGAP5,0.000718816983298,False,34,42.99,2.48374073912e-05,5.12928301694
ARHGEF10,0.000286050659955,False,38,38.392,2.71567902494e-05,5.28540221886
ARID1A,0.0400242115922,False,273,341.348,0.00011873481623,8.09803208296
ARID1B,0.0157390441355,False,139,172.332,6.61382906288e-05,7.12928301694
ARID2,0.0161179766187,False,156,207.536,7.58405164217e-05,7.29462074889
ASPM,0.0090516294772,False,281,364.326,0.000130521591531,8.1395513524
ASXL2,0.0023372788014,False,100,117.502,4.89736322013e-05,6.65821148275
ATF1,0.00130011116499,False,55,72.116,3.41716231798e-05,5.80735492206
ATIC,0.0082902543357,False,273,332.014,0.000125385349794,8.09803208296
ATM,0.592081814911,True,770,947.614,0.000313997602,9.59058704992
ATP1A1,0.00315363942391,False,109,132.128,6.44645462088e-05,6.78135971352
ATR,0.554072803728,True,390,484.362,0.000164062559165,8.61102479731
AXIN1,0.0361460225973,False,382,443.29,0.000172804584262,8.58120058192
B2M,0.0129709967144,False,500,586.914,0.000210804082032,8.9686667932
BAX,0.00553138488951,False,172,220.568,8.42998897222e-05,7.43462822764
BAZ1A,0.00359937905549,False,79,94.972,3.9928094558e-05,6.32192809489
BCL10,0.00275783042721,False,145,186.862,7.10778734768e-05,7.18982455888
BCL11B,0.00694181434136,False,198,239.332,9.37255693456e-05,7.63662462054
BCL2,0.0380656743979,False,990,1206.918,0.000415982926865,9.95274124719
BCL2L12,0.000528480284047,False,16,17.856,1.4243907092e-05,4.08746284125
BCL3,0.00275176865581,False,133,148.57,6.06073973633e-05,7.06608919046
BCL9L,0.00733737473487,False,69,79.526,3.29464872767e-05,6.12928301694
BCLAF1,0.00867546796263,False,207,230.62,8.32773575737e-05,7.70043971814
BCOR,0.00376239206083,False,81,120.016,4.73676643018e-05,6.35755200462
BCORL1,0.00459708557163,False,81,92.732,3.85546684387e-05,6.35755200462
BIRC3,0.00662946681115,False,286,343.314,0.000119949246928,8.16490692668
BIRC6,0.00883030400169,False,166,177.028,7.12788555758e-05,7.38370429247
BLM,0.036433041896,False,289,366.17,0.000121930508192,8.17990909001
BRAF,0.050239890374,False,566,642.976,0.00023034878687,9.14720492494
