drug,observed_C_ACC_pct,null_mean_C_ACC_pct,null_sd_C_ACC_pct,z_degree_matched,empirical_p_upper,q_bh_108,null_draws,monte_carlo_se
Pralatrexate,1,0.769058878505,0.0845605865854,2.73107284163,9.99900009999e-05,0.010798920108,10000,9.99850018748e-05
Pemetrexed,0.981308411215,0.57398317757,0.124671206198,3.26719573884,0.000499950005,0.02699730027,10000,0.000223528541798
Ixazomib,0.990654205607,0.62716635514,0.153978688519,2.36063739706,0.004599540046,0.165583441656,10000,0.000676603760314
Epirubicin,0.906542056075,0.370387850467,0.159092073472,3.37008748398,0.021097890211,0.477552244776,10000,0.00143703528729
Cytarabine,0.953271028037,0.514547663551,0.192320404546,2.281210699,0.029297070293,0.477552244776,10000,0.00168629500309
Belinostat,0.92523364486,0.490942056075,0.168887246987,2.5714883541,0.033496650335,0.477552244776,10000,0.00179920503591
Gemcitabine,0.96261682243,0.622312149533,0.132760994869,2.56328805937,0.033496650335,0.477552244776,10000,0.00179920503591
Abemaciclib,0.934579439252,0.48706635514,0.163664443749,2.73433296727,0.035396460354,0.477552244776,10000,0.0018477049801
Allopurinol,0.785046728972,0.0544439252336,0.1867257838,3.91270444215,0.039796020398,0.477552244776,10000,0.00195469885944
Fluorouracil,0.897196261682,0.592601869159,0.184345200182,1.65230443875,0.0528947105289,0.481631836816,10000,0.00223812088462
Hydroxyurea,0.878504672897,0.452301869159,0.185965584414,2.291836982,0.0539946005399,0.481631836816,10000,0.00225995743864
Idarubicin,0.738317757009,0.293081308411,0.20959656463,2.1242545143,0.0587941205879,0.481631836816,10000,0.00235227206735
Irinotecan,0.803738317757,0.17056635514,0.220468983228,2.87193215728,0.0633936606339,0.481631836816,10000,0.00243657479936
Tioguanine,0.943925233645,0.501780373832,0.228223522733,1.9373325524,0.0636936306369,0.481631836816,10000,0.00244194162449
Trifluridine,0.915887850467,0.692460747664,0.154368613279,1.44736095025,0.0668933106689,0.481631836816,10000,0.00249824647345
Encorafenib,0.644859813084,0.237177570093,0.236479614861,1.72396357813,0.0844915508449,0.496259464963,10000,0.00278109680129
Daunorubicin,0.88785046729,0.606320560748,0.195975307247,1.43655805671,0.0847915208479,0.496259464963,10000,0.00278557282124
Crizotinib,0.654205607477,0.288112149533,0.235694897456,1.55325152091,0.0918908109189,0.496259464963,10000,0.00288857310679
Paclitaxel,0.831775700935,0.466830841121,0.230817336854,1.58109813062,0.0947905209479,0.496259464963,10000,0.00292910734553
Vandetanib,0.121495327103,0.0591186915888,0.133488903452,0.467279555834,0.0951904809519,0.496259464963,10000,0.00293463185466
Docetaxel,0.81308411215,0.336865420561,0.24819884661,1.91869824575,0.100689931007,0.496259464963,10000,0.00300902666255
Ibrutinib,0.607476635514,0.298801869159,0.217999787426,1.4159406759,0.101089891011,0.496259464963,10000,0.00301432643857
Raloxifene,0.691588785047,0.434282242991,0.219040643174,1.17469771056,0.125787421258,0.59065397808,10000,0.00331593049559
Selinexor,0.289719626168,0.154900934579,0.119698601204,1.1263180207,0.151684831517,0.649622537746,10000,0.00358697194074
Lomustine,0.448598130841,0.195004672897,0.305485678884,0.83013206665,0.152684731527,0.649622537746,10000,0.00359665356086
Dacomitinib,0.0560747663551,0.0554794392523,0.172221260243,0.00345675732464,0.156584341566,0.649622537746,10000,0.00363390258942
Doxorubicin,0.971962616822,0.922027102804,0.0487439425077,1.02444553004,0.170082991701,0.649622537746,10000,0.00375686908968
Duvelisib,0.168224299065,0.116824299065,0.146404588182,0.351081893253,0.171182881712,0.649622537746,10000,0.003766498589
Vemurafenib,0.280373831776,0.2085,0.27272899513,0.263535718824,0.17498250175,0.649622537746,10000,0.00379933140055
Cyclophosphamide,0.766355140187,0.474886915888,0.261004912504,1.11671547291,0.183681631837,0.649622537746,10000,0.00387204980847
Cobimetinib,0.364485981308,0.245534579439,0.314761018662,0.37791020748,0.190080991901,0.649622537746,10000,0.00392345275156
Mercaptopurine,0.841121495327,0.456721495327,0.297458855679,1.29227956291,0.192480751925,0.649622537746,10000,0.00394228830029
Palbociclib,0.710280373832,0.498273831776,0.251848698623,0.841801221191,0.209779022098,0.686549526865,10000,0.00407130456322
Dabrafenib,0.775700934579,0.377524299065,0.320086335553,1.24396636559,0.227477252275,0.722574801343,10000,0.00419182276097
Oxaliplatin,0.822429906542,0.597553271028,0.248705478523,0.904188507825,0.246575342466,0.760861056751,10000,0.00430995785614
Nilotinib,0.700934579439,0.553846728972,0.220940164158,0.665736132803,0.263273672633,0.789821017898,10000,0.00440387615409
Fruquintinib,0.327102803738,0.299487850467,0.323927160225,0.0852505027731,0.278872112789,0.800540998532,10000,0.00448422065985
Methotrexate,0.85046728972,0.681092523364,0.211354327066,0.801378276501,0.281671832817,0.800540998532,10000,0.00449791707523
Tamoxifen,0.616822429907,0.507651401869,0.236731959207,0.461158807636,0.303769623038,0.833136686331,10000,0.00459861383362
Selumetinib,0.383177570093,0.359645794393,0.281011873648,0.0837394356169,0.308569143086,0.833136686331,10000,0.00461879739469
Mitomycin,0.869158878505,0.744561682243,0.182394576467,0.683118975769,0.328867113289,0.866284103297,10000,0.00469778102873
Neratinib,0.233644859813,0.224437383178,0.182606959336,0.0504223752971,0.338166183382,0.869570185839,10000,0.00473061768752
Fludarabine,0.261682242991,0.231389719626,0.160134734828,0.189168973221,0.346265373463,0.869689775209,10000,0.00475755220991
Idelalisib,0.0654205607477,0.0918420560748,0.183562009089,-0.143937710522,0.355064493551,0.871521938715,10000,0.00478508936061
Sonidegib,0.299065420561,0.269061682243,0.176155322884,0.170325470878,0.368763123688,0.879877229668,10000,0.00482445444517
Etoposide,0.794392523364,0.722722429907,0.143471461813,0.499542505195,0.374762523748,0.879877229668,10000,0.00484037338774
Actinomycin D,0.719626168224,0.644029906542,0.205320866448,0.36818596663,0.427857214279,0.983161258342,10000,0.00494743308569
Fulvestrant,0.476635514019,0.433587850467,0.170784039295,0.252059054986,0.437656234377,0.984726527347,10000,0.00496073226473
Tivozanib,0.467289719626,0.422085046729,0.178055606806,0.253879525099,0.474252574743,1,10000,0.00499311665074
Axitinib,0.490654205607,0.457805607477,0.176754830451,0.185842718114,0.502849715028,1,10000,0.00499966881339
Cabozantinib,0.490654205607,0.457805607477,0.176754830451,0.185842718114,0.502849715028,1,10000,0.00499966881339
