gene,genomic_driver,recurrence,core_pathway,lineage_biomarker,prognostic_subtype,raw_weight,include_primary,exclusion_reason,source_id,source_version,mutation_prevalence,mutation_patient_n,rppa_abs_median_difference,rppa_q_bh_225
AFF2,0,0,0,0,0,0,no,did_not_meet_locked_mutation_or_rppa_threshold,candidate_audit_only,PMID23000897;DataHub:58341090c8bf0368ebe03f7aa95ec5137a8def25,0,0,0,1
AKT1,0,0,0,0,0,0,no,did_not_meet_locked_mutation_or_rppa_threshold,candidate_audit_only,PMID23000897;DataHub:58341090c8bf0368ebe03f7aa95ec5137a8def25,0,0,0,1
AR,0,0,0,0.378275,0,0.0378275,yes,,brca_tcga_RPPA_locked_contrast,PMID23000897;DataHub:58341090c8bf0368ebe03f7aa95ec5137a8def25,0,0,0.75655,5.27698509998e-15
ASNS,0,0,0,0.41535,0,0.041535,yes,,brca_tcga_RPPA_locked_contrast,PMID23000897;DataHub:58341090c8bf0368ebe03f7aa95ec5137a8def25,0,0,0.8307,4.13430157967e-25
BCL2,0,0,0,0.58505,0,0.058505,yes,,brca_tcga_RPPA_locked_contrast,PMID23000897;DataHub:58341090c8bf0368ebe03f7aa95ec5137a8def25,0,0,1.1701,2.13439824089e-36
BCL2L11,0,0,0,0.2705,0,0.02705,yes,,brca_tcga_RPPA_locked_contrast,PMID23000897;DataHub:58341090c8bf0368ebe03f7aa95ec5137a8def25,0,0,0.541,1.17989289878e-13
CAV1,0,0,0,0.256025,0,0.0256025,yes,,brca_tcga_RPPA_locked_contrast,PMID23000897;DataHub:58341090c8bf0368ebe03f7aa95ec5137a8def25,0,0,0.51205,1.96267821301e-09
CBFB,0,0,0,0,0,0,no,did_not_meet_locked_mutation_or_rppa_threshold,candidate_audit_only,PMID23000897;DataHub:58341090c8bf0368ebe03f7aa95ec5137a8def25,0,0,0,1
CCNB1,0,0,0,0.3623,0,0.03623,yes,,brca_tcga_RPPA_locked_contrast,PMID23000897;DataHub:58341090c8bf0368ebe03f7aa95ec5137a8def25,0,0,0.7246,1.79496867124e-15
CCND3,0,0,0,0,0,0,no,did_not_meet_locked_mutation_or_rppa_threshold,candidate_audit_only,PMID23000897;DataHub:58341090c8bf0368ebe03f7aa95ec5137a8def25,0,0,0,1
CDH1,1,0.795019157088,0,0,0,0.459003831418,yes,,TCGA2012_main_text_SMG+brca_tcga_mutations,PMID23000897;DataHub:58341090c8bf0368ebe03f7aa95ec5137a8def25,0.159003831418,83,0,1
CDK4,0,0,0,0,0,0,no,forced_exclusion_direct_positive_control_target;did_not_meet_locked_mutation_or_rppa_threshold,candidate_audit_only,PMID23000897;DataHub:58341090c8bf0368ebe03f7aa95ec5137a8def25,0,0,0,1
CDK6,0,0,0,0,0,0,no,forced_exclusion_direct_positive_control_target;did_not_meet_locked_mutation_or_rppa_threshold,candidate_audit_only,PMID23000897;DataHub:58341090c8bf0368ebe03f7aa95ec5137a8def25,0,0,0,1
CDKN1B,0,0,0,0,0,0,no,did_not_meet_locked_mutation_or_rppa_threshold,candidate_audit_only,PMID23000897;DataHub:58341090c8bf0368ebe03f7aa95ec5137a8def25,0,0,0,1
ESR1,0,0,0,0.7444,0,0.07444,yes,,brca_tcga_RPPA_locked_contrast,PMID23000897;DataHub:58341090c8bf0368ebe03f7aa95ec5137a8def25,0,0,1.4888,1.50243166335e-49
FOXM1,0,0,0,0.261,0,0.0261,yes,,brca_tcga_RPPA_locked_contrast,PMID23000897;DataHub:58341090c8bf0368ebe03f7aa95ec5137a8def25,0,0,0.522,1.00272643273e-15
GATA3,1,0.613026819923,0,0.7079,0,0.493395363985,yes,,TCGA2012_main_text_SMG+brca_tcga_mutations;brca_tcga_RPPA_locked_contrast,PMID23000897;DataHub:58341090c8bf0368ebe03f7aa95ec5137a8def25,0.122605363985,64,1.4158,3.85139614861e-42
