feature,genes,target_n,comparator_n,median_difference,p_two_sided,q_bh_225,selected
EIF4EBP1|4E-BP1,EIF4EBP1,449,292,-0.17345,0.01628378994,0.0318595890131,no
EIF4EBP1|4E-BP1_pS65,EIF4EBP1,449,292,-0.3627,5.06612622891e-07,2.27975680301e-06,no
EIF4EBP1|4E-BP1_pT37_T46,EIF4EBP1,449,292,-0.1261,0.0944623605119,0.1475974383,no
TP53BP1|53BP1,TP53BP1,449,292,0.5188,1.31588385751e-12,1.2872776867e-11,yes
ACACA ACACB|ACC_pS79,ACACA;ACACB,449,292,0.0389,0.88952452873,0.844537762746,no
ACACA|ACC1,ACACA,449,292,0.1068,0.272324543925,0.366904325647,no
AKT1 AKT2 AKT3|Akt,AKT1;AKT2;AKT3,449,292,0.218,0.0328725679251,0.0591706222651,no
AKT1 AKT2 AKT3|Akt_pS473,AKT1;AKT2;AKT3,449,292,-0.07185,0.235738931365,0.32540650035,no
AKT1 AKT2 AKT3|Akt_pT308,AKT1;AKT2;AKT3,449,292,-0.16955,0.0538333681145,0.0910714874118,no
PRKAA1|AMPK_alpha,PRKAA1,449,292,0.4407,1.64988956756e-05,5.54067392089e-05,no
PRKAA1|AMPK_pT172,PRKAA1,449,292,0.29515,2.84983227841e-06,1.0686871044e-05,no
AR|AR,AR,449,292,0.75655,3.28345739554e-16,5.27698509998e-15,yes
ASNS|ASNS,ASNS,449,292,-0.8307,1.10248042125e-26,4.13430157967e-25,yes
ATM|ATM,ATM,449,292,-0.02805,0.75793630441,0.844537762746,no
BAK1|Bak,BAK1,449,292,-0.05645,0.571165647919,0.672839114041,no
BAX|Bax,BAX,449,292,0.0589,0.470665080249,0.566308251637,no
BCL2|Bcl-2,BCL2,449,292,1.1701,2.84586432119e-38,2.13439824089e-36,yes
BCL2L1|Bcl-xL,BCL2L1,449,292,0.1957,0.00614044130891,0.0125599935864,no
BECN1|Beclin,BECN1,449,292,0.0565,0.420827346141,0.511817042604,no
CTNNB1|beta-Catenin,CTNNB1,449,292,0.1461,0.849165433457,0.844537762746,no
BID|Bid,BID,449,292,0.0114,0.786959769808,0.844537762746,no
BCL2L11|Bim,BCL2L11,449,292,0.541,8.96831367663e-15,1.17989289878e-13,yes
JUN|c-Jun_pS73,JUN,449,292,-0.05225,0.184195577837,0.262303829199,no
KIT|c-Kit,KIT,449,292,-0.0757,0.026667699741,0.0491822331289,no
MET|c-Met_pY1235,MET,449,292,-0.15135,0.00171265486316,0.00393211575726,no
MYC|c-Myc,MYC,449,292,-0.1467,0.0400183957065,0.0708987325509,no
RAF1|C-Raf,RAF1,449,292,-0.08425,0.159175878979,0.2281182979,no
RAF1|C-Raf_pS338,RAF1,449,292,-0.0476,0.333244351731,0.422901442185,no
CASP7|Caspase-7_cleavedD198,CASP7,449,292,-0.4015,1.18109874961e-11,9.49097209509e-11,no
CAV1|Caveolin-1,CAV1,449,292,0.51205,2.79136456962e-10,1.96267821301e-09,yes
PECAM1|CD31,PECAM1,449,292,-0.02125,0.128186590687,0.189749887531,no
ITGA2|CD49b,ITGA2,449,292,0.1514,0.0327863433061,0.0591706222651,no
CDK1|CDK1,CDK1,449,292,-0.43035,8.49353390529e-09,4.66108567973e-08,no
CHEK1|Chk1,CHEK1,449,292,-0.1522,6.40043992866e-05,0.00019201319786,no
CHEK1|Chk1_pS345,CHEK1,449,292,-0.25285,1.94896070393e-07,8.9493093548e-07,no
CHEK2|Chk2,CHEK2,449,292,-0.1945,0.000912570543245,0.00223183013294,no
CHEK2|Chk2_pT68,CHEK2,449,292,-0.4055,9.1413918853e-13,9.34915079179e-12,no
BIRC2 |cIAP,BIRC2,449,292,0.1251,0.0521738204387,0.0899160939393,no
CLDN7|Claudin-7,CLDN7,449,292,0.1901,3.43930478267e-05,0.000108992052972,no
COL6A1|Collagen_VI,COL6A1,449,292,0.3345,2.77440917442e-05,9.18003035653e-05,no
CCNB1|Cyclin_B1,CCNB1,449,292,-0.7246,1.03709301005e-16,1.79496867124e-15,yes
CCND1|Cyclin_D1,CCND1,449,292,0.3184,6.83637396833e-05,0.000202392650378,no
CCNE1|Cyclin_E1,CCNE1,449,292,-0.42355,7.15859428855e-23,1.78964857214e-21,no
PARK7|DJ-1,PARK7,449,292,0.79275,1.3508520514e-23,3.79927139458e-22,yes
DVL3|Dvl3,DVL3,449,292,-0.267,0.000212291267103,0.00058574249439,no
CDH1|E-Cadherin,CDH1,449,292,0.0825,0.0527507751111,0.0899160939393,no
EEF2|eEF2,EEF2,449,292,-0.34715,1.17696418741e-07,5.51701962851e-07,no
EEF2K|eEF2K,EEF2K,449,292,0.38285,5.19796775134e-10,3.24872984459e-09,no
EGFR|EGFR,EGFR,449,292,-0.38485,2.56492183098e-15,3.60692132482e-14,no
EGFR|EGFR_pY1068,EGFR,449,292,-0.288,1.37132045404e-11,1.06395552469e-10,no
EGFR|EGFR_pY1173,EGFR,449,292,0.0504,0.253682068979,0.345930094062,no
EIF4E|eIF4E,EIF4E,449,292,0.0117,0.366538681048,0.45817335131,no
ESR1|ER-alpha,ESR1,449,292,1.4888,6.67747405932e-52,1.50243166335e-49,yes
ESR1|ER-alpha_pS118,ESR1,449,292,0.6355,1.10907124894e-30,4.99082062023e-29,yes
MAPK1|ERK2,MAPK1,449,292,0.1339,0.108095487332,0.163231440602,no
FN1|Fibronectin,FN1,449,292,-0.00605,0.35190652445,0.442340603359,no
FOXO3|FOXO3a,FOXO3,449,292,-0.13185,0.0880677177252,0.141537403487,no
GAB2|GAB2,GAB2,449,292,-0.05685,0.823108328161,0.844537762746,no
GATA3|GATA3,GATA3,449,292,1.4158,3.42346324321e-44,3.85139614861e-42,yes
GSK3A GSK3B|GSK3-alpha-beta,GSK3A;GSK3B,449,292,0.00965,0.839681943756,0.844537762746,no
GSK3A GSK3B|GSK3-alpha-beta_pS21_S9,GSK3A;GSK3B,449,292,0.05195,0.191374773088,0.269120774655,no
ERBB2|HER2,ERBB2,449,292,-0.0248,0.0790448998116,0.129818266114,no
ERBB2|HER2_pY1248,ERBB2,449,292,-0.06985,0.00137881428069,0.00323159597037,no
ERBB3|HER3,ERBB3,449,292,0.4433,1.39017270413e-08,7.4473537721e-08,no
ERBB3|HER3_pY1289,ERBB3,449,292,-0.1378,0.0169765960253,0.0326473000487,no
HSPA1A|HSP70,HSPA1A,449,292,-0.0944,0.311524458955,0.400531447228,no
IGFBP2|IGFBP2,IGFBP2,449,292,0.54425,5.23068185537e-14,5.88451708729e-13,yes
INPP4B|INPP4B,INPP4B,449,292,0.8766,3.65256761679e-31,2.05456928445e-29,yes
IRS1|IRS1,IRS1,449,292,0.5545,1.73615811616e-14,2.05597671651e-13,yes
MAPK8|JNK_pT183_pY185,MAPK8,449,292,0.3434,9.98873382953e-06,3.51166423694e-05,no
MAPK9|JNK2,MAPK9,449,292,0.63785,1.16882462083e-17,2.39077763352e-16,yes
XRCC5|Ku80,XRCC5,449,292,-0.069,0.460359088187,0.556885993774,no
LCK|Lck,LCK,449,292,-0.2641,0.000326970398325,0.00086550987792,no
STK11|LKB1,STK11,449,292,0.22195,0.00361836292236,0.00775363483363,no
MAPK1 MAPK3|MAPK_pT202_Y204,MAPK1;MAPK3,449,292,0.1577,0.00853648053909,0.0171491796544,no
MAP2K1|MEK1,MAP2K1,449,292,0.07905,0.2134971531,0.29652382375,no
MAP2K1|MEK1_pS217_S221,MAP2K1,449,292,-0.00025,0.891328826127,0.844537762746,no
ERRFI1|MIG-6,ERRFI1,449,292,-0.1438,0.0782687507414,0.129488742035,no
MRE11A|Mre11,MRE11A,449,292,-0.0487,0.0960301268333,0.149012265776,no
MTOR|mTOR,MTOR,449,292,0.2371,3.30742577346e-05,0.000107850840439,no
MTOR|mTOR_pS2448,MTOR,449,292,0.15315,0.392434565773,0.483817211441,no
CDH2|N-Cadherin,CDH2,449,292,-0.1335,0.0890535530714,0.141577303671,no
NFKB1|NF-kB-p65_pS536,NFKB1,449,292,-0.3282,1.58473578935e-06,6.25553601058e-06,no
NF2|NF2,NF2,449,292,-0.1087,0.393504665305,0.483817211441,no
NOTCH1|Notch1,NOTCH1,449,292,-0.39005,1.04503582227e-09,6.18771210557e-09,no
CDH3|P-Cadherin,CDH3,449,292,-0.4735,9.43914319023e-15,1.17989289878e-13,no
CDKN1B|p27,CDKN1B,449,292,0.47695,4.89489342856e-12,4.58896258928e-11,no
CDKN1B|p27_pT157,CDKN1B,449,292,-0.11265,0.000188367373637,0.000529783238354,no
MAPK14|p38_MAPK,MAPK14,449,292,0.3011,4.09859906416e-05,0.000128081220755,no
