drug,MIPE_available,n_assoc,C_ACC_k1,rank_all124_k1,rank_primary108_k1,C_ACC_k3,rank_all124_k3,rank_primary108_k3,C_ACC_k5,rank_all124_k5,rank_primary108_k5,C_ACC_k10,rank_all124_k10,rank_primary108_k10
Abemaciclib,True,5,0.181606285404,8,7,0.149330392159,9,8,0.129964856212,9,8,0.104144141616,8,7
Abiraterone,True,39,0.00886386781058,124,108,0.0109419080302,124,108,0.0128310355026,124,108,0.0168791658007,124,108
Acalabrutinib,True,1,0.0365548562117,50,43,0.0445287843175,47,41,0.0471867603528,45,39,0.049603102203,45,39
Actinomycin D,True,12,0.0581283624941,35,31,0.057378275818,35,31,0.0568046801245,35,31,0.0558269601924,35,31
Afatinib,True,9,0.0171370712423,89,79,0.0230313447725,99,87,0.0272415401512,102,90,0.0338892170649,102,90
Allopurinol,True,13,0.082039122316,26,24,0.0783470710794,27,24,0.0754754756731,27,24,0.0704813967058,27,24
Arsenic trioxide,False,22,0.0817237266271,27,,0.0793860454908,26,,0.0773946874858,25,,0.0735053163823,24,
Asciminib,True,3,0.0263794281058,73,65,0.035087189545,71,63,0.0394410702646,70,63,0.0444647787872,71,64
Avapritinib,False,2,0.0440199041411,44,,0.047413027454,42,,0.0488672231595,43,,0.0503820103528,43,
Axitinib,True,1,0.0272908562117,70,62,0.0398967843175,61,55,0.0440987603528,59,53,0.0479187385666,55,49
Azacitidine,True,1,0.0418243562117,47,41,0.0471635343175,43,37,0.0489432603528,42,37,0.0505611931121,42,37
Belinostat,True,5,0.178601118737,9,8,0.147076517159,10,9,0.128161756212,10,9,0.102942074949,10,9
Binimetinib,True,23,0.0104156130176,120,105,0.0136530822027,123,107,0.0164280557899,123,107,0.0218939128555,122,107
Bleomycin,True,16,0.0156653948484,95,83,0.0195430072247,109,96,0.0226820267675,110,97,0.028416774009,112,99
Bosutinib,True,1,0.0280583562117,66,59,0.0402805343175,57,51,0.0443545936861,56,50,0.0480582840212,52,46
Brigatinib,True,8,0.063846968047,30,27,0.0617843761154,30,27,0.0603564278551,31,28,0.0581748402352,32,28
Cabozantinib,True,1,0.0272908562117,71,63,0.0398967843175,62,56,0.0440987603528,60,54,0.0479187385666,56,50
Carboplatin,True,7,0.0162253390529,90,80,0.023480813727,96,85,0.028317796843,98,86,0.0354310073078,96,84
Carfilzomib,True,9,0.0134356712423,109,96,0.0199468447725,107,94,0.0245976830083,107,95,0.0319411118017,106,94
Carmustine,True,29,0.0319223904141,56,49,0.0332086605397,76,68,0.0343436047681,80,70,0.0366716954932,89,77
Celecoxib,True,2,0.0327925708078,54,47,0.040676627454,56,50,0.0440555088738,61,55,0.0475751770194,59,53
Ceritinib,True,12,0.0630363624941,31,28,0.061631875818,31,28,0.0605578565951,30,27,0.0587271420106,30,27
Chlorambucil,True,6,0.0157088160605,94,82,0.0238852374744,93,82,0.0290884147379,92,81,0.0364053827646,90,78
Cisplatin,True,6,0.0123996732033,113,99,0.0213114596967,103,91,0.0269825965561,103,91,0.0349576327646,99,87
Cladribine,True,3,0.0257376781058,76,68,0.0346593562117,72,64,0.0391201952646,71,64,0.0442673172487,72,65
Clofarabine,True,2,0.0302342374744,62,55,0.039141627454,65,59,0.0429590803024,65,59,0.0469355936861,62,56
