drug,seed_gene_count,nonseed_gene_count,C_ACC_nonseed,C_ACC_nonseed_pct,ADRS_nonseed,rank_locked_context,rank_nonseed_context,rank_locked_composite,rank_nonseed_composite,composite_rank_change
Olaparib,0,1,0.0497852843175,0.981308411215,0.953271028037,36,3,12,1,-11
Celecoxib,0,2,0.040676627454,0.88785046729,0.939252336448,50,13,13,2,-11
Homoharringtonine,0,1,0.0410692843175,0.906542056075,0.911214953271,48,11,15,3,-12
Mitotane,0,1,0.0410922843175,0.915887850467,0.892523364486,47,10,17,4,-13
Axitinib,0,1,0.0398967843175,0.827102803738,0.880841121495,55,19,19,5,-14
Romidepsin,0,1,0.0408750343175,0.897196261682,0.878504672897,49,12,21,6,-15
Bosutinib,0,1,0.0402805343175,0.864485981308,0.810747663551,51,15,28,7,-21
Panobinostat,0,1,0.0432442843175,0.943925233645,0.808411214953,44,7,29,8,-21
Lapatinib,0,1,0.0402805343175,0.864485981308,0.78738317757,52,16,33,9,-24
Chlorambucil,0,6,0.0238852374744,0.542056074766,0.771028037383,82,50,32,10,-22
Tivozanib,0,1,0.0394192843175,0.803738317757,0.766355140187,58,22,36,11,-25
Osimertinib,0,2,0.033761227454,0.719626168224,0.761682242991,66,31,35,12,-23
Fulvestrant,0,2,0.039469627454,0.81308411215,0.757009345794,57,21,39,13,-26
Ixazomib,3,2,0.036251827454,0.775700934579,0.757009345794,2,25,3,14,11
Acalabrutinib,0,1,0.0445287843175,0.953271028037,0.757009345794,41,6,37,15,-22
Tucatinib,0,2,0.035955427454,0.766355140187,0.742990654205,62,26,45,16,-29
Melphalan,0,6,0.0230372374744,0.485981308411,0.733644859813,86,56,38,17,-21
Belinostat,1,4,0.02992201961,0.691588785047,0.728971962617,9,34,6,18,12
Afatinib,0,9,0.0230313447725,0.476635514019,0.719626168224,87,57,42,19,-23
Ribociclib,0,8,0.0266858306609,0.607476635514,0.710280373832,79,43,51,20,-31
Decitabine,0,1,0.0445942843175,0.96261682243,0.710280373832,40,5,49,21,-28
Doxorubicin,1,0,0.0525027124233,0.995327102804,0.703271028037,4,1,23,22,-1
Cytarabine,2,7,0.024103913727,0.551401869159,0.668224299065,6,49,2,23,21
Abemaciclib,1,4,0.0278061624671,0.635514018692,0.663551401869,8,40,8,24,16
Azacitidine,0,1,0.0471635343175,0.971962616822,0.658878504673,37,4,54,25,-29
Sirolimus,0,2,0.036774627454,0.785046728972,0.64953271028,61,24,59,26,-33
Brigatinib,1,7,0.022307613727,0.420560747664,0.64953271028,27,63,7,27,20
Docetaxel,1,11,0.0233475812336,0.495327102804,0.644859813084,21,55,10,28,18
Selinexor,0,3,0.0275278562117,0.616822429907,0.640186915888,77,42,58,29,-29
Vandetanib,0,6,0.0197031263633,0.345794392523,0.626168224299,95,71,53,30,-23
Mitomycin,2,10,0.0222625490208,0.411214953271,0.621495327103,15,64,5,31,26
Ceritinib,1,11,0.0241662955193,0.560747663551,0.602803738318,28,48,22,32,10
Sunitinib,0,3,0.0402278562117,0.85046728972,0.593457943925,53,17,69,33,-36
Paclitaxel,1,9,0.0244253447725,0.579439252336,0.588785046729,19,46,18,34,16
Fluorouracil,2,10,0.02363577979,0.523364485981,0.579439252337,12,52,14,35,21
Temsirolimus,0,1,0.0417157843175,0.92523364486,0.579439252336,46,9,72,36,-36
Gilteritinib,0,1,0.0400650343175,0.841121495327,0.570093457944,54,18,75,37,-38
Carfilzomib,0,9,0.0199468447725,0.364485981308,0.570093457944,94,69,62,38,-24
Topotecan,0,2,0.032245427454,0.710280373832,0.565420560748,70,32,78,39,-39
Imatinib,0,5,0.0279645171587,0.644859813084,0.560747663552,75,39,77,40,-37
Actinomycin D,1,11,0.017770009805,0.224299065421,0.556074766355,31,84,9,41,32
Irinotecan,1,10,0.0163720874823,0.158878504673,0.556074766355,22,91,1,42,41
Asciminib,0,3,0.035087189545,0.747663551402,0.556074766355,63,28,76,43,-33
Crizotinib,1,16,0.0163335335405,0.14953271028,0.546728971963,38,92,11,44,33
Estramustine,0,7,0.022822613727,0.457943925234,0.53738317757,88,59,73,45,-28
Daunorubicin,2,10,0.0183761644054,0.252336448598,0.53738317757,13,81,4,46,42
Darolutamide,0,8,0.0211321033882,0.383177570093,0.532710280374,92,67,71,47,-24
Vinorelbine,0,1,0.0417590343175,0.934579439252,0.532710280374,45,8,81,48,-33
Epirubicin,1,3,0.0289753562117,0.663551401869,0.528037383178,11,37,27,49,22
Lorlatinib,0,2,0.034260227454,0.728971962617,0.528037383177,65,30,80,50,-30
Cabozantinib,0,1,0.0398967843175,0.827102803738,0.52570093458,56,20,82,51,-31
Fludarabine,0,4,0.0253081624671,0.588785046729,0.518691588785,80,45,83,52,-31
Pralatrexate,2,0,0.0525027124233,0.995327102804,0.511682242991,1,2,52,53,1
Pemetrexed,1,1,0.0404700343175,0.878504672897,0.509345794393,3,14,47,54,7
Binimetinib,0,23,0.0136530822027,0.0467289719626,0.509345794392,107,103,56,55,-1
Gemcitabine,1,3,0.0355620228783,0.757009345794,0.504672897196,5,27,34,56,22
Ixabepilone,2,9,0.0293962614392,0.672897196262,0.490654205607,16,36,41,57,16
Clofarabine,0,2,0.039141627454,0.794392523364,0.490654205607,59,23,87,58,-29
Ibrutinib,1,12,0.0159667424847,0.121495327103,0.485981308411,43,95,16,59,43
Thiotepa,0,3,0.031351189545,0.700934579439,0.485981308411,72,33,90,60,-30
Everolimus,0,11,0.0208270812336,0.373831775701,0.481308411215,93,68,79,61,-18
Cobimetinib,1,28,0.0143167141055,0.0654205607477,0.481308411215,69,101,30,62,32
Nilotinib,1,13,0.0189925710794,0.299065420561,0.476635514019,33,76,25,63,38
Carboplatin,0,7,0.023480813727,0.504672897196,0.471962616823,85,54,86,64,-22
Duvelisib,0,6,0.0219180152522,0.401869158879,0.453271028037,90,65,84,65,-19
Venetoclax,0,5,0.0283178921587,0.654205607477,0.448598130841,74,38,91,66,-25
Trametinib,0,22,0.0138840854908,0.0560747663551,0.448598130841,106,102,67,67,0
Vorinostat,0,18,0.01916133987,0.317757009346,0.443925233645,98,74,85,68,-17
Palbociclib,1,25,0.0186963977596,0.271028037383,0.439252336449,32,79,26,69,43
Carmustine,1,28,0.0152547786216,0.11214953271,0.429906542056,68,96,46,70,24
Erlotinib,1,10,0.0197794720977,0.355140186916,0.420560747663,35,70,40,71,31
Dacarbazine,0,15,0.018756896515,0.289719626168,0.415887850467,99,77,88,72,-16
Idarubicin,1,10,0.0174237028669,0.18691588785,0.406542056075,29,88,24,73,49
Hydroxyurea,1,6,0.0224286819189,0.429906542056,0.406542056075,14,62,31,74,43
Cladribine,0,3,0.0346593562117,0.738317757009,0.401869158879,64,29,96,75,-21
Etoposide,1,6,0.0224341263633,0.439252336449,0.397196261682,23,61,44,76,32
Mitoxantrone,0,6,0.0235003485855,0.514018691589,0.38785046729,84,53,94,77,-17
Erdafitinib,1,9,0.0255009281058,0.598130841121,0.38785046729,30,44,63,78,15
Dacomitinib,0,9,0.0177023447725,0.205607476636,0.378504672897,102,86,89,79,-10
Mercaptopurine,3,24,0.0164343384174,0.168224299065,0.373831775701,18,90,20,80,60
