draw,spearman_vs_locked_ADRS_rank,top20_jaccard_vs_locked,spearman_vs_uniform_ADRS_rank,top20_jaccard_vs_uniform,mean_absolute_rank_change_vs_locked,maximum_absolute_rank_change_vs_locked,Abemaciclib_rank,Palbociclib_rank,Ribociclib_rank
1,0.982985128659,0.818181818182,0.990663732411,0.818181818182,3.7037037037,28,11,32,50
2,0.981622795736,0.739130434783,0.988129602637,0.818181818182,3.83333333333,22,10,38,49
3,0.987786637705,0.739130434783,0.990616098393,0.739130434783,3.09259259259,20,8,30,49
4,0.984128345099,0.818181818182,0.989168024236,0.818181818182,3.2037037037,31,12,51,47
5,0.98483332857,0.818181818182,0.994922213648,0.904761904762,2.83333333333,30,13,53,49
6,0.986595787247,0.904761904762,0.9958367868,1,2.53703703704,29,15,53,49
7,0.994674516753,1,0.991978431317,0.904761904762,1.88888888889,19,8,28,49
8,0.98397591624,0.818181818182,0.990330294283,0.818181818182,3.61111111111,30,9,29,51
9,0.985557365648,0.739130434783,0.987615155239,0.739130434783,3.27777777778,25,10,38,49
10,0.990682786018,0.818181818182,0.989339506702,0.818181818182,2.61111111111,18,9,33,49
11,0.986309983138,0.904761904762,0.99024455305,0.818181818182,2.74074074074,30,14,52,47
12,0.989206131451,0.818181818182,0.987767584098,0.818181818182,2.68518518519,20,9,29,49
13,0.982975601856,0.904761904762,0.994045747711,0.818181818182,3.2037037037,27,15,53,48
14,0.985843169758,0.904761904762,0.987205502682,0.818181818182,2.72222222222,29,15,55,48
15,0.982480208065,0.666666666667,0.990130231406,0.666666666667,3.88888888889,22,8,31,49
16,0.992997799308,0.904761904762,0.98871073766,0.818181818182,2.01851851852,17,9,33,50
17,0.990301713872,0.818181818182,0.993216915793,0.739130434783,2.75925925926,22,7,29,48
18,0.990482723142,0.818181818182,0.99362656835,0.818181818182,2.7037037037,19,8,28,48
19,0.98956814999,0.739130434783,0.987338877933,0.818181818182,2.85185185185,18,6,26,50
20,0.990206445835,1,0.990806634466,0.904761904762,2.66666666667,19,7,30,48
21,0.990377928301,0.818181818182,0.989025122181,0.904761904762,2.53703703704,24,14,50,46
22,0.984128345099,0.818181818182,0.991454457115,0.818181818182,3.11111111111,30,11,34,49
23,0.988834586108,0.818181818182,0.995522402279,0.904761904762,2.85185185185,27,8,27,49
24,0.989882534511,0.904761904762,0.9846523193,0.818181818182,2.22222222222,28,14,54,49
25,0.982384940029,0.739130434783,0.984185505921,0.739130434783,3.27777777778,28,14,54,50
26,0.987462726381,0.818181818182,0.988196290263,0.818181818182,3.05555555556,23,8,26,48
27,0.979193460802,0.739130434783,0.989129917022,0.818181818182,3.85185185185,29,7,26,50
28,0.989434774739,0.904761904762,0.992302342641,0.904761904762,2.40740740741,28,11,33,49
29,0.977088037193,0.739130434783,0.988663103642,0.818181818182,4.2962962963,30,13,54,48
30,0.986748216106,1,0.993655148761,0.904761904762,2.72222222222,28,8,32,50
31,0.984785694552,0.904761904762,0.993359817848,0.818181818182,3.18518518519,24,8,32,49
32,0.984433202816,0.904761904762,0.994436346661,0.904761904762,3.14814814815,31,9,33,50
33,0.979574532948,0.739130434783,0.987948593367,0.739130434783,3.62962962963,32,17,58,49
34,0.989406194328,0.904761904762,0.987900959349,0.818181818182,2.38888888889,32,15,58,46
35,0.981003553498,0.739130434783,0.993197862185,0.818181818182,3.72222222222,26,11,51,47
36,0.982794592586,0.818181818182,0.990330294283,0.818181818182,3.35185185185,31,13,57,50
37,0.987739003687,0.818181818182,0.991673573599,0.818181818182,2.27777777778,31,13,50,47
38,0.982499261673,0.666666666667,0.987291243915,0.666666666667,3.74074074074,24,8,29,50
39,0.978031190755,0.818181818182,0.9864719388,0.818181818182,3.22222222222,30,13,55,48
40,0.986986386198,0.739130434783,0.987891432545,0.818181818182,3.09259259259,20,8,29,50
41,0.983261405966,0.739130434783,0.99313117456,0.818181818182,3.66666666667,24,7,29,51
42,0.984090237884,0.818181818182,0.991168653005,0.904761904762,3.25925925926,26,13,52,48
43,0.987138815056,0.818181818182,0.985643106881,0.818181818182,2.62962962963,25,12,47,50
44,0.98561452647,0.818181818182,0.988453513962,0.818181818182,2.77777777778,32,9,28,49
45,0.98839635314,0.904761904762,0.989911114922,0.818181818182,2.72222222222,24,11,42,47
46,0.977431002124,0.739130434783,0.984166452314,0.739130434783,3.96296296296,29,11,33,50
47,0.987176922271,0.818181818182,0.993378871455,0.904761904762,3.18518518519,24,9,27,48
48,0.974877818743,0.739130434783,0.98850114798,0.818181818182,4.61111111111,29,12,52,48
49,0.991654519992,0.904761904762,0.990454142731,0.818181818182,2.2962962963,25,14,51,47
50,0.983928282222,0.818181818182,0.984947650214,0.818181818182,3.33333333333,30,13,56,49
51,0.982118189526,0.818181818182,0.987319824326,0.818181818182,3.03703703704,35,17,61,48
52,0.988234397477,0.818181818182,0.992102279764,0.818181818182,2.85185185185,27,8,25,47
53,0.993264549811,0.818181818182,0.994903160041,0.818181818182,2.27777777778,20,11,32,49
54,0.992940638486,0.904761904762,0.989491935561,0.904761904762,2.46296296296,16,9,30,48
55,0.982480208065,0.818181818182,0.993493193099,0.904761904762,3.27777777778,31,11,33,49
56,0.97895529071,0.739130434783,0.985957491402,0.739130434783,4,38,8,29,48
57,0.988129602637,1,0.996017796069,0.904761904762,2.61111111111,30,9,35,49
58,0.97671649185,0.739130434783,0.992054645746,0.818181818182,3.85185185185,33,14,59,50
59,0.981622795736,0.739130434783,0.988282031496,0.818181818182,3.59259259259,33,9,36,48
60,0.977469109339,0.904761904762,0.990396981909,0.904761904762,3.40740740741,32,16,55,47
61,0.982356359618,0.739130434783,0.987215029485,0.818181818182,3.48148148148,28,7,28,48
62,0.981413206055,0.739130434783,0.989244238665,0.739130434783,4.24074074074,18,8,35,49
63,0.984423676012,0.904761904762,0.991387769489,0.818181818182,2.77777777778,32,14,57,48
64,0.986309983138,0.739130434783,0.989653891223,0.818181818182,3.44444444444,17,9,30,47
65,0.974058513628,0.6,0.98550973163,0.666666666667,4.68518518519,27,11,49,47
66,0.982289671992,0.739130434783,0.986519572818,0.818181818182,3.33333333333,33,15,59,49
67,0.981832385416,0.818181818182,0.987338877933,0.739130434783,3.48148148148,32,7,34,48
68,0.988005754189,0.904761904762,0.990511303553,1,2.35185185185,34,15,60,49
69,0.99209275296,0.904761904762,0.991130545791,0.904761904762,2.42592592593,24,13,50,48
70,0.988101022226,0.904761904762,0.9924547715,0.904761904762,2.40740740741,33,7,27,49
71,0.991159126202,0.904761904762,0.995455714653,1,2.46296296296,22,7,31,48
72,0.984128345099,0.904761904762,0.995522402279,1,2.88888888889,27,15,52,48
73,0.987567521221,0.904761904762,0.993636095154,0.904761904762,2.87037037037,23,9,32,48
74,0.985776482132,0.818181818182,0.995331866206,0.904761904762,3.25925925926,26,9,32,48
