drug,locked_rank,uniform_rank,rank_median,rank_q05,rank_q25,rank_q75,rank_q95,rank_sd,prob_top10,prob_top20
Irinotecan,1,6,6,1,3,8,10,3.05380102507,0.963,1
Cytarabine,2,1,3,1,2,5,7,1.78009205597,1,1
Ixazomib,3,3,3,2,3,4,5,1.18178365728,1,1
Daunorubicin,4,5,4,1,2,5,7,1.77169266378,1,1
Mitomycin,5,2,3,1,1,5,7,2.05758053005,1,1
Belinostat,6,7,7,2,5,9,12,3.04897560703,0.872,1
Brigatinib,7,4,4,1,1,7,9,3.07955884547,0.99,1
Abemaciclib,8,10,11,7,8,13,16,3.14135434281,0.479,0.999
Actinomycin D,9,8,8,4,6,10,12,2.65243933662,0.77,1
Docetaxel,10,13,13,8,10,14,16,2.66290556837,0.268,1
Crizotinib,11,9,9,6,7,12,22,4.48884179947,0.645,0.934
Olaparib,12,12,10,8,9,11,12,1.2627404775,0.547,1
Celecoxib,13,15,14,11,13,15,17,1.6970692514,0.018,1
Fluorouracil,14,14,13,10,12,14,15,1.51188683499,0.058,1
Homoharringtonine,15,16,16,15,16,17,19,1.27155332088,0,0.997
Ibrutinib,16,11,12,7,9,14,16,3.27933377838,0.388,0.992
Mitotane,17,17,19,17,18,20,22,1.62960105535,0,0.817
Paclitaxel,18,24,23,16,18,26,28,3.83832407852,0,0.372
Axitinib,19,19,20,18,19,22,24,2.01473550601,0,0.518
Mercaptopurine,20,20,21,17,19,23,26,2.73383867005,0,0.482
Romidepsin,21,22,22,20,21,24,26,1.88890655353,0,0.125
Ceritinib,22,18,21,15,17,24,27,4.07855484328,0,0.478
Doxorubicin,23,21,22,19,20,23,24,1.55801232421,0,0.26
Idarubicin,24,23,23,15,17.75,26,28,4.28097158572,0,0.393
Nilotinib,25,25,24,17,20,26,30,4.54221660995,0,0.27
Palbociclib,26,37,38,26,29,53,59,12.1920527455,0,0
Epirubicin,27,26,26,23,25,29,36,3.90708283714,0,0
Bosutinib,28,29,30,26,28,32,35,2.5934228043,0,0
Panobinostat,29,28,29,27,28,31,33,1.78949330434,0,0
Cobimetinib,30,27,28,13,16,33,39,8.92372550434,0.002,0.329
Hydroxyurea,31,33,33,27,30,40,46,6.09602834324,0,0
Chlorambucil,32,32,32,30,31,33,35,1.49004034181,0,0
Lapatinib,33,34,34,30,32,37,40,3.08099797932,0,0
Gemcitabine,34,36,38,34,36,43,46,4.37170250392,0,0
Osimertinib,35,44,40,36,38,43,44,2.86622037171,0,0
Tivozanib,36,40,40,34.95,37,43,45,3.47645822091,0,0
Acalabrutinib,37,38,38,35,37,40,43,2.57181749843,0,0
Melphalan,38,43,42,39,41,43,44,1.47087541093,0,0
Fulvestrant,39,42,40,32,36,43,46,4.38794132014,0,0
Erlotinib,40,30,31,25,27,36,42,5.64871126355,0,0.003
Ixabepilone,41,31,33,28,30,36,43,4.65042389922,0,0
Afatinib,42,39,39,34,37,41,43,2.79917834362,0,0
Allopurinol,43,49,48,37,44,51,56,5.81909321508,0,0
