drug,locked_rank,uniform_rank,uniform_rank_change,uniform_C_ACC_pct,uniform_ADRS_comp
Irinotecan,1,6,5,0.72897195816,0.84112149477
Cytarabine,2,1,-1,0.962616801262,0.873831748962
Ixazomib,3,3,0,0.990654230118,0.86448597908
Daunorubicin,4,5,1,0.88785046339,0.855140209198
Mitomycin,5,2,-3,0.915887832642,0.873831748962
Belinostat,6,7,1,0.897196233273,0.831775724888
Brigatinib,7,4,-3,0.84112149477,0.859813094139
Abemaciclib,8,10,2,0.878504693508,0.785046756268
Actinomycin D,9,8,-1,0.738317728043,0.813084125519
Docetaxel,10,13,3,0.747663557529,0.77102804184
Crizotinib,11,9,-2,0.663551390171,0.803738296032
Olaparib,12,12,0,0.644859790802,0.785046756268
Celecoxib,13,15,2,0.52336448431,0.757009327412
Fluorouracil,14,14,0,0.906542062759,0.77102804184
Homoharringtonine,15,16,1,0.542056083679,0.72897195816
Ibrutinib,16,11,-5,0.719626188278,0.785046756268
Mitotane,17,17,0,0.551401853561,0.710280358791
Paclitaxel,18,24,6,0.785046756268,0.691588759422
Axitinib,19,19,0,0.471962630749,0.70327103138
Mercaptopurine,20,20,0,0.822429895401,0.700934588909
Romidepsin,21,22,1,0.532710254192,0.696261703968
Ceritinib,22,18,-4,0.766355156898,0.70560747385
Doxorubicin,23,21,-2,0.981308400631,0.696261703968
Idarubicin,24,23,-1,0.757009327412,0.691588759422
Nilotinib,25,25,0,0.700934588909,0.677570104599
Palbociclib,26,37,11,0.588785052299,0.598130822182
Epirubicin,27,26,-1,0.925233662128,0.65887850523
Bosutinib,28,29,1,0.509345769882,0.633177578449
Panobinostat,29,28,-1,0.598130822182,0.63551402092
Cobimetinib,30,27,-3,0.383177578449,0.640186905861
Hydroxyurea,31,33,2,0.850467264652,0.616822421551
Chlorambucil,32,32,0,0.233644858003,0.616822421551
Lapatinib,33,34,1,0.509345769882,0.609813094139
Gemcitabine,34,36,2,0.95327103138,0.602803766727
Osimertinib,35,44,9,0.355140179396,0.579439222813
Tivozanib,36,40,4,0.448598116636,0.588785052299
Acalabrutinib,37,38,1,0.626168251038,0.593457937241
Melphalan,38,43,5,0.177570089698,0.579439222813
Fulvestrant,39,42,3,0.457943916321,0.579439222813
